method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,m_clip_fraction,jump_count_mean,max_log_magnitude,jump_count_applied_cumulative,score_clip_fraction_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,67,0.335,166417124.97145584,52005.35155357995,67.0,68608.0,0.5877153573713483,0.3238998123350879,0.3232220654392822,0.57875,0.2515790039341056,0.0,0.17641034556246005,0.5573977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005173611111111111,366.89932425663153,1128,0.0,1.0522388059701493,0.0,4.664179104477612e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,67,0.335,166417124.97145584,52005.35155357995,67.0,68608.0,0.5958973024692138,0.334411048975358,0.3337415053793319,0.5925,0.25199820582221344,0.0,0.18510948140270672,0.5736477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005173611111111111,366.89932425663153,1128,0.0,1.0522388059701493,0.0,4.664179104477612e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,67,0.335,166417124.97145584,52005.35155357995,67.0,68608.0,0.6118149320242929,0.3526963356020616,0.35204541929520927,0.60875,0.2733080171349562,0.0,0.2001140682694402,0.5898977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005173611111111111,366.89932425663153,1128,0.0,1.0522388059701493,0.0,4.664179104477612e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,67,0.335,166417124.97145584,52005.35155357995,67.0,68608.0,0.594901202030199,0.3331971305193815,0.33253420957300583,0.5875,0.2520263698475843,0.0,0.18127896837027135,0.5598977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005173611111111111,366.89932425663153,1128,0.0,1.0522388059701493,0.0,4.664179104477612e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,75,0.375,186287826.46058488,58214.945768932776,75.0,76800.0,0.5723731980746787,0.3055092881315451,0.3048154511083545,0.56,0.23785303938351676,0.0,0.16408598294113413,0.5348977216369077,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0049609375,418.71452102341664,1255,0.0,1.0458333333333334,0.0,4.166666666666667e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,75,0.375,186287826.46058488,58214.945768932776,75.0,76800.0,0.5841328919176638,0.3205408476900632,0.3198625014584813,0.57625,0.24456942180368269,0.0,0.1739275328767359,0.5561477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0049609375,418.71452102341664,1255,0.0,1.0458333333333334,0.0,4.166666666666667e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,75,0.375,186287826.46058488,58214.945768932776,75.0,76800.0,0.6046625173617601,0.3424177177698816,0.3417605350424394,0.5987500000000001,0.259205545765699,0.0,0.1911696921266573,0.5748977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0049609375,418.71452102341664,1255,0.0,1.0458333333333334,0.0,4.166666666666667e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,75,0.375,186287826.46058488,58214.945768932776,75.0,76800.0,0.5861560543137186,0.3227673331582479,0.32209634057696224,0.5762499999999999,0.2409579956354877,0.0,0.17320422172435246,0.5473977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0049609375,418.71452102341664,1255,0.0,1.0458333333333334,0.0,4.166666666666667e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,83,0.41500000000000004,206158527.94971395,64424.539984285606,83.0,84992.0,0.5649119141452068,0.29697546344322423,0.2962736661960882,0.5487500000000001,0.2231456643017906,0.0,0.15376290389508307,0.5173977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0046484375,334.6837250177216,1374,0.0,1.0346385542168675,0.0,3.7650602409638552e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,83,0.41500000000000004,206158527.94971395,64424.539984285606,83.0,84992.0,0.5697660096752101,0.30364316931649216,0.30295011159592067,0.56,0.23261969293802753,0.0,0.16227305240661566,0.5373977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0046484375,334.6837250177216,1374,0.0,1.0346385542168675,0.0,3.7650602409638552e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,83,0.41500000000000004,206158527.94971395,64424.539984285606,83.0,84992.0,0.5885158836942734,0.32573482795618247,0.3250686371772621,0.57625,0.23808068673274907,0.0,0.17785136327329404,0.5548977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0046484375,334.6837250177216,1374,0.0,1.0346385542168675,0.0,3.7650602409638552e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,83,0.41500000000000004,206158527.94971395,64424.539984285606,83.0,84992.0,0.5731259849095423,0.30668535261640084,0.30599628796771605,0.5637500000000001,0.23664026540158378,0.0,0.1642819096510545,0.5323977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0046484375,334.6837250177216,1374,0.0,1.0346385542168675,0.0,3.7650602409638552e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,92,0.46,228513067.12498412,71410.33347655754,92.0,94208.0,0.5525120915930539,0.2868829242557891,0.2861758144272928,0.54,0.2137146952113157,0.0,0.14728521768162461,0.5098977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005277777777777778,152.72722285212762,1526,0.0,1.0366847826086956,0.0,3.3967391304347827e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,92,0.46,228513067.12498412,71410.33347655754,92.0,94208.0,0.5468108249583166,0.27856110373172405,0.2778436393338628,0.5325000000000001,0.21254073096948123,0.0,0.14458764016864134,0.5086477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005277777777777778,152.72722285212762,1526,0.0,1.0366847826086956,0.0,3.3967391304347827e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,92,0.46,228513067.12498412,71410.33347655754,92.0,94208.0,0.5721019347014922,0.30553598370956814,0.3048494287028044,0.5587500000000001,0.23658019264065067,0.0,0.16538909788515965,0.5361477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005277777777777778,152.72722285212762,1526,0.0,1.0366847826086956,0.0,3.3967391304347827e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,92,0.46,228513067.12498412,71410.33347655754,92.0,94208.0,0.5571323550402846,0.28997034580553427,0.28926759083180165,0.5337500000000001,0.2160936072923778,0.0,0.15160308636842296,0.5111477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.005277777777777778,152.72722285212762,1526,0.0,1.0366847826086956,0.0,3.3967391304347827e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,100,0.5,248383768.61411318,77619.92769191037,100.0,102400.0,0.5355885651668089,0.267480429362585,0.2667569305626474,0.5162500000000001,0.20114802034239387,0.0,0.13518798161379736,0.48864772163690784,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.006015624999999999,161.00342744886822,1680,0.0,1.05,0.0,6.25e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,100,0.5,248383768.61411318,77619.92769191037,100.0,102400.0,0.5319324163966686,0.2629913094801981,0.262257013055032,0.5175000000000001,0.20547776345933333,0.0,0.1348550684676616,0.49239772163690776,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.006015624999999999,161.00342744886822,1680,0.0,1.05,0.0,6.25e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,2,100,0.5,248383768.61411318,77619.92769191037,100.0,102400.0,0.5605792891792336,0.2921607088162115,0.29146015692815963,0.5425,0.22582015266577693,0.0,0.1575354662260125,0.5211477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.006015624999999999,161.00342744886822,1680,0.0,1.05,0.0,6.25e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,3,100,0.5,248383768.61411318,77619.92769191037,100.0,102400.0,0.5423216816847296,0.2743478370868919,0.2736326513733116,0.51875,0.21457538962559808,0.0,0.1416713222004716,0.49114772163690784,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.006015624999999999,161.00342744886822,1680,0.0,1.05,0.0,6.25e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,0,108,0.54,268254470.10324222,83829.52190726319,108.0,110592.0,0.5230257183578433,0.25362046387547477,0.25287997000183227,0.5012500000000001,0.18753623823737808,0.0,0.12848901352360217,0.47864772163690783,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0058984375,138.68720383692718,1831,0.0,1.0596064814814814,0.0,5.787037037037037e-06,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,c87203a12406cc5114b7ffa2d8877465,True,1,108,0.54,268254470.10324222,83829.52190726319,108.0,110592.0,0.5261652346307969,0.25699346050736005,0.256255629366935,0.5125000000000001,0.1938096775945347,0.0,0.12961228803922276,0.4823977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0,0.0058984375,138.68720383692718,1831,0.0,1.0596064814814814,0.0,5.787037037037037e-06,0.0
