method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,jump_count_mean,jump_count_applied_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,17,0.085,54400.0,17.0,17.0,0.0,0.7048914273438744,0.4686905695155148,0.468117782593205,0.7237500000000001,0.4431491429669303,0.0,0.30946299982446435,0.6973977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005069444444444444,279,1.025735294117647,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,17,0.085,54400.0,17.0,17.0,0.0,0.7037527797704755,0.4708942427399938,0.47032919562028797,0.7275,0.431925300291612,0.0,0.307405434359712,0.6998977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005069444444444444,279,1.025735294117647,0.0,0.0,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,25,0.125,80000.0,25.0,25.0,0.0,0.6736287746496545,0.4259012168111561,0.4252870439951406,0.6875,0.40641511957498055,0.0,0.26981244067271865,0.6623977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0055859375,422,1.055,0.0,1.25e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,25,0.125,80000.0,25.0,25.0,0.0,0.6789584862122364,0.4310123634439138,0.4304020422364224,0.69,0.4180230558757555,0.0,0.2720104273008511,0.6648977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0055859375,422,1.055,0.0,1.25e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,25,0.125,80000.0,25.0,25.0,0.0,0.691455787827269,0.45088840682171605,0.450295599825839,0.70625,0.43302659385919573,0.0,0.29050384668634904,0.6823977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0055859375,422,1.055,0.0,1.25e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,25,0.125,80000.0,25.0,25.0,0.0,0.6890931060189803,0.44717843925774947,0.4465804485080199,0.70875,0.42398449546021644,0.0,0.2847833724842225,0.6811477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0055859375,422,1.055,0.0,1.25e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,33,0.165,105600.0,33.0,33.0,0.0,0.6483445317376744,0.39244742257371823,0.39180773005134895,0.655,0.38594435205472566,0.0,0.2437284708124955,0.6336477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0055078125000000006,563,1.066287878787879,0.0,2.840909090909091e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,33,0.165,105600.0,33.0,33.0,0.0,0.6710461197227577,0.4170286543905276,0.41639459833260684,0.67125,0.409068142678667,0.0,0.2604895256036822,0.6486477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0055078125000000006,563,1.066287878787879,0.0,2.840909090909091e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,33,0.165,105600.0,33.0,33.0,0.0,0.6710111239107387,0.41874334853895945,0.4181150401148225,0.67625,0.4136626315291514,0.0,0.26135292511742164,0.6561477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0055078125000000006,563,1.066287878787879,0.0,2.840909090909091e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,33,0.165,105600.0,33.0,33.0,0.0,0.6772759688926733,0.43341452990088025,0.43281078516989757,0.6937500000000001,0.4016194744565933,0.0,0.27245209664435843,0.6698977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0055078125000000006,563,1.066287878787879,0.0,2.840909090909091e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,42,0.21,134400.0,42.0,42.0,0.0,0.6380702070078433,0.3808743289991814,0.38022631687137254,0.63875,0.37431735036664215,0.0,0.23347648670818832,0.6211477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004270833333333333,686,1.0208333333333333,0.0,2.232142857142857e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,42,0.21,134400.0,42.0,42.0,0.0,0.6562534142048648,0.40234055193175744,0.40170034677942523,0.66,0.39699489385296616,0.0,0.24320314730034231,0.6348977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004270833333333333,686,1.0208333333333333,0.0,2.232142857142857e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,42,0.21,134400.0,42.0,42.0,0.0,0.6597154913775748,0.4061136689521124,0.4054756886571246,0.665,0.3893328899170406,0.0,0.2484262423169697,0.6461477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004270833333333333,686,1.0208333333333333,0.0,2.232142857142857e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,42,0.21,134400.0,42.0,42.0,0.0,0.6605634789949948,0.4091688888930257,0.40853577654615936,0.675,0.37340299578590064,0.0,0.2485142019844702,0.6473977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004270833333333333,686,1.0208333333333333,0.0,2.232142857142857e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,50,0.25,160000.0,50.0,50.0,0.0,0.6283548483117751,0.3700348640575908,0.36937990111497687,0.6300000000000001,0.3700993491693485,0.0,0.2196979190999176,0.6111477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005625,830,1.0375,0.0,3.75e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,50,0.25,160000.0,50.0,50.0,0.0,0.6392546630433299,0.3801480422214534,0.37948951338117654,0.63875,0.36345026078033704,0.0,0.22545969527105722,0.6111477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005625,830,1.0375,0.0,3.75e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,50,0.25,160000.0,50.0,50.0,0.0,0.6428766740823053,0.38270572123122015,0.38204622896828844,0.63875,0.3709243215817638,0.0,0.23431948181742474,0.6261477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005625,830,1.0375,0.0,3.75e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,50,0.25,160000.0,50.0,50.0,0.0,0.6396092314743743,0.3794489233858518,0.3787894938291547,0.6425000000000001,0.35975462126062696,0.0,0.23227764710519688,0.6248977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005625,830,1.0375,0.0,3.75e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,58,0.29,185600.0,58.0,58.0,0.0,0.6186985630791104,0.35512911296066807,0.3544554807199847,0.6162500000000001,0.3401251734654316,0.0,0.20659162637813341,0.5936477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053515625,967,1.0420258620689655,0.0,4.3103448275862066e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,58,0.29,185600.0,58.0,58.0,0.0,0.6238404705367078,0.35775266974974285,0.3570681474934757,0.6212500000000001,0.35472161919837597,0.0,0.21127583652544013,0.5923977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053515625,967,1.0420258620689655,0.0,4.3103448275862066e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,58,0.29,185600.0,58.0,58.0,0.0,0.6302606494033851,0.36872248853585865,0.36805444206559623,0.6262500000000001,0.34274853257326754,0.0,0.21663280524128353,0.6048977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053515625,967,1.0420258620689655,0.0,4.3103448275862066e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,58,0.29,185600.0,58.0,58.0,0.0,0.6306517363510353,0.3687943562684729,0.368126899771806,0.62875,0.3505100782954328,0.0,0.21905725371893814,0.608647721636908,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053515625,967,1.0420258620689655,0.0,4.3103448275862066e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,67,0.335,214400.0,67.0,67.0,0.0,0.6006495354661502,0.333041897820345,0.3323455675818491,0.5887500000000001,0.31349517280777983,0.0,0.18834189745689192,0.5698977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005555555555555555,1127,1.0513059701492538,0.0,4.664179104477612e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,67,0.335,214400.0,67.0,67.0,0.0,0.6136238660042529,0.34701549469136894,0.3463292346831639,0.60875,0.33588994554546403,0.0,0.20287180464384658,0.5798977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005555555555555555,1127,1.0513059701492538,0.0,4.664179104477612e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,67,0.335,214400.0,67.0,67.0,0.0,0.6071215501424598,0.34197938671024186,0.34129288737564445,0.5925,0.3278777130137427,0.0,0.20054924363894217,0.5798977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005555555555555555,1127,1.0513059701492538,0.0,4.664179104477612e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,67,0.335,214400.0,67.0,67.0,0.0,0.619771141291183,0.34951557287212465,0.3488182136310851,0.61875,0.33505356970896427,0.0,0.20398784949601614,0.5936477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.005555555555555555,1127,1.0513059701492538,0.0,4.664179104477612e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,75,0.375,240000.0,75.0,75.0,0.0,0.5890814490356834,0.3154138906654316,0.31469602558005927,0.57125,0.30551279747481686,0.0,0.1779731106118504,0.5536477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004570312500000001,1244,1.0366666666666666,0.0,4.1666666666666665e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,75,0.375,240000.0,75.0,75.0,0.0,0.5988752092259728,0.32992335219548763,0.32922333340124477,0.5900000000000001,0.33022867694448355,0.0,0.19241311606891673,0.5648977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004570312500000001,1244,1.0366666666666666,0.0,4.1666666666666665e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,75,0.375,240000.0,75.0,75.0,0.0,0.6017735556491967,0.3363089055125046,0.3356184801544092,0.5850000000000001,0.3176767908466772,0.0,0.19395458684579597,0.5698977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004570312500000001,1244,1.0366666666666666,0.0,4.1666666666666665e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,75,0.375,240000.0,75.0,75.0,0.0,0.610834606405801,0.3434464779316777,0.34274528449992514,0.6100000000000001,0.3304972123444755,0.0,0.19708087245460965,0.5836477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004570312500000001,1244,1.0366666666666666,0.0,4.1666666666666665e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,83,0.41500000000000004,265600.0,83.0,83.0,0.0,0.5838660560784514,0.3084256205675038,0.3077007839594328,0.5637500000000001,0.28671283743004683,0.0,0.17320422172435246,0.5473977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0052343749999999994,1378,1.0376506024096386,0.0,4.141566265060241e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,83,0.41500000000000004,265600.0,83.0,83.0,0.0,0.5801866022340558,0.3095338580038107,0.308821902601511,0.5650000000000001,0.3207264658879737,0.0,0.17955486678382693,0.5436477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0052343749999999994,1378,1.0376506024096386,0.0,4.141566265060241e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,83,0.41500000000000004,265600.0,83.0,83.0,0.0,0.5861375632125763,0.31557349280207836,0.31485982190058504,0.5687500000000001,0.30679687869321937,0.0,0.17434823726074694,0.5448977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0052343749999999994,1378,1.0376506024096386,0.0,4.141566265060241e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,83,0.41500000000000004,265600.0,83.0,83.0,0.0,0.6040676744551516,0.33639325378446094,0.33568853492712314,0.5925,0.31966469346881066,0.0,0.18825236794554484,0.5711477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0052343749999999994,1378,1.0376506024096386,0.0,4.141566265060241e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,92,0.46,294400.0,92.0,92.0,0.0,0.5748352872714704,0.2972591009979748,0.29652543942258425,0.55625,0.2749382898714514,0.0,0.1660062837261707,0.5373977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004444444444444445,1506,1.0230978260869565,0.0,4.0760869565217395e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,92,0.46,294400.0,92.0,92.0,0.0,0.5692728363382962,0.2977624655861143,0.2970392271775073,0.55,0.3079331352456399,0.0,0.16958887773494638,0.5311477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004444444444444445,1506,1.0230978260869565,0.0,4.0760869565217395e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,92,0.46,294400.0,92.0,92.0,0.0,0.5764523067685104,0.3069000603432984,0.30618489771050406,0.56,0.2932952627702098,0.0,0.16900944334587947,0.5373977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004444444444444445,1506,1.0230978260869565,0.0,4.0760869565217395e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,92,0.46,294400.0,92.0,92.0,0.0,0.5895381265437556,0.3196032986379961,0.3188917150092575,0.57125,0.29519879621298295,0.0,0.17654174663886757,0.5523977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004444444444444445,1506,1.0230978260869565,0.0,4.0760869565217395e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,100,0.5,320000.0,100.0,100.0,0.0,0.5617944760514942,0.27899586131383736,0.2782351288635979,0.5375000000000001,0.27234274017759375,0.0,0.15674305491739593,0.5223977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0063281249999999995,1668,1.0425,0.0,4.0625e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,100,0.5,320000.0,100.0,100.0,0.0,0.568328611482559,0.29329851733947854,0.29256510218140697,0.545,0.29996890003908283,0.0,0.16619506167026057,0.5236477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0063281249999999995,1668,1.0425,0.0,4.0625e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,100,0.5,320000.0,100.0,100.0,0.0,0.5657127243520355,0.29414825557378854,0.29341959133192597,0.5437500000000001,0.2883847063003335,0.0,0.16003278218189987,0.5198977216369077,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0063281249999999995,1668,1.0425,0.0,4.0625e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,100,0.5,320000.0,100.0,100.0,0.0,0.5738684070612035,0.29907213418713285,0.29833886415547106,0.5525,0.27998424931472987,0.0,0.16404198724610086,0.5361477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0063281249999999995,1668,1.0425,0.0,4.0625e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,108,0.54,345600.0,108.0,108.0,0.0,0.5497590419926343,0.27067745286552236,0.2699195546359491,0.53,0.2593396651914893,0.0,0.14816837853566464,0.5048977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053515625,1805,1.0445601851851851,0.0,4.050925925925926e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,108,0.54,345600.0,108.0,108.0,0.0,0.5473063948390411,0.27198219377345034,0.2712326654938848,0.5162500000000001,0.28690646092139105,0.0,0.1514493782045885,0.4998977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053515625,1805,1.0445601851851851,0.0,4.050925925925926e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,108,0.54,345600.0,108.0,108.0,0.0,0.55983279685326,0.2876949281806783,0.2869595650928134,0.5362500000000001,0.28145178733839393,0.0,0.15564790493067418,0.5136477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053515625,1805,1.0445601851851851,0.0,4.050925925925926e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,3,108,0.54,345600.0,108.0,108.0,0.0,0.5581909728809786,0.2832665301667363,0.28251745443615417,0.5325000000000001,0.27060929937089695,0.0,0.15328675592171953,0.5148977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053515625,1805,1.0445601851851851,0.0,4.050925925925926e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,0,117,0.585,374400.0,117.0,117.0,0.0,0.5309544436200688,0.25479800543954123,0.25403167610584454,0.5075000000000001,0.2553159291044439,0.0,0.13743022387377724,0.48864772163690784,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004999999999999998,1949,1.0411324786324787,0.0,5.074786324786325e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,1,117,0.585,374400.0,117.0,117.0,0.0,0.54102800385238,0.2622096401341403,0.2614479273403105,0.5062500000000001,0.27463480898756887,0.0,0.14341600134579074,0.48614772163690784,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004999999999999998,1949,1.0411324786324787,0.0,5.074786324786325e-05,0.0
Raw-CP,"Raw-CP, tamed",9b2e4b46332ff49318a1a020e8f4713f,c87203a12406cc5114b7ffa2d8877465,True,2,117,0.585,374400.0,117.0,117.0,0.0,0.5467202385752536,0.2751007700557446,0.27435958477581945,0.5225000000000001,0.2674282139809061,0.0,0.14949324428717276,0.5011477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004999999999999998,1949,1.0411324786324787,0.0,5.074786324786325e-05,0.0
