schema_version,method,seed,seeds,warmup_steps,burn_in_steps,steps_per_draw,dt,equilibrium_initialized,initialization_method,n_draws_per_chain,n_chains,trace_start,trace_stop,trace_interval,gradient_evals,potential_evals,score_quadrature_evals,worst_basin_name,worst_basin_ess,worst_basin_ess_per_gradient_eval,worst_basin_ess_per_potential_eval,worst_basin_ess_per_score_quadrature_eval,label_transition_count,no_label_transition_chain_count,all_chains_no_label_transition,kind,name,index,mean,target,signed_bias,absolute_bias,sample_sd,iat,iat_saved_draws,iat_sampler_time,iat_min_chain,iat_median_chain,iat_max_chain,ess,rhat,mcse,constant_chain_count,finite_iat_chain_count,ess_per_gradient_eval,ess_per_potential_eval,ess_per_score_quadrature_eval,basin_id,basin_transition_count,no_basin_transition_chain_count,unvisited_chain_count,always_in_basin_chain_count,unvisited
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_20,20,0.03115625,0.025,0.0061562499999999985,0.0061562499999999985,0.17374257225413026,1610.7916349065529,1610.7916349065529,161.07916349064612,69.58101214181642,125.79438325471712,inf,19.866008307062273,1.6458525481141755,0.03898081729682018,30,2,3.10406379797848e-05,nan,nan,20,44,30,30,0,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_21,21,0.00315625,0.025,-0.021843750000000002,0.021843750000000002,0.05609265914995321,351.09661962401265,351.09661962401265,35.10966196239927,14.833629656001067,28.488416474365742,inf,91.14300227176388,1.0710209894947156,0.005875493683411807,30,2,0.00014241094104963106,nan,nan,21,35,30,30,0,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_22,22,0.09371875,0.025,0.06871875,0.06871875,0.2914415897177242,32.0,32.0,3.199999999999818,1.0,1.0,inf,1000.0,52.54582278415187,0.009216192284083177,31,1,0.0015625,nan,nan,22,2,31,29,2,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_23,23,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,nan,nan,23,0,32,32,0,True
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_24,24,0.0625,0.025,0.0375,0.0375,0.24206524143691044,inf,inf,inf,inf,inf,inf,0.0,8283459839272552.0,nan,32,0,0.0,nan,nan,24,0,32,30,2,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_25,25,0.0625,0.025,0.0375,0.0375,0.24206524143691044,inf,inf,inf,inf,inf,inf,0.0,8283459839272553.0,nan,32,0,0.0,nan,nan,25,0,32,30,2,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_26,26,0.03321875,0.025,0.008218749999999997,0.008218749999999997,0.17921012326824987,758.588012081601,758.588012081601,75.8588012081558,51.07951098511694,106.72993636363637,inf,42.18363524120359,1.4568062800107957,0.027592467332241584,28,4,6.591193006438061e-05,nan,nan,26,35,28,28,0,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_27,27,0.03125,0.025,0.006249999999999999,0.006249999999999999,0.17399535503710065,inf,inf,inf,inf,inf,inf,0.0,4893844226380972.0,nan,32,0,0.0,nan,nan,27,0,32,31,1,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_28,28,0.0625,0.025,0.0375,0.0375,0.24206524143691044,inf,inf,inf,inf,inf,inf,0.0,8283459839272552.0,nan,32,0,0.0,nan,nan,28,0,32,30,2,False
1,ULA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,640000.0,0.0,0.0,basin_0,0.0,0.0,nan,nan,222,22,False,basin,basin_29,29,0.03125,0.025,0.006249999999999999,0.006249999999999999,0.17399535503710065,inf,inf,inf,inf,inf,inf,0.0,4893844226380972.0,nan,32,0,0.0,nan,nan,29,0,32,31,1,False
