method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,gamma,integrator,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,1,58,0.29,185600.0,58.0,58.0,0.0,0.7271633636305577,0.5091748866042874,0.5086709928648664,0.7625000000000001,0.5145886397902053,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,2,58,0.29,185600.0,58.0,58.0,0.0,0.7283444212205403,0.5117635752736954,0.5112582725312951,0.76375,0.5144777197071702,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,3,58,0.29,185600.0,58.0,58.0,0.0,0.7304442547521892,0.5139983084700346,0.5134937359073268,0.765,0.5142587151688798,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,0,67,0.335,214400.0,67.0,67.0,0.0,0.7244988215255448,0.5068086841786942,0.5063029210449183,0.7625000000000001,0.5121790631732295,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,1,67,0.335,214400.0,67.0,67.0,0.0,0.7249051515246173,0.5071784300106484,0.5066730310324817,0.76,0.513204202578767,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,2,67,0.335,214400.0,67.0,67.0,0.0,0.7258707343166999,0.5095414001079315,0.5090344533766503,0.76,0.5132863286526937,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,3,67,0.335,214400.0,67.0,67.0,0.0,0.7281302659683908,0.5116833588080275,0.511177313254523,0.75875,0.5124124902735454,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,0,75,0.375,240000.0,75.0,75.0,0.0,0.7220225179578641,0.5044719910446961,0.5039647302995434,0.75875,0.5118465662518313,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,1,75,0.375,240000.0,75.0,75.0,0.0,0.7230603791704303,0.5054788253954269,0.5049721443245979,0.75875,0.5123715543682997,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,2,75,0.375,240000.0,75.0,75.0,0.0,0.7236341880419193,0.5074730281970735,0.506964598052689,0.75625,0.5129736156712479,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,3,75,0.375,240000.0,75.0,75.0,0.0,0.7260178762474059,0.5095457844911433,0.5090384395904335,0.75625,0.5114372276701953,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,0,83,0.41500000000000004,265600.0,83.0,83.0,0.0,0.7195936901537074,0.5020708620063457,0.5015621491816151,0.7575000000000001,0.5118105095338542,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,1,83,0.41500000000000004,265600.0,83.0,83.0,0.0,0.721464340796504,0.5039640543880358,0.5034562046263541,0.75625,0.5117883529224057,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,2,83,0.41500000000000004,265600.0,83.0,83.0,0.0,0.7213852667271041,0.5052992962523103,0.5047894012675935,0.7525000000000001,0.5130465082032971,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,3,83,0.41500000000000004,265600.0,83.0,83.0,0.0,0.7238245120161878,0.5072976783232889,0.5067891027628084,0.75625,0.510787267705898,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,0,92,0.46,294400.0,92.0,92.0,0.0,0.7169935565346541,0.49937887145239335,0.4988687225726176,0.7550000000000001,0.5117597694661982,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,1,92,0.46,294400.0,92.0,92.0,0.0,0.7197693922538974,0.5022832496589832,0.5017741825936711,0.755,0.5111545193986402,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,2,92,0.46,294400.0,92.0,92.0,0.0,0.718948625160937,0.5028700289407416,0.5023585373654066,0.7525000000000001,0.5132903843210186,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,3,92,0.46,294400.0,92.0,92.0,0.0,0.7213375909738671,0.5047226030217903,0.5042127920805073,0.755,0.5103412335342519,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
