epsilon,method,metric,median_mixing_time,q10_mixing_time,q90_mixing_time,n_points,n_censored,censoring_fraction,maximum_censoring_time,threshold,bias_floor,N_particles
0.055,LSC-CP,well_TV,1.98,1.92,2.04,8,0,0.0,16.0,0.075,0.01605500000000001,6000
0.055,Langevin,CDF_sup,491.2242490580068,482.29289907513396,501.18613942351885,8,0,0.0,1374.0538435189003,0.06411499999999998,0.02137166666666666,6000
0.055,Langevin,KDE_chi2,185.49726887505153,178.62699965745702,186.5278092576907,8,0,0.0,1374.0538435189003,0.3025454772094072,0.10084849240313574,6000
0.055,Langevin,W1,520.4228932327835,513.2091105543092,537.5985662767697,8,0,0.0,1374.0538435189003,0.09902262458490849,0.033007541528302826,6000
0.055,Langevin,bin_chi2_M120,255.91752835539515,248.70374567692093,261.07023026859105,8,0,0.0,1374.0538435189003,0.14,0.0252294,6000
0.055,Langevin,bin_chi2_M40,340.0783262709278,336.64319166213056,347.9791358711615,8,0,0.0,1374.0538435189003,0.06,0.01056991111111111,6000
0.055,Langevin,bin_chi2_M80,283.39860522577317,280.65049753873535,294.04752251304467,8,0,0.0,1374.0538435189003,0.1,0.018161866666666658,6000
0.055,Langevin,well_TV,441.41479723044665,431.7964203258144,460.30803757883155,8,0,0.0,1374.0538435189003,0.075,0.01605500000000001,6000
0.06,LSC-CP,CDF_sup,2.12,2.04,2.224,8,0,0.0,16.0,0.06,0.017490000000000006,6000
0.06,LSC-CP,KDE_chi2,0.8,0.8,0.852,8,0,0.0,16.0,0.2620885522530018,0.0873628507510006,6000
0.06,LSC-CP,W1,2.4,2.348,2.532,8,0,0.0,16.0,0.08548274520932865,0.02849424840310955,6000
0.06,LSC-CP,bin_chi2_M120,1.1400000000000001,1.068,1.172,8,0,0.0,16.0,0.14,0.02510953333333333,6000
0.06,LSC-CP,bin_chi2_M40,1.52,1.48,1.612,8,0,0.0,16.0,0.06,0.011156177777777776,6000
0.06,LSC-CP,bin_chi2_M80,1.3,1.24,1.32,8,0,0.0,16.0,0.1,0.0174588,6000
