epsilon,method,metric,estimator,seed,observed_mixing_time,censored,accepted,acceptance_reason,n_fit,window_start,window_end,window_initial_value,window_final_value,slope_log_chi2,slope_standard_error,lambda_eff,log_R2,residual_RMSE_log,predicted_threshold_time,noise_cutoff,upper_window_cutoff,predicted_to_observed_ratio
0.04,LSC-CP,bin_chi2_M80,seed,1,1.28,False,True,accepted,26,0.24,1.24,0.7252222222222221,0.1050311111111111,-1.9418963586837379,0.03327426173413334,0.9709481793418689,0.9930027649711757,0.04890297768986545,1.2602954068330827,0.03789644444444444,0.8,
0.04,LSC-CP,bin_chi2_M80,seed,2,1.24,False,True,accepted,25,0.24,1.2,0.7467244444444444,0.11256000000000001,-1.966763273206256,0.04790247661732959,0.983381636603128,0.9865397177722073,0.06626490027426918,1.2622511654256767,0.03789644444444444,0.8,
0.04,LSC-CP,bin_chi2_M80,seed,3,1.28,False,True,accepted,26,0.24,1.24,0.7410622222222223,0.11116888888888887,-2.0026802259605536,0.039689709786341225,1.0013401129802768,0.9906616697489397,0.05833172220941037,1.2401169335120796,0.03789644444444444,0.8,
0.04,LSC-CP,bin_chi2_M80,seed,4,1.32,False,True,accepted,27,0.24,1.28,0.7209288888888888,0.10191999999999998,-1.91709724600862,0.03662122099909565,0.95854862300431,0.9909598956986702,0.057047666221451215,1.2703965133210187,0.03789644444444444,0.8,
0.04,LSC-CP,bin_chi2_M80,seed,5,1.24,False,True,accepted,25,0.24,1.2,0.7466488888888887,0.10381333333333334,-2.047723563202007,0.031240070081295455,1.0238617816010036,0.9946753564774068,0.04321530481681442,1.2217852841630341,0.03789644444444444,0.8,
0.04,LSC-CP,bin_chi2_M80,seed,6,1.24,False,True,accepted,25,0.24,1.2,0.7335333333333333,0.10011555555555554,-2.009999520208838,0.03595616186396101,1.004999760104419,0.9926936942001858,0.04973921284267997,1.2313946917622003,0.03789644444444444,0.8,
0.04,LSC-CP,bin_chi2_M80,seed,7,1.2,False,True,accepted,24,0.24,1.16,0.729991111111111,0.11370222222222222,-1.9554313700057868,0.03070782126474307,0.9777156850028934,0.9946038295421908,0.0398807792106535,1.2565849858050533,0.03789644444444444,0.8,
0.04,Langevin,KDE_chi2,seed,0,780.0,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.04,Langevin,KDE_chi2,seed,1,780.0,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.04,Langevin,KDE_chi2,seed,2,750.0,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.04,Langevin,KDE_chi2,seed,3,765.0,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.04,Langevin,KDE_chi2,seed,4,825.0,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.04,Langevin,KDE_chi2,seed,5,765.0,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.04,Langevin,KDE_chi2,seed,6,765.0,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.04,Langevin,KDE_chi2,seed,7,810.0,False,False,fewer than eight eligible contiguous points,0,,,,,,,,,,,,,
0.04,Langevin,bin_chi2_M120,seed,0,1845.0,False,True,accepted,108,225.0,1830.0,0.7944066666666668,0.15689999999999998,-0.001063684787654488,9.493241379414432e-06,0.000531842393827244,0.9916274536982889,0.04570600155347865,1857.0183406892963,0.047837733333333333,0.8,
0.04,Langevin,bin_chi2_M120,seed,1,1920.0,False,True,accepted,107,210.0,1800.0,0.7949600000000001,0.15536666666666668,-0.0010636635752858353,7.499573591993906e-06,0.0005318317876429177,0.9948073047854026,0.035603825766964144,1842.7055063882572,0.047837733333333333,0.8,
0.04,Langevin,bin_chi2_M120,seed,2,1920.0,False,True,accepted,103,210.0,1740.0,0.7939266666666667,0.14832666666666666,-0.0010864663289616846,7.680870746246244e-06,0.0005432331644808423,0.9949774648011637,0.03442615623106526,1807.241100576952,0.047837733333333333,0.8,
0.04,Langevin,bin_chi2_M120,seed,3,1815.0,False,True,accepted,106,225.0,1800.0,0.7899266666666669,0.15087333333333336,-0.00107449906646413,7.4053182136134255e-06,0.000537249533232065,0.995084489120929,0.0346615172545862,1835.3296368909532,0.047837733333333333,0.8,
