method,quantity,metric,estimator,epsilon_subset,preferred_AIC,preferred_BIC,preferred_LOO,selected_family,arrhenius_votes,polynomial_votes,delta_AIC_poly_minus_arr,delta_BIC_poly_minus_arr,delta_LOO_poly_minus_arr
Langevin,mixing_time,bin_chi2_M40,particle_threshold,reliable_rate_window_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,557.9153219060205,557.9153219060205,1.8899090672338394
Langevin,chi2_effective_rate,bin_chi2_M80,seed_mean_window,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,68.73381696839685,68.73381696839687,0.29705900720786305
Langevin,chi2_effective_rate,bin_chi2_M80,seed_mean_window,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,67.90075849554597,67.90075849554597,0.24807572650895243
Langevin,chi2_effective_rate,bin_chi2_M80,seed_mean_window,lowest_12,arrhenius,arrhenius,arrhenius,arrhenius,3,0,37.048257097306625,37.048257097306625,0.12905477638712767
Langevin,chi2_effective_rate,bin_chi2_M80,seed_mean_window,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,25.881303322488783,25.881303322488783,0.09826863576085564
Langevin,chi2_effective_rate,bin_chi2_M80,seed_mean_window,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,17.44370444145641,17.44370444145641,0.08299493466940192
Langevin,chi2_effective_rate,bin_chi2_M80,seed_mean_window,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,68.73381696839685,68.73381696839687,0.29705900720786305
Langevin,chi2_effective_rate,bin_chi2_M80,seed_mean_window,reliable_rate_window_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,68.73381696839685,68.73381696839687,0.29705900720786305
Langevin,mixing_time,bin_chi2_M80,particle_threshold,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,556.213541099512,556.213541099512,1.8786866421462598
Langevin,mixing_time,bin_chi2_M80,particle_threshold,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,531.6469021679911,531.6469021679911,1.9027445695550584
Langevin,mixing_time,bin_chi2_M80,particle_threshold,lowest_12,arrhenius,arrhenius,arrhenius,arrhenius,3,0,273.6370643290752,273.63706432907526,0.40303443587925936
Langevin,mixing_time,bin_chi2_M80,particle_threshold,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,191.91040816433053,191.91040816433053,0.3061086390395127
Langevin,mixing_time,bin_chi2_M80,particle_threshold,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,130.70582979052529,130.70582979052529,0.435499315703034
Langevin,mixing_time,bin_chi2_M80,particle_threshold,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,556.213541099512,556.213541099512,1.8786866421462598
