epsilon,metric,bias_floor_replicates,N_particles,KDE_bandwidth,bias_floor_mean,bias_floor_std,bias_floor_q95,bias_floor_max,threshold,threshold_above_bias_floor,threshold_rule
0.1,truncated_KDE_chi2,24,2400,0.03856712370868164,0.007623745636855824,0.0016592669418066814,0.009846009466869868,0.01160279623679263,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.1,well_TV,24,2400,0.03856712370868164,0.008263888888888888,0.006904352870966795,0.02362499999999994,0.028333333333333266,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.1,W1,24,2400,0.03856712370868164,0.019044433206444864,0.010671355226362686,0.045199969183706314,0.048989700633790934,0.12247425158447733,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.1,CDF_sup,24,2400,0.03856712370868164,0.01619040169739231,0.0054787863852420226,0.0277965378477656,0.03137437143041222,0.07843592857603054,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.09,truncated_KDE_chi2,24,2400,0.03600925541595481,0.007589252758244639,0.001955718415507768,0.010304976541303619,0.011512117673437884,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.09,well_TV,24,2400,0.03600925541595481,0.009548611111111105,0.006493350215484606,0.021437500000000005,0.028749999999999942,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.09,W1,24,2400,0.03600925541595481,0.02048334083066298,0.011697965227082217,0.04545673979374297,0.054266532689009245,0.13566633172252313,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.09,CDF_sup,24,2400,0.03600925541595481,0.016676989334317164,0.006006086025155265,0.027259679466729744,0.03526446523064086,0.08816116307660216,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.08,truncated_KDE_chi2,24,2400,0.03343783602703798,0.009143898529048096,0.0018308413606728355,0.011643040474773662,0.01305393124083749,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.08,well_TV,24,2400,0.03343783602703798,0.007916666666666681,0.005800893234566562,0.01785416666666657,0.017916666666666803,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.08,W1,24,2400,0.03343783602703798,0.019195963017880586,0.009071871663018366,0.03389799305721146,0.03566954718909151,0.08917386797272878,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.08,CDF_sup,24,2400,0.03343783602703798,0.017416197048483986,0.005472866621985683,0.024125273193044486,0.031220122345569368,0.07805030586392342,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.07,truncated_KDE_chi2,24,2400,0.030840117829300594,0.009006814001907334,0.001943080341292494,0.01263681409171463,0.012838014633234307,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.07,well_TV,24,2400,0.030840117829300594,0.006874999999999955,0.004354463532630048,0.014104166666666555,0.01458333333333317,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.07,W1,24,2400,0.030840117829300594,0.01635042339155244,0.006211892381751612,0.026688450899965167,0.027438913935108923,0.08,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.07,CDF_sup,24,2400,0.030840117829300594,0.01509575674768474,0.003462008879671321,0.020883525738551234,0.021124239939305678,0.06,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.06,truncated_KDE_chi2,24,2400,0.02801031231032403,0.010437814203183212,0.0022711823906912017,0.01393374285401449,0.01469681713071609,0.05,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.06,well_TV,24,2400,0.02801031231032403,0.0062673611111111055,0.004735579379248744,0.014458333333333285,0.01666666666666672,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.06,W1,24,2400,0.02801031231032403,0.015465076944623138,0.007653275552380198,0.03113256487700519,0.033610858050799115,0.08402714512699778,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.06,CDF_sup,24,2400,0.02801031231032403,0.01568655390130012,0.005096328235719581,0.026134393477747403,0.028276178337256208,0.07069044584314052,True,"max(0.06, 2.5 * maximum target-sampling floor)"
0.05,truncated_KDE_chi2,24,2400,0.026696329254727758,0.011215178272754723,0.0032014662333844845,0.017665226188449873,0.02065759950256378,0.05164399875640945,True,"max(0.05, 2.5 * maximum target-sampling floor)"
0.05,well_TV,24,2400,0.026696329254727758,0.00822916666666665,0.005085693797405256,0.017500000000000016,0.01874999999999999,0.075,True,"max(0.075, 2.5 * maximum target-sampling floor)"
0.05,W1,24,2400,0.026696329254727758,0.018356105415813197,0.009088823300576377,0.03244437527442782,0.04000718874717151,0.10001797186792878,True,"max(0.08, 2.5 * maximum target-sampling floor)"
0.05,CDF_sup,24,2400,0.026696329254727758,0.016477016987086424,0.005688942771661867,0.02493562619169993,0.03367725549809894,0.08419313874524735,True,"max(0.06, 2.5 * maximum target-sampling floor)"
