epsilon,replicate,metric,bias_floor_value,N_particles,KDE_bandwidth
0.3,4,CDF_sup,0.011648341961813857,2400,0.06458314992431465
0.3,5,truncated_KDE_chi2,0.007224257211926841,2400,0.06458314992431465
0.3,5,well_TV,0.02250000000000013,2400,0.06458314992431465
0.3,5,W1,0.035503390769277915,2400,0.06458314992431465
0.3,5,CDF_sup,0.026492079689104275,2400,0.06458314992431465
0.3,6,truncated_KDE_chi2,0.007400205407941021,2400,0.06458314992431465
0.3,6,well_TV,0.01749999999999985,2400,0.06458314992431465
0.3,6,W1,0.026637738783695568,2400,0.06458314992431465
0.3,6,CDF_sup,0.018204576426824493,2400,0.06458314992431465
0.3,7,truncated_KDE_chi2,0.005054059259738574,2400,0.06458314992431465
0.3,7,well_TV,0.0008333333333334636,2400,0.06458314992431465
0.3,7,W1,0.013762986434894552,2400,0.06458314992431465
0.3,7,CDF_sup,0.014249634310009252,2400,0.06458314992431465
0.3,8,truncated_KDE_chi2,0.0027563067124816223,2400,0.06458314992431465
0.3,8,well_TV,0.002083333333333215,2400,0.06458314992431465
0.3,8,W1,0.008694985881446946,2400,0.06458314992431465
0.3,8,CDF_sup,0.009836950948062806,2400,0.06458314992431465
0.3,9,truncated_KDE_chi2,0.006248207715416402,2400,0.06458314992431465
0.3,9,well_TV,0.011249999999999871,2400,0.06458314992431465
0.3,9,W1,0.02865808185425974,2400,0.06458314992431465
0.3,9,CDF_sup,0.021589176305319646,2400,0.06458314992431465
0.3,10,truncated_KDE_chi2,0.005559157020938356,2400,0.06458314992431465
0.3,10,well_TV,0.018333333333333424,2400,0.06458314992431465
0.3,10,W1,0.03363851353686301,2400,0.06458314992431465
0.3,10,CDF_sup,0.025471646558766825,2400,0.06458314992431465
0.3,11,truncated_KDE_chi2,0.004469661771512387,2400,0.06458314992431465
0.3,11,well_TV,0.00374999999999992,2400,0.06458314992431465
0.3,11,W1,0.01764829891198451,2400,0.06458314992431465
0.3,11,CDF_sup,0.015086505483147855,2400,0.06458314992431465
0.3,12,truncated_KDE_chi2,0.004053896431708592,2400,0.06458314992431465
0.3,12,well_TV,0.0012499999999998623,2400,0.06458314992431465
0.3,12,W1,0.008655106864544498,2400,0.06458314992431465
0.3,12,CDF_sup,0.008157818497104397,2400,0.06458314992431465
0.3,13,truncated_KDE_chi2,0.003837819257031014,2400,0.06458314992431465
0.3,13,well_TV,0.019166666666666554,2400,0.06458314992431465
0.3,13,W1,0.03230051645575792,2400,0.06458314992431465
0.3,13,CDF_sup,0.022137375696534622,2400,0.06458314992431465
0.3,14,truncated_KDE_chi2,0.00425157325259401,2400,0.06458314992431465
0.3,14,well_TV,0.0029166666666665675,2400,0.06458314992431465
0.3,14,W1,0.014878767569582299,2400,0.06458314992431465
0.3,14,CDF_sup,0.010191709445857566,2400,0.06458314992431465
0.3,15,truncated_KDE_chi2,0.003497682438300935,2400,0.06458314992431465
0.3,15,well_TV,0.0025000000000001132,2400,0.06458314992431465
0.3,15,W1,0.011162023500542965,2400,0.06458314992431465
0.3,15,CDF_sup,0.01182192526939363,2400,0.06458314992431465
0.3,16,truncated_KDE_chi2,0.004817279529664311,2400,0.06458314992431465
0.3,16,well_TV,0.00833333333333347,2400,0.06458314992431465
0.3,16,W1,0.014299315876482938,2400,0.06458314992431465
0.3,16,CDF_sup,0.014369705303206914,2400,0.06458314992431465
0.3,17,truncated_KDE_chi2,0.009542905376178534,2400,0.06458314992431465
0.3,17,well_TV,0.023333333333333428,2400,0.06458314992431465
0.3,17,W1,0.04649523214115652,2400,0.06458314992431465
0.3,17,CDF_sup,0.029005032813451986,2400,0.06458314992431465
0.3,18,truncated_KDE_chi2,0.002811094029885824,2400,0.06458314992431465
0.3,18,well_TV,0.003333333333333466,2400,0.06458314992431465
0.3,18,W1,0.008151634578990282,2400,0.06458314992431465
0.3,18,CDF_sup,0.00972072581089034,2400,0.06458314992431465
0.3,19,truncated_KDE_chi2,0.007053104250878961,2400,0.06458314992431465
0.3,19,well_TV,0.012083333333333446,2400,0.06458314992431465
0.3,19,W1,0.029158880855619445,2400,0.06458314992431465
0.3,19,CDF_sup,0.021710467326529814,2400,0.06458314992431465
0.3,20,truncated_KDE_chi2,0.008993653925850522,2400,0.06458314992431465
0.3,20,well_TV,0.017083333333333228,2400,0.06458314992431465
0.3,20,W1,0.04725815339356147,2400,0.06458314992431465
0.3,20,CDF_sup,0.02717821043162083,2400,0.06458314992431465
0.3,21,truncated_KDE_chi2,0.004049219708272961,2400,0.06458314992431465
0.3,21,well_TV,0.005416666666666514,2400,0.06458314992431465
0.3,21,W1,0.01706487306342467,2400,0.06458314992431465
0.3,21,CDF_sup,0.016834900195021263,2400,0.06458314992431465
0.3,22,truncated_KDE_chi2,0.0035623886555262822,2400,0.06458314992431465
0.3,22,well_TV,0.0016666666666667607,2400,0.06458314992431465
0.3,22,W1,0.01032920533279395,2400,0.06458314992431465
0.3,22,CDF_sup,0.008908739413041572,2400,0.06458314992431465
0.3,23,truncated_KDE_chi2,0.004554913763977351,2400,0.06458314992431465
0.3,23,well_TV,0.008333333333333193,2400,0.06458314992431465
0.3,23,W1,0.01906346309674798,2400,0.06458314992431465
0.3,23,CDF_sup,0.015091165963593056,2400,0.06458314992431465
0.26,0,truncated_KDE_chi2,0.006308821800156842,2400,0.06129791897257511
0.26,0,well_TV,0.009999999999999898,2400,0.06129791897257511
0.26,0,W1,0.019483513086423515,2400,0.06129791897257511
0.26,0,CDF_sup,0.016940354034447824,2400,0.06129791897257511
0.26,1,truncated_KDE_chi2,0.00673936922205389,2400,0.06129791897257511
0.26,1,well_TV,0.004999999999999893,2400,0.06129791897257511
0.26,1,W1,0.023711530605256853,2400,0.06129791897257511
0.26,1,CDF_sup,0.02110730039305808,2400,0.06129791897257511
0.26,2,truncated_KDE_chi2,0.0072985984983193145,2400,0.06129791897257511
0.26,2,well_TV,0.010416666666666519,2400,0.06129791897257511
0.26,2,W1,0.028900720613284706,2400,0.06129791897257511
0.26,2,CDF_sup,0.026682645747551637,2400,0.06129791897257511
0.26,3,truncated_KDE_chi2,0.004611648598980669,2400,0.06129791897257511
0.26,3,well_TV,0.0016666666666665941,2400,0.06129791897257511
0.26,3,W1,0.011497574116713084,2400,0.06129791897257511
