epsilon,replicate,metric,bias_floor_value,N_particles
0.4,49,bin_chi2_M80,0.010897777777777777,6000
0.4,49,bin_chi2_M120,0.015713333333333336,6000
0.4,50,KDE_chi2,0.004532376968627702,6000
0.4,50,well_TV,0.005499999999999949,6000
0.4,50,CDF_sup,0.008291666666666694,6000
0.4,50,W1,0.009495084488918653,6000
0.4,50,bin_chi2_M40,0.008553333333333333,6000
0.4,50,bin_chi2_M80,0.015315555555555553,6000
0.4,50,bin_chi2_M120,0.01738666666666667,6000
0.4,51,KDE_chi2,0.004993651906817175,6000
0.4,51,well_TV,0.0003333333333332966,6000
0.4,51,CDF_sup,0.011166666666666672,6000
0.4,51,W1,0.013864280677972627,6000
0.4,51,bin_chi2_M40,0.006946666666666664,6000
0.4,51,bin_chi2_M80,0.01595111111111111,6000
0.4,51,bin_chi2_M120,0.01898,6000
0.4,52,KDE_chi2,0.0048685146084619145,6000
0.4,52,well_TV,0.0071666666666666545,6000
0.4,52,CDF_sup,0.020083333333333318,6000
0.4,52,W1,0.02701600076630501,6000
0.4,52,bin_chi2_M40,0.007491111111111111,6000
0.4,52,bin_chi2_M80,0.014955555555555555,6000
0.4,52,bin_chi2_M120,0.019199999999999995,6000
0.4,53,KDE_chi2,0.00262645390342056,6000
0.4,53,well_TV,0.0016666666666666496,6000
0.4,53,CDF_sup,0.007000000000000027,6000
0.4,53,W1,0.007756975725587508,6000
0.4,53,bin_chi2_M40,0.0043444444444444424,6000
0.4,53,bin_chi2_M80,0.010724444444444443,6000
0.4,53,bin_chi2_M120,0.018813333333333335,6000
0.4,54,KDE_chi2,0.002163624677908126,6000
0.4,54,well_TV,0.002666666666666706,6000
0.4,54,CDF_sup,0.012958333333333356,6000
0.4,54,W1,0.012573042711095373,6000
0.4,54,bin_chi2_M40,0.004666666666666667,6000
0.4,54,bin_chi2_M80,0.011608888888888887,6000
0.4,54,bin_chi2_M120,0.021206666666666665,6000
0.4,55,KDE_chi2,0.0032683968476212707,6000
0.4,55,well_TV,0.005666666666666598,6000
0.4,55,CDF_sup,0.007166666666666647,6000
0.4,55,W1,0.007235300157032141,6000
0.4,55,bin_chi2_M40,0.007855555555555557,6000
0.4,55,bin_chi2_M80,0.013888888888888888,6000
0.4,55,bin_chi2_M120,0.017366666666666666,6000
0.4,56,KDE_chi2,0.0023887549390141953,6000
0.4,56,well_TV,0.004833333333333356,6000
0.4,56,CDF_sup,0.008166666666666643,6000
0.4,56,W1,0.009503220935246645,6000
0.4,56,bin_chi2_M40,0.007704444444444443,6000
0.4,56,bin_chi2_M80,0.020217777777777775,6000
0.4,56,bin_chi2_M120,0.02137333333333333,6000
0.4,57,KDE_chi2,0.0013624890786831738,6000
0.4,57,well_TV,0.0011666666666666492,6000
0.4,57,CDF_sup,0.011250000000000034,6000
0.4,57,W1,0.01069046763731254,6000
0.4,57,bin_chi2_M40,0.004991111111111109,6000
0.4,57,bin_chi2_M80,0.011062222222222222,6000
0.4,57,bin_chi2_M120,0.021486666666666668,6000
0.4,58,KDE_chi2,0.003212829090399442,6000
0.4,58,well_TV,0.0030000000000000027,6000
0.4,58,CDF_sup,0.009416666666666637,6000
0.4,58,W1,0.009538694638726468,6000
0.4,58,bin_chi2_M40,0.005815555555555553,6000
0.4,58,bin_chi2_M80,0.013626666666666667,6000
0.4,58,bin_chi2_M120,0.01950666666666667,6000
0.4,59,KDE_chi2,0.002426512668106804,6000
0.4,59,well_TV,0.004833333333333356,6000
0.4,59,CDF_sup,0.009833333333333298,6000
0.4,59,W1,0.016828024580570373,6000
0.4,59,bin_chi2_M40,0.005677777777777779,6000
0.4,59,bin_chi2_M80,0.012622222222222226,6000
0.4,59,bin_chi2_M120,0.0146,6000
0.4,60,KDE_chi2,0.0035491254500182408,6000
0.4,60,well_TV,0.000500000000000056,6000
0.4,60,CDF_sup,0.008000000000000014,6000
0.4,60,W1,0.008786769079716157,6000
0.4,60,bin_chi2_M40,0.005968888888888888,6000
0.4,60,bin_chi2_M80,0.012644444444444444,6000
0.4,60,bin_chi2_M120,0.01845333333333333,6000
0.4,61,KDE_chi2,0.004221826887433614,6000
0.4,61,well_TV,0.005499999999999949,6000
0.4,61,CDF_sup,0.014416666666666682,6000
0.4,61,W1,0.017026251627978477,6000
0.4,61,bin_chi2_M40,0.0077644444444444445,6000
0.4,61,bin_chi2_M80,0.01588,6000
0.4,61,bin_chi2_M120,0.024086666666666666,6000
0.4,62,KDE_chi2,0.003667956670716091,6000
0.4,62,well_TV,0.0006666666666665932,6000
0.4,62,CDF_sup,0.008624999999999992,6000
0.4,62,W1,0.010229815685289419,6000
0.4,62,bin_chi2_M40,0.006226666666666668,6000
0.4,62,bin_chi2_M80,0.010715555555555555,6000
0.4,62,bin_chi2_M120,0.018866666666666664,6000
0.4,63,KDE_chi2,0.007996931585519684,6000
0.4,63,well_TV,0.007499999999999951,6000
0.4,63,CDF_sup,0.013833333333333309,6000
0.4,63,W1,0.021745599730518695,6000
0.4,63,bin_chi2_M40,0.004864444444444445,6000
0.4,63,bin_chi2_M80,0.013426666666666665,6000
0.4,63,bin_chi2_M120,0.02084666666666667,6000
