epsilon,replicate,metric,bias_floor_value,N_particles
0.4,31,bin_chi2_M120,0.014793333333333332,6000
0.4,32,KDE_chi2,0.002320912232367315,6000
0.4,32,well_TV,0.01366666666666666,6000
0.4,32,CDF_sup,0.016333333333333352,6000
0.4,32,W1,0.023225245390232845,6000
0.4,32,bin_chi2_M40,0.004742222222222222,6000
0.4,32,bin_chi2_M80,0.012884444444444445,6000
0.4,32,bin_chi2_M120,0.017513333333333332,6000
0.4,33,KDE_chi2,0.004917519378232408,6000
0.4,33,well_TV,0.0034999999999999476,6000
0.4,33,CDF_sup,0.011666666666666646,6000
0.4,33,W1,0.016012700834426963,6000
0.4,33,bin_chi2_M40,0.00788888888888889,6000
0.4,33,bin_chi2_M80,0.012724444444444444,6000
0.4,33,bin_chi2_M120,0.019653333333333335,6000
0.4,34,KDE_chi2,0.003706753410991876,6000
0.4,34,well_TV,0.006000000000000005,6000
0.4,34,CDF_sup,0.009416666666666625,6000
0.4,34,W1,0.00910515649762094,6000
0.4,34,bin_chi2_M40,0.006913333333333332,6000
0.4,34,bin_chi2_M80,0.012008888888888887,6000
0.4,34,bin_chi2_M120,0.024126666666666668,6000
0.4,35,KDE_chi2,0.0031893291927188355,6000
0.4,35,well_TV,0.003500000000000003,6000
0.4,35,CDF_sup,0.00991666666666668,6000
0.4,35,W1,0.010633090646890971,6000
0.4,35,bin_chi2_M40,0.005304444444444445,6000
0.4,35,bin_chi2_M80,0.015706666666666667,6000
0.4,35,bin_chi2_M120,0.02092,6000
0.4,36,KDE_chi2,0.0021284195626099615,6000
0.4,36,well_TV,0.00666666666666671,6000
0.4,36,CDF_sup,0.009416666666666651,6000
0.4,36,W1,0.012793725952972478,6000
0.4,36,bin_chi2_M40,0.006020000000000001,6000
0.4,36,bin_chi2_M80,0.016071111111111105,6000
0.4,36,bin_chi2_M120,0.02162,6000
0.4,37,KDE_chi2,0.002032250344945844,6000
0.4,37,well_TV,0.0023333333333332984,6000
0.4,37,CDF_sup,0.008166666666666648,6000
0.4,37,W1,0.009430447860684208,6000
