epsilon,method,selected_chi2_metric,lambda_form,lambda_abs,lambda_eff,lambda_mix,T_mix,chi2_window_start_time,chi2_window_end_time,chi2_window_initial_value,chi2_window_final_value,threshold,bias_floor,noise_cutoff,lambda_eff_over_lambda_abs,lambda_mix_over_lambda_abs,lambda_form_over_lambda_abs,lambda_mix_over_lambda_eff,log_factor,predicted_threshold_time_from_lambda_eff,observed_mixing_time,predicted_to_observed_ratio,rate_window_accepted,rate_window_R2,rate_window_n_points,plateau_excluded,floor_region_excluded,initial_transient_excluded,consistency_pass,failure_reason,n_censored,N_particles,slope_log_chi2,slope_standard_error,residual_RMSE_log,upper_window_cutoff
0.125,LSC-CP,bin_chi2_M80,1.0704707107771783,1.1653307310215342,1.1106693034545776,0.8605670537729764,1.2,0.28,1.16,0.7888144444444444,0.10680777777777777,0.1,0.017521377777777774,0.03504275555555555,0.9530936358993638,0.738474521322028,0.9185981990184012,0.7748184370417963,2.065360929055143,1.2097821244501556,1.2,1.0081517703751297,True,0.9982816145765562,23,True,True,True,True,none,0,6000,-2.221338606909155,0.020111241030405534,0.024453152028597176,0.8
0.125,Langevin,bin_chi2_M80,0.056820921122094664,0.056820921121437135,0.05395628279718055,0.045184837736329385,22.834899089843958,3.4318345452944676,22.438918180771516,0.7874127777777777,0.10225277777777776,0.1,0.017521377777777774,0.03504275555555555,0.9495847960976503,0.7952148054721038,1.0000000000115719,0.8374342225571271,2.0635824202001096,22.55456051176839,22.834899089843958,0.9877232398981675,True,0.9991558217087783,73,True,True,True,True,none,0,6000,-0.1079125655943611,0.0003722573846327276,0.01744805294853246,0.8
0.14,LSC-CP,bin_chi2_M80,1.0953743097698652,1.1956146407807289,1.1334809935882544,0.8614558604501227,1.2,0.28,1.16,0.7904988888888889,0.10835666666666666,0.1,0.018596488888888884,0.03719297777777777,0.9480320455494744,0.7205129738856304,0.9161600003949371,0.7600090917475526,2.0674940650802944,1.1920109100970633,1.2,0.9933424250808861,True,0.9976031382801567,23,True,True,True,True,none,0,6000,-2.2669619871765088,0.02424806998539086,0.029483100563330603,0.8
0.14,Langevin,bin_chi2_M80,0.07185538707777095,0.07185538707920933,0.06844418966295157,0.055783841778174,18.57898279157685,2.7137840032640344,17.74397232903407,0.7947155555555555,0.10062777777777777,0.1,0.018596488888888884,0.03719297777777777,0.9525269077947149,0.7763348587445648,0.9999999999799823,0.8150266962451812,2.072814072889481,17.856150967478985,18.57898279157685,0.9610941119755182,True,0.9988712292624551,73,True,True,True,True,none,0,6000,-0.13688837932590314,0.0005461167868815134,0.020241286480244803,0.8
0.16,LSC-CP,bin_chi2_M80,1.1285512606682453,1.2335733553024797,1.1903033854159095,0.8896278195437312,1.16,0.28,1.12,0.7876916666666667,0.10177333333333333,0.1,0.017484577777777774,0.03496915555555555,0.964923067038879,0.7211795032048086,0.9148635189121102,0.7473958575971639,2.063936541341456,1.14697919481271,1.16,0.9887751679419914,True,0.9989860418420309,22,True,True,True,True,none,0,6000,-2.380606770831819,0.016959106732566134,0.019246905099328103,0.8
0.16,Langevin,bin_chi2_M80,0.09255461920745653,0.09255461920490445,0.08741849371707794,0.07178839683708094,14.42391542927183,2.268930516964108,13.93771603277952,0.7932272222222222,0.10479333333333332,0.1,0.017484577777777774,0.03496915555555555,0.9445070863891109,0.7756327826075361,1.0000000000275737,0.8212037726183844,2.0709395295621214,14.113904283410657,14.42391542927183,0.9785071434049012,True,0.9986602618706419,73,True,True,True,True,none,0,6000,-0.17483698743415588,0.0007599853396030081,0.021868502002684736,0.8
0.18,LSC-CP,bin_chi2_M80,1.1608793124127503,1.268613541339637,1.2548336655301888,0.8865433008132488,1.16,0.28,1.08,0.782075,0.10148166666666666,0.1,0.01919746666666666,0.03839493333333332,0.9891378458762966,0.6988285020803674,0.9150771882719138,0.706502642673895,2.0567804578867372,1.0995430655017182,1.16,0.9478819530187227,True,0.9989662645420101,21,True,True,True,True,none,0,6000,-2.5096673310603776,0.018521179996739617,0.01955424982562719,0.8
0.18,Langevin,bin_chi2_M80,0.11361801212489601,0.11361801212445657,0.10792319934185186,0.08782897953688672,11.815908190062615,1.9803198083903826,11.48585488866422,0.7968994444444444,0.10198444444444443,0.1,0.01919746666666666,0.03839493333333332,0.9498775530734807,0.773019857456046,1.0000000000038678,0.8138100063053566,2.075558317269483,11.596224127048753,11.815908190062615,0.981407771668485,True,0.9993624980237652,73,True,True,True,True,none,0,6000,-0.21584639868370373,0.0006469859897738294,0.015165600389605011,0.8
0.2,LSC-CP,bin_chi2_M80,1.1921260610237694,1.3011734141338331,1.2731361225284408,0.9442515498152693,1.08,0.28,1.04,0.7687405555555555,0.10328222222222222,0.1,0.017823022222222217,0.035646044444444434,0.9784523021291084,0.7256923170720022,0.916193067022773,0.7416736773912214,2.0395833476009817,1.0810075715825191,1.08,1.0009329366504807,True,0.9980992322812058,20,True,True,True,True,none,0,6000,-2.5462722450568815,0.026190648177015666,0.02562939269140586,0.8
0.2,Langevin,bin_chi2_M80,0.1347790897322184,0.1347790897296068,0.12735323117269454,0.10129569057660871,10.238977001317856,1.6693984241279114,9.905097316492276,0.79592,0.10012277777777777,0.1,0.017823022222222217,0.035646044444444434,0.9449034818990839,0.7515682943090628,1.0000000000193767,0.7953916021121515,2.074328492293013,9.813394745195595,10.238977001317856,0.9584350803730212,True,0.9989234019549523,75,True,True,True,True,none,0,6000,-0.2547064623453891,0.0009786766652991321,0.020146584824303697,0.8
