epsilon,method,n_cells,domain_left,domain_right,row_sum_inf,stationary_residual_l1,stationary_residual_linf,minimum_off_diagonal,maximum_exit_rate,raw_jump_stationary_residual_linf,correction_flux_max,spectral_gap,form_zero_eigenvalue,form_residual,abscissa_rate,zero_eigenvalue_abs,minimum_nonzero_real_rate,maximum_eigenvalue_real_part,spectral_gap_relative_change_main_to_finest,abscissa_rate_relative_change_main_to_finest
0.1,Langevin,400,-5.0,5.0,1.8189894035458565e-12,5.827838212013603e-13,1.0658141036401503e-14,0.0,20635.424813458798,0.0,0.0,0.033548229594511605,0.0,1.0173042687442893e-11,0.0335482295936987,1.5647200154069977e-12,0.0335482295936987,-1.5647200154069977e-12,4.9033125462151515e-05,4.903313434166271e-05
0.1,LSC-CP,400,-5.0,5.0,3.6380898293941755e-12,8.949979785202256e-13,1.1739759758397882e-14,0.0,20718.37658072591,0.28376351381557796,0.2910764745295637,1.03029410783489,0.0,2.0129588115197738e-11,1.1117396540952287,5.892397680895556e-12,1.1117396540952287,-5.892397680895556e-12,0.00027254244058931803,9.89548840666567e-05
0.05,Langevin,240,-5.0,5.0,9.094947017729282e-13,2.657258094118653e-13,7.105427357601002e-15,0.0,8278.749001864713,0.0,0.0,0.0026203695959226767,0.0,4.1106806858712975e-12,0.0026203695980484064,2.052248562062209e-12,0.0026203695980484064,-2.052248562062209e-12,0.015072098405619478,0.015072097021728601
0.05,LSC-CP,240,-5.0,5.0,1.8189894035458565e-12,3.7440725500948076e-13,1.0658141036401503e-14,0.0,8322.086169753327,0.27574133956319347,0.2802547958197653,0.9792534234283152,0.0,7.403247222816067e-12,1.0106573300595045,6.41906712825318e-13,1.0106573300595045,-6.41906712825318e-13,0.0006952187401197519,0.0008556659859908488
0.05,Langevin,320,-5.0,5.0,9.094947017729282e-13,4.3974893171316864e-13,7.105427357601002e-15,0.0,14718.78982352014,0.0,0.0,0.00273490435247778,0.0,7.196588838969715e-12,0.00273490435248968,1.995998852648071e-13,0.00273490435248968,-1.995998852648071e-13,0.015072098405619478,0.015072097021728601
0.05,LSC-CP,320,-5.0,5.0,1.819100425848319e-12,6.104774075577774e-13,1.1115586261763871e-14,0.0,14776.41138475408,0.27440815743136915,0.28014419277748004,0.980639246627292,0.0,1.442712098138284e-11,1.012222809568766,4.589725635991545e-13,1.012222809568766,4.589725635991545e-13,0.0006952187401197519,0.0008556659859908488
0.05,Langevin,400,-5.0,5.0,1.8189894035458565e-12,7.716926056500206e-13,1.0658141036401503e-14,0.0,22998.733646308803,0.0,0.0,0.0027767558905078984,0.0,1.1072448178780544e-11,0.0027767558866184493,3.636489980668456e-12,0.0027767558866184493,3.636489980668456e-12,0.015072098405619478,0.015072097021728601
0.05,LSC-CP,400,-5.0,5.0,3.6380898293941755e-12,1.0775200176560418e-12,1.6320061621555304e-14,0.0,23070.716277324438,0.2734459768447762,0.280255311606401,0.9813214797100684,0.0,2.229668787370023e-11,1.0130896759452308,1.6768266298018712e-12,1.0130896759452308,1.6768266298018712e-12,0.0006952187401197519,0.0008556659859908488
0.04,Langevin,240,-5.0,5.0,9.094947017729282e-13,2.7450437756204593e-13,7.105427357601002e-15,0.0,8494.696640167509,0.0,0.0,0.0005245873846555746,0.0,4.239478715844868e-12,0.0005245873842337828,4.037602164534931e-13,0.0005245873842337828,4.037602164534931e-13,0.07163332349322124,0.07163333005868273
0.04,LSC-CP,240,-5.0,5.0,1.8189894035458565e-12,4.302274750106645e-13,1.1275146940235847e-14,0.0,8536.352906632232,0.27434159931874647,0.2788069267857611,0.9805673736818423,0.0,8.033132446117194e-12,1.0013407100914353,1.4020823491449473e-13,1.0013407100914353,-1.4020823491449473e-13,1.552155102905523e-05,0.0003254120795043692
0.04,Langevin,320,-5.0,5.0,9.094947017729282e-13,4.202065670248778e-13,7.105427357601002e-15,0.0,15101.788075024244,0.0,0.0,0.0005751877670220775,0.0,7.30115140386612e-12,0.0005751877623206457,5.196898358698909e-12,0.0005751877623206457,5.196898358698909e-12,0.07163332349322124,0.07163333005868273
0.04,LSC-CP,320,-5.0,5.0,1.8189894035458565e-12,6.361307964761198e-13,1.0658141036401503e-14,0.0,15157.139520729905,0.272962051567516,0.2790084750201849,0.9805045066712058,0.0,1.4745831571330465e-11,1.0016650461051646,2.747728330440386e-12,1.0016650461051646,2.747728330440386e-12,1.552155102905523e-05,0.0003254120795043692
0.04,Langevin,400,-5.0,5.0,1.8189894035458565e-12,7.694617512599145e-13,1.0658141036401503e-14,0.0,23598.455607934127,0.0,0.0,0.0006195695963435171,0.0,1.1188921251097738e-11,0.0006195695956609513,7.580768695072959e-13,0.0006195695956609513,7.580768695072959e-13,0.07163332349322124,0.07163333005868273
0.04,LSC-CP,400,-5.0,5.0,3.637978807091713e-12,1.0175897735662139e-12,1.3465533484254e-14,0.0,23667.382781571487,0.27170748135177747,0.2789148745783623,0.9805197258581657,0.0,2.534593184694053e-11,1.0019911061146503,5.431671865573754e-13,1.0019911061146503,-5.431671865573754e-13,1.552155102905523e-05,0.0003254120795043692
