epsilon,method,n_cells,abscissa_rate,abscissa_reliable,zero_eigenvalue_abs,maximum_eigenvalue_real_part,row_sum_inf,stationary_residual_l1,stationary_residual_linf,minimum_off_diagonal,maximum_exit_rate,raw_jump_stationary_residual_linf,correction_flux_max
0.18,LSC-CP,320,1.268613541339637,True,2.2110639493116907e-11,-2.2110639493116907e-11,1.819100425848319e-12,5.386166908533455e-13,9.608850173870032e-15,0.0,12785.86301258872,0.2900352799604388,0.29760425022561254
0.16,Langevin,320,0.09255461920490445,True,2.327399431882552e-12,2.327399431882552e-12,9.094947017729282e-13,3.2757130341565244e-13,7.105427357601002e-15,0.0,12694.599438504345,0.0,0.0
0.16,LSC-CP,320,1.2335733553024797,True,3.1853357609106312e-12,3.1853357609106312e-12,1.8189894035458565e-12,5.395969315900168e-13,9.555954660379895e-15,0.0,12765.814849509074,0.28983534582145976,0.29703921833206065
0.14,Langevin,320,0.07185538707920933,True,5.888484144573502e-13,-5.888484144573502e-13,9.094947017729282e-13,3.8757885789664215e-13,7.105427357601002e-15,0.0,12750.930431866977,0.0,0.0
0.14,LSC-CP,320,1.1956146407807289,True,6.297629084883738e-12,-6.297629084883738e-12,1.8189894035458565e-12,5.950876998204319e-13,1.0658141036401503e-14,0.0,12820.943811067891,0.28911025485590797,0.29593607485034346
0.125,Langevin,320,0.056820921121437135,True,8.445642028569967e-13,8.445642028569967e-13,9.094947017729282e-13,4.1716630150290257e-13,7.105427357601002e-15,0.0,12857.950233251271,0.0,0.0
0.125,LSC-CP,320,1.1653307310215342,True,6.8554178996058225e-12,-6.8554178996058225e-12,1.8189894035458565e-12,5.332014194861685e-13,8.908048994629714e-15,0.0,12927.011451875253,0.2879736216250085,0.29445029773492704
0.11,Langevin,320,0.042504826768678255,True,6.979263628189897e-13,-6.979263628189897e-13,9.094947017729282e-13,4.0331626927070374e-13,7.105427357601002e-15,0.0,13037.765267695018,0.0,0.0
0.11,LSC-CP,320,1.1336158998015764,True,3.713959853870307e-13,3.713959853870307e-13,1.8189894035458565e-12,5.706950821746277e-13,1.1721309686740788e-14,0.0,13105.727570052171,0.2863805391353088,0.29253814286544405
0.1,Langevin,320,0.03354987456854729,True,2.969049132273179e-13,2.969049132273179e-13,9.094947017729282e-13,4.098110739647609e-13,7.105427357601002e-15,0.0,13206.214902606058,0.0,0.0
0.1,LSC-CP,320,1.111849666163812,True,9.618553423956897e-13,-9.618553423956897e-13,1.8189894035458565e-12,5.534942079318816e-13,1.1551306786095061e-14,0.0,13272.919701323039,0.2849965728546423,0.2910002232968818
0.09,Langevin,320,0.02524441875360932,True,1.8476400964750894e-12,-1.8476400964750894e-12,9.094947017729282e-13,4.292954880469324e-13,7.105427357601002e-15,0.0,13418.199019905102,0.0,0.0
0.09,LSC-CP,320,1.0898624788243776,True,7.057310093397913e-13,7.057310093397913e-13,1.8189894035458565e-12,6.149651033088115e-13,1.214978638530706e-14,0.0,13483.522808592801,0.28325011406588896,0.28913310047056046
0.08,Langevin,320,0.01778310479893488,True,5.942017711202396e-13,5.942017711202396e-13,9.094947017729282e-13,4.2540970746074436e-13,7.105427357601002e-15,0.0,13677.839429253256,0.0,0.0
0.08,LSC-CP,320,1.0681700575504964,True,2.7885112270914944e-12,2.7885112270914944e-12,1.8189894035458565e-12,5.861095436028238e-13,1.0593956267790361e-14,0.0,13741.606389441782,0.28130299301874284,0.28701966340706797
0.07,Langevin,320,0.01139763358661042,True,1.965781704083014e-12,1.965781704083014e-12,9.094947017729282e-13,3.8387001910500373e-13,7.105427357601002e-15,0.0,13985.897484196077,0.0,0.0
0.07,LSC-CP,320,1.0474867735134217,True,2.273799945473117e-12,2.273799945473117e-12,1.8189894035458565e-12,5.770361605531536e-13,9.96276764428719e-15,0.0,14047.996557422253,0.27903499941657023,0.2847208391833514
0.06,Langevin,320,0.006339076533274298,True,7.511209536292807e-13,-7.511209536292807e-13,9.094947017729282e-13,4.419971333380346e-13,7.105427357601002e-15,0.0,14337.074442740148,0.0,0.0
0.06,LSC-CP,320,1.0287473622923553,True,7.311041711828827e-13,7.311041711828827e-13,1.8189894035458565e-12,6.04569779655284e-13,1.0658141036401503e-14,0.0,14397.0279667534,0.27675131944912695,0.28237440416050746
0.055,Langevin,320,0.004366641109662941,True,1.8515345506786574e-12,1.8515345506786574e-12,9.094947017729282e-13,4.5404825732564547e-13,7.105427357601002e-15,0.0,14525.86090067693,0.0,0.0
0.055,LSC-CP,320,1.0202602484759855,True,5.395515507147679e-13,5.395515507147679e-13,1.8189894035458565e-12,6.060765564007593e-13,9.507938056665943e-15,0.0,14584.817948050257,0.27545356064248916,0.2812602810778115
0.05,Langevin,320,0.00273490435248968,True,1.995998852648071e-13,-1.995998852648071e-13,9.094947017729282e-13,4.3974893171316864e-13,7.105427357601002e-15,0.0,14718.78982352014,0.0,0.0
0.05,LSC-CP,320,1.012222809568766,True,4.589725635991545e-13,4.589725635991545e-13,1.819100425848319e-12,6.104774075577774e-13,1.1115586261763871e-14,0.0,14776.41138475408,0.27440815743136915,0.28014419277748004
0.045,Langevin,320,0.0014235807423572896,True,2.430145928239425e-13,2.430145928239425e-13,9.094947017729282e-13,4.389625598774649e-13,7.105427357601002e-15,0.0,14912.132402145293,0.0,0.0
0.045,LSC-CP,320,1.0054632199532867,True,3.952947383312927e-12,-3.952947383312927e-12,1.8189894035458565e-12,6.099210492129664e-13,1.0673753547685294e-14,0.0,14968.45692047368,0.27356103755362576,0.2792625837066376
0.04,Langevin,320,0.0005751877623206457,True,5.196898358698909e-12,5.196898358698909e-12,9.094947017729282e-13,4.202065670248778e-13,7.105427357601002e-15,0.0,15101.788075024244,0.0,0.0
0.04,LSC-CP,320,1.0016650461051646,True,2.747728330440386e-12,2.747728330440386e-12,1.8189894035458565e-12,6.361307964761198e-13,1.0658141036401503e-14,0.0,15157.139520729905,0.272962051567516,0.2790084750201849
