epsilon,metric,bias_floor_replicates,N_particles,bias_floor_mean,bias_floor_q99,bias_floor_max,threshold,threshold_above_bias_floor,threshold_rule
0.06,KDE_chi2,64,6000,0.07502429183559209,0.0873628507510006,0.0909283157837191,0.2620885522530018,True,"max(0.05, 3 * target-only q99 floor)"
0.06,bin_chi2_M40,64,6000,0.006630763888888889,0.011156177777777776,0.011637777777777778,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.06,bin_chi2_M80,64,6000,0.01341847222222222,0.0174588,0.017959999999999997,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.06,bin_chi2_M120,64,6000,0.01957625,0.02510953333333333,0.025693333333333335,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.06,well_TV,64,6000,0.004544270833333328,0.012899999999999991,0.015000000000000013,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.06,CDF_sup,64,6000,0.01025911458333333,0.017490000000000006,0.018749999999999982,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.06,W1,64,6000,0.010744342290374444,0.02849424840310955,0.029177424763984945,0.08548274520932865,True,"max(0.08, 3 * target-only q99 floor)"
0.055,KDE_chi2,64,6000,0.09000240587472799,0.10084849240313574,0.10372202657345053,0.3025454772094072,True,"max(0.05, 3 * target-only q99 floor)"
0.055,bin_chi2_M40,64,6000,0.006579270833333333,0.01056991111111111,0.01093111111111111,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.055,bin_chi2_M80,64,6000,0.01321798611111111,0.018161866666666658,0.019466666666666667,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.055,bin_chi2_M120,64,6000,0.019598541666666667,0.0252294,0.025619999999999997,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.055,well_TV,64,6000,0.005388020833333328,0.01605500000000001,0.017000000000000015,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.055,CDF_sup,64,6000,0.010849609375,0.02137166666666666,0.021791666666666636,0.06411499999999998,True,"max(0.06, 3 * target-only q99 floor)"
0.055,W1,64,6000,0.011745615917482275,0.033007541528302826,0.03730051364923064,0.09902262458490849,True,"max(0.08, 3 * target-only q99 floor)"
0.05,KDE_chi2,64,6000,0.11217233357465094,0.1255314403674897,0.12686046957324276,0.3765943211024691,True,"max(0.05, 3 * target-only q99 floor)"
0.05,bin_chi2_M40,64,6000,0.0065176736111111095,0.00993522222222222,0.010642222222222223,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.05,bin_chi2_M80,64,6000,0.013345347222222222,0.019627333333333326,0.02045333333333333,0.1,True,"max(0.1, 3 * target-only q99 floor)"
