method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,bank_size,bank_refresh_policy,bank_shared_between_score_and_noise,m_clip_fraction,jump_count_mean,max_log_magnitude,jump_count_applied_cumulative,score_clip_fraction_cumulative,jump_rate_per_particle_time_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,3,58,0.29,4681755.806130801,1463.0486894158755,58.0,1856.0,0.6039498497471822,0.341237363502663,0.34055587051918634,0.60875,0.28949774193669975,0.0,0.19156391707543197,0.5848977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0056640625,127.0917869326972,1015,0.0,1.09375,1.0775862068965516e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,0,67,0.335,5408235.155357995,1690.0734860493735,67.0,2144.0,0.5731356027525967,0.3060767925725557,0.3053678007338253,0.5700000000000001,0.2538577685977311,0.0,0.16578831213592388,0.5498977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005555555555555555,256.00510201258675,1175,0.0,1.0960820895522387,9.328358208955224e-06,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,1,67,0.335,5408235.155357995,1690.0734860493735,67.0,2144.0,0.5687620348667566,0.30461526127980154,0.3039101295018384,0.57125,0.2581648050691451,0.0,0.162691689111994,0.5436477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005555555555555555,256.00510201258675,1175,0.0,1.0960820895522387,9.328358208955224e-06,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,2,67,0.335,5408235.155357995,1690.0734860493735,67.0,2144.0,0.5702735034326623,0.30368028207268094,0.30297555798900777,0.5650000000000001,0.2586525576599753,0.0,0.1636809971154924,0.5411477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005555555555555555,256.00510201258675,1175,0.0,1.0960820895522387,9.328358208955224e-06,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,3,67,0.335,5408235.155357995,1690.0734860493735,67.0,2144.0,0.583654931530842,0.3181893344291927,0.31748806072036173,0.585,0.2654689303703911,0.0,0.171266777084077,0.5573977216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005555555555555555,256.00510201258675,1175,0.0,1.0960820895522387,9.328358208955224e-06,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,0,75,0.375,6053994.5768932775,1891.8733052791492,75.0,2400.0,0.557523815894996,0.2883252904721181,0.28759885287525144,0.55125,0.24114545290087086,0.0,0.1540177767765668,0.5311477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0049609375,103.97755608033346,1302,0.0,1.085,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,1,75,0.375,6053994.5768932775,1891.8733052791492,75.0,2400.0,0.5521165661447799,0.28534491780069193,0.28462413751731475,0.55375,0.23899772617442583,0.0,0.1501189467395177,0.5236477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0049609375,103.97755608033346,1302,0.0,1.085,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,2,75,0.375,6053994.5768932775,1891.8733052791492,75.0,2400.0,0.5475603831117323,0.2793664710206549,0.2786404170998489,0.54,0.23860312041634002,0.0,0.14333354727371378,0.5098977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0049609375,103.97755608033346,1302,0.0,1.085,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,3,75,0.375,6053994.5768932775,1891.8733052791492,75.0,2400.0,0.5645094882440098,0.2987133669464176,0.2980074235505187,0.5625,0.23366143093240455,0.0,0.16160136619930426,0.5423977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0049609375,103.97755608033346,1302,0.0,1.085,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,0,83,0.41500000000000004,6699753.998428561,2093.6731245089254,83.0,2656.0,0.5376698329230931,0.2684379663417401,0.26769901740561886,0.5337500000000001,0.2237262357340275,0.0,0.13888280854370494,0.5061477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0045703125,166.06626648038946,1419,0.0,1.0685240963855422,1.1295180722891567e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,1,83,0.41500000000000004,6699753.998428561,2093.6731245089254,83.0,2656.0,0.5434828424677696,0.2715407969437832,0.27079825205626795,0.5375,0.22911732403680185,0.0,0.14236635026122618,0.5111477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0045703125,166.06626648038946,1419,0.0,1.0685240963855422,1.1295180722891567e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,2,83,0.41500000000000004,6699753.998428561,2093.6731245089254,83.0,2656.0,0.5305913634343851,0.2627877150626551,0.26204659648464623,0.5125,0.2122163824823512,0.0,0.13220500976303123,0.4911477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0045703125,166.06626648038946,1419,0.0,1.0685240963855422,1.1295180722891567e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,3,83,0.41500000000000004,6699753.998428561,2093.6731245089254,83.0,2656.0,0.5497095900566795,0.2798257846933001,0.2790958236620349,0.5475000000000001,0.2272958623315101,0.0,0.14646441807998697,0.5186477216369079,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0045703125,166.06626648038946,1419,0.0,1.0685240963855422,1.1295180722891567e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,0,92,0.46,7426233.347655754,2320.697921142423,92.0,2944.0,0.5195774704945635,0.24845204714860947,0.24768701017296524,0.51125,0.21478058568704295,0.0,0.1284115864387546,0.48739772163690775,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005381944444444444,123.32316557386348,1574,0.0,1.0692934782608696,1.3586956521739131e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,1,92,0.46,7426233.347655754,2320.697921142423,92.0,2944.0,0.5285191797995056,0.25817973656239934,0.2574324615582396,0.5175000000000001,0.21327449876414994,0.0,0.13333994967421847,0.49364772163690784,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005381944444444444,123.32316557386348,1574,0.0,1.0692934782608696,1.3586956521739131e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,2,92,0.46,7426233.347655754,2320.697921142423,92.0,2944.0,0.4957787546041178,0.22865632381330026,0.227883314696959,0.47875,0.19779948239962653,0.0,0.1135120883526724,0.45739772163690784,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005381944444444444,123.32316557386348,1574,0.0,1.0692934782608696,1.3586956521739131e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,3,92,0.46,7426233.347655754,2320.697921142423,92.0,2944.0,0.5265468593475439,0.2572438354815759,0.2564953124009838,0.525,0.21139750151889647,0.0,0.1331123651995304,0.4961477216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.005381944444444444,123.32316557386348,1574,0.0,1.0692934782608696,1.3586956521739131e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,0,100,0.5,8071992.769191037,2522.497740372199,100.0,3200.0,0.4983532163101939,0.22855159072886366,0.2277684965115413,0.48750000000000004,0.19921656575702074,0.0,0.11729626335083007,0.4698977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0048828125,204.0484325285036,1699,0.0,1.061875,1.25e-05,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,c87203a12406cc5114b7ffa2d8877465,True,1,100,0.5,8071992.769191037,2522.497740372199,100.0,3200.0,0.5151028960689679,0.24565706770531237,0.24489597949944286,0.51,0.20767614360764586,0.0,0.12537433358134104,0.4798977216369078,True,0.12012712206063299,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.0,0.0048828125,204.0484325285036,1699,0.0,1.061875,1.25e-05,0.0
