method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,mh_accept,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative,mh_accept_fraction_cumulative
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,5,0.8,40000.0,5.0,5.0,0.0,1.2923449296689564,0.41251819370624476,0.41228338979915125,0.5038978835622898,0.6719352129197637,0.9751043237890841,1.0,0.5,0.9750939352917956,0.002713497232314177,0.974301376973444,0.0001890176282678402,False,nan,reject,0.706625,0.0,0.0,0.6895
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,5,0.8,40000.0,5.0,5.0,0.0,1.2874804336995405,0.4102589750444775,0.41002332894657345,0.5006468697109467,0.6694535447983875,0.9708063583420938,1.0,0.5,0.970795940894699,0.0040568679205542635,0.9658725236091471,0.009999074526127583,False,nan,reject,0.706625,0.0,0.0,0.6895
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,6,0.96,48000.0,6.0,6.0,0.0,1.2863013938414523,0.4098672035817841,0.40963129580614754,0.5002730840237328,0.6689631443681553,0.9706106092368859,1.0,0.5,0.9706076347056372,0.003930682828399923,0.9669336018103886,0.007175266191150276,False,nan,reject,0.7085,0.0,0.0,0.6926666666666667
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,6,0.96,48000.0,6.0,6.0,0.0,1.2838396963823333,0.40889700454831346,0.40866096167711663,0.5010383020148912,0.6676488376282196,0.9674566941301798,1.0,0.5,0.9674569909803513,0.00979356950874033,0.9584483700049742,0.01847914803195483,False,nan,reject,0.7085,0.0,0.0,0.6926666666666667
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,6,0.96,48000.0,6.0,6.0,0.0,1.2870278266854047,0.4095682191587179,0.4093314346231274,0.5001664195435374,0.6694501748093187,0.9744107148889791,1.0,0.5,0.9744101551568711,0.005149727006849458,0.9819696111702915,0.014210853683389923,False,nan,reject,0.7085,0.0,0.0,0.6926666666666667
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,6,0.96,48000.0,6.0,6.0,0.0,1.2852942788435955,0.4093678835887301,0.4091317636561811,0.5002524851120694,0.6684528048342521,0.9698403460081598,1.0,0.5,0.9698302219354553,0.005043269403558592,0.9655572668090717,0.009005063230166588,False,nan,reject,0.7085,0.0,0.0,0.6926666666666667
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,7,1.12,56000.0,7.0,7.0,0.0,1.2892292170737973,0.4110601901199462,0.4108245156879524,0.5007886668798639,0.6705434616860046,0.9741351087854365,1.0,0.5,0.9741337097804919,0.0024731636579218286,0.975751897170495,0.003598126130506807,False,nan,reject,0.705375,0.0,0.0,0.6944821428571428
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,7,1.12,56000.0,7.0,7.0,0.0,1.285734052736293,0.40970098076300376,0.4094653418476587,0.5003160821069834,0.668527672481847,0.9684240474264589,1.0,0.5,0.9684234363558942,0.008667182011779628,0.9593198950979098,0.01802906982139152,False,nan,reject,0.705375,0.0,0.0,0.6944821428571428
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,7,1.12,56000.0,7.0,7.0,0.0,1.290546490853554,0.41097899622181566,0.4107429942284381,0.5003053927322493,0.6709674658633172,0.9757167383636334,1.0,0.5,0.975716335655379,0.0062157634820319,0.9817693192145713,0.011851253110706561,False,nan,reject,0.705375,0.0,0.0,0.6944821428571428
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,7,1.12,56000.0,7.0,7.0,0.0,1.288296799652936,0.4106369233614907,0.4104014497366819,0.5010012647377546,0.6698472661100088,0.9713626433655858,1.0,0.5,0.9713393787397877,0.0033308655231336637,0.9666067597545902,0.009351779554684359,False,nan,reject,0.705375,0.0,0.0,0.6944821428571428
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,8,1.28,64000.0,8.0,8.0,0.0,1.294703631058476,0.4127277031266764,0.412491896606762,0.5001115801063221,0.6731998793823063,0.9814579108698382,1.0,0.5,0.9814547167637803,0.017083717774647567,0.9979739921809367,0.03427267733233441,False,nan,reject,0.725125,0.0,0.0,0.6983125
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,8,1.28,64000.0,8.0,8.0,0.0,1.288557405208835,0.410750586721348,0.41051476606202986,0.5002879336500119,0.6701571026904085,0.973663697426459,1.0,0.5,0.9736640743592406,0.0018406683364226017,0.975337094993379,0.003933071099384011,False,nan,reject,0.725125,0.0,0.0,0.6983125
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,8,1.28,64000.0,8.0,8.0,0.0,1.2855898204007492,0.40940014983229234,0.4091639564955951,0.5001358632297875,0.6686375036718177,0.9704192780028107,1.0,0.5,0.9704119282573102,0.003731090167330864,0.9675884110150215,0.006202919858052658,False,nan,reject,0.725125,0.0,0.0,0.6983125
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,8,1.28,64000.0,8.0,8.0,0.0,1.2867264648336096,0.4098372759240938,0.40960124879502546,0.5002071583272761,0.6691254853589699,0.971219100030069,1.0,0.5,0.9712182624417508,0.0025111625510380042,0.9690805335688002,0.004557197429443938,False,nan,reject,0.725125,0.0,0.0,0.6983125
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,9,1.44,72000.0,9.0,9.0,0.0,1.288497644542456,0.41046685683509343,0.41023057684542263,0.5004303892374264,0.6701515395430016,0.9750917761435284,1.0,0.5,0.9750893172533363,0.005473772771757979,0.9817114487879808,0.013484840938922438,False,nan,reject,0.716,0.0,0.0,0.7002777777777778
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,9,1.44,72000.0,9.0,9.0,0.0,1.2910676229831621,0.41124539599376986,0.4110097319459626,0.5004941706342301,0.670950825884695,0.9748602087166858,1.0,0.5,0.974840259554019,0.0038522124308308925,0.9777352448873085,0.0061589020868760835,False,nan,reject,0.716,0.0,0.0,0.7002777777777778
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,9,1.44,72000.0,9.0,9.0,0.0,1.2847173990293674,0.40900687668778024,0.4087703973001082,0.5001120737650372,0.6682348515291194,0.9704157680028105,1.0,0.5,0.9704084569184747,0.003217726768085849,0.9690296203996275,0.0034858464693307,False,nan,reject,0.716,0.0,0.0,0.7002777777777778
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,9,1.44,72000.0,9.0,9.0,0.0,1.2899460630549686,0.41092385017711663,0.4106881994580087,0.5000783521713048,0.6705096581811479,0.9735300927210069,1.0,0.5,0.973520362926085,0.0013327648947361048,0.9738794630522117,0.0009339834675969882,False,nan,reject,0.716,0.0,0.0,0.7002777777777778
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,10,1.6,80000.0,10.0,10.0,0.0,1.2847683974092579,0.4096689110473799,0.4094327171719456,0.5009791674231736,0.6686360857783917,0.9713181361435285,1.0,0.5,0.9713153492066186,0.002079602415547388,0.9705664184999484,0.0010764511944867383,False,nan,reject,0.708375,0.0,0.0,0.7010875
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,10,1.6,80000.0,10.0,10.0,0.0,1.2895754850884797,0.41063482051495415,0.41039877508278566,0.500234085060291,0.6703718797842223,0.9745121461780416,1.0,0.5,0.9745097534205502,0.003938692318590342,0.9787787080956216,0.008707548044667113,False,nan,reject,0.708375,0.0,0.0,0.7010875
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,10,1.6,80000.0,10.0,10.0,0.0,1.2858960890111997,0.4089326482484953,0.40869611735757605,0.5000301095163451,0.6685131090874453,0.9705492780028107,1.0,0.5,0.9705419284867824,0.0027512123468392824,0.9694455710172388,0.003555267796056416,False,nan,reject,0.708375,0.0,0.0,0.7010875
