method,matrix_kind,from_state,to_state,count,probability,seed
LSC-cycle-shell,jump_step_phase,-+,--,214.0,0.3689655172413793,20260157
LSC-cycle-shell,jump_step_phase,-+,-+,145.0,0.25,20260157
LSC-cycle-shell,jump_step_phase,-+,+-,79.0,0.13620689655172413,20260157
LSC-cycle-shell,jump_step_phase,-+,++,142.0,0.24482758620689654,20260157
LSC-cycle-shell,jump_step_phase,+-,--,68.0,0.10950080515297907,20260157
LSC-cycle-shell,jump_step_phase,+-,-+,71.0,0.1143317230273752,20260157
LSC-cycle-shell,jump_step_phase,+-,+-,251.0,0.40418679549114334,20260157
LSC-cycle-shell,jump_step_phase,+-,++,231.0,0.3719806763285024,20260157
LSC-cycle-shell,jump_step_phase,++,--,245.0,0.16990291262135923,20260157
LSC-cycle-shell,jump_step_phase,++,-+,185.0,0.12829403606102635,20260157
LSC-cycle-shell,jump_step_phase,++,+-,474.0,0.3287101248266297,20260157
LSC-cycle-shell,jump_step_phase,++,++,538.0,0.37309292649098474,20260157
LSC-cycle-shell,jump_step_phase,--,--,424.0,0.38686131386861317,20261157
LSC-cycle-shell,jump_step_phase,--,-+,386.0,0.3521897810218978,20261157
LSC-cycle-shell,jump_step_phase,--,+-,131.0,0.11952554744525548,20261157
LSC-cycle-shell,jump_step_phase,--,++,155.0,0.14142335766423358,20261157
LSC-cycle-shell,jump_step_phase,-+,--,224.0,0.367816091954023,20261157
LSC-cycle-shell,jump_step_phase,-+,-+,176.0,0.2889983579638752,20261157
LSC-cycle-shell,jump_step_phase,-+,+-,76.0,0.12479474548440066,20261157
LSC-cycle-shell,jump_step_phase,-+,++,133.0,0.21839080459770116,20261157
LSC-cycle-shell,jump_step_phase,+-,--,66.0,0.11558669001751314,20261157
LSC-cycle-shell,jump_step_phase,+-,-+,60.0,0.10507880910683012,20261157
LSC-cycle-shell,jump_step_phase,+-,+-,224.0,0.3922942206654991,20261157
LSC-cycle-shell,jump_step_phase,+-,++,221.0,0.38704028021015763,20261157
LSC-cycle-shell,jump_step_phase,++,--,263.0,0.18508092892329345,20261157
LSC-cycle-shell,jump_step_phase,++,-+,201.0,0.1414496833216045,20261157
LSC-cycle-shell,jump_step_phase,++,+-,441.0,0.3103448275862069,20261157
LSC-cycle-shell,jump_step_phase,++,++,516.0,0.36312456016889516,20261157
LSC-cycle-shell,jump_step_phase,--,--,393.0,0.36422613531047265,20262157
LSC-cycle-shell,jump_step_phase,--,-+,391.0,0.3623725671918443,20262157
LSC-cycle-shell,jump_step_phase,--,+-,133.0,0.12326227988878591,20262157
LSC-cycle-shell,jump_step_phase,--,++,162.0,0.15013901760889714,20262157
LSC-cycle-shell,jump_step_phase,-+,--,221.0,0.387719298245614,20262157
LSC-cycle-shell,jump_step_phase,-+,-+,154.0,0.27017543859649124,20262157
LSC-cycle-shell,jump_step_phase,-+,+-,78.0,0.1368421052631579,20262157
LSC-cycle-shell,jump_step_phase,-+,++,117.0,0.20526315789473684,20262157
LSC-cycle-shell,jump_step_phase,+-,--,70.0,0.11551155115511551,20262157
LSC-cycle-shell,jump_step_phase,+-,-+,58.0,0.09570957095709572,20262157
LSC-cycle-shell,jump_step_phase,+-,+-,233.0,0.3844884488448845,20262157
LSC-cycle-shell,jump_step_phase,+-,++,245.0,0.4042904290429043,20262157
LSC-cycle-shell,jump_step_phase,++,--,302.0,0.2002652519893899,20262157
LSC-cycle-shell,jump_step_phase,++,-+,176.0,0.11671087533156499,20262157
LSC-cycle-shell,jump_step_phase,++,+-,461.0,0.3057029177718833,20262157
LSC-cycle-shell,jump_step_phase,++,++,569.0,0.3773209549071618,20262157
LSC-5-shell,jump_step_phase,--,--,396.0,0.3844660194174757,20260174
LSC-5-shell,jump_step_phase,--,-+,288.0,0.2796116504854369,20260174
LSC-5-shell,jump_step_phase,--,+-,212.0,0.2058252427184466,20260174
LSC-5-shell,jump_step_phase,--,++,134.0,0.13009708737864079,20260174
LSC-5-shell,jump_step_phase,-+,--,111.0,0.31444759206798867,20260174
LSC-5-shell,jump_step_phase,-+,-+,126.0,0.35694050991501414,20260174
LSC-5-shell,jump_step_phase,-+,+-,34.0,0.09631728045325778,20260174
LSC-5-shell,jump_step_phase,-+,++,82.0,0.23229461756373937,20260174
LSC-5-shell,jump_step_phase,+-,--,121.0,0.1873065015479876,20260174
LSC-5-shell,jump_step_phase,+-,-+,68.0,0.10526315789473684,20260174
LSC-5-shell,jump_step_phase,+-,+-,239.0,0.369969040247678,20260174
LSC-5-shell,jump_step_phase,+-,++,218.0,0.33746130030959753,20260174
LSC-5-shell,jump_step_phase,++,--,254.0,0.14949970570924073,20260174
LSC-5-shell,jump_step_phase,++,-+,329.0,0.19364331959976458,20260174
