phase,site,lattice_x,u1,u2
+-,15,0.46875,1.204888915264013,-1.0185030228170406
+-,16,0.5,1.204888915264013,-1.0185030228170406
+-,17,0.53125,1.204888915264013,-1.0185030228170406
+-,18,0.5625,1.204888915264013,-1.0185030228170406
+-,19,0.59375,1.204888915264013,-1.0185030228170406
+-,20,0.625,1.204888915264013,-1.0185030228170406
+-,21,0.65625,1.204888915264013,-1.0185030228170406
+-,22,0.6875,1.204888915264013,-1.0185030228170406
+-,23,0.71875,1.204888915264013,-1.0185030228170406
+-,24,0.75,1.204888915264013,-1.0185030228170406
+-,25,0.78125,1.204888915264013,-1.0185030228170406
+-,26,0.8125,1.204888915264013,-1.0185030228170406
+-,27,0.84375,1.204888915264013,-1.0185030228170406
+-,28,0.875,1.204888915264013,-1.0185030228170406
+-,29,0.90625,1.204888915264013,-1.0185030228170406
+-,30,0.9375,1.204888915264013,-1.0185030228170406
+-,31,0.96875,1.204888915264013,-1.0185030228170406
++,0,0.0,0.8587667661282551,1.0518128805631997
++,1,0.03125,0.8587667661282551,1.0518128805631997
++,2,0.0625,0.8587667661282551,1.0518128805631997
++,3,0.09375,0.8587667661282551,1.0518128805631997
++,4,0.125,0.8587667661282551,1.0518128805631997
++,5,0.15625,0.8587667661282551,1.0518128805631997
++,6,0.1875,0.8587667661282551,1.0518128805631997
++,7,0.21875,0.8587667661282551,1.0518128805631997
++,8,0.25,0.8587667661282551,1.0518128805631997
++,9,0.28125,0.8587667661282551,1.0518128805631997
++,10,0.3125,0.8587667661282551,1.0518128805631997
++,11,0.34375,0.8587667661282551,1.0518128805631997
++,12,0.375,0.8587667661282551,1.0518128805631997
++,13,0.40625,0.8587667661282551,1.0518128805631997
++,14,0.4375,0.8587667661282551,1.0518128805631997
++,15,0.46875,0.8587667661282551,1.0518128805631997
++,16,0.5,0.8587667661282551,1.0518128805631997
++,17,0.53125,0.8587667661282551,1.0518128805631997
++,18,0.5625,0.8587667661282551,1.0518128805631997
++,19,0.59375,0.8587667661282551,1.0518128805631997
++,20,0.625,0.8587667661282551,1.0518128805631997
++,21,0.65625,0.8587667661282551,1.0518128805631997
++,22,0.6875,0.8587667661282551,1.0518128805631997
++,23,0.71875,0.8587667661282551,1.0518128805631997
++,24,0.75,0.8587667661282551,1.0518128805631997
++,25,0.78125,0.8587667661282551,1.0518128805631997
++,26,0.8125,0.8587667661282551,1.0518128805631997
++,27,0.84375,0.8587667661282551,1.0518128805631997
++,28,0.875,0.8587667661282551,1.0518128805631997
++,29,0.90625,0.8587667661282551,1.0518128805631997
++,30,0.9375,0.8587667661282551,1.0518128805631997
++,31,0.96875,0.8587667661282551,1.0518128805631997
