method,seed,time,phase_TV,phase_balance_l2,coverage,entropy,effective_phase_count,mean_q1,mean_q2,mean_order_norm,radial_order_error,second_moment_error,mean_energy,energy_harmonic_reference_error,energy_std,mass_0,mass_1,mass_2,mass_3,nearest_minimum_diagnostic_mass_0,nearest_minimum_diagnostic_mass_1,nearest_minimum_diagnostic_mass_2,nearest_minimum_diagnostic_mass_3,nearest_minimum_diagnostic_TV,magnetization_norm_mean,binder_cumulant,susceptibility,mean_total_energy_density,mean_gradient_energy_density,mean_local_energy_density,vector_correlation_0,vector_correlation_1,structure_factor_0,structure_factor_1,domain_wall_density_mean,coherent_field_fraction,noncoherent_field_probability,coherent_phase_TV,coherence_magnetization_threshold,coherence_domain_wall_threshold,coherent_phase_mass_0,coherent_phase_mass_1,coherent_phase_mass_2,coherent_phase_mass_3,clip_fraction_mean,clip_fraction_max,safety_clip_fraction,jump_count,mean_jump_count,undirected_edges,directed_atoms,graph_family,jump_type,n_atoms,n_theta,n_rho,rho_n,jump_cost_proxy,score_cost_proxy,total_cost_proxy,cost_proxy,h_shell
Langevin,20260123,2.32,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1847925433737359,-1.065277808860166,1.5932828314156684,0.1718531909102037,0.44290308151561864,3.8366536502289392,0.636653650228939,0.6698517623555758,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.5969374526825928,0.4902141664336006,4.054662591117051,0.11989542656965435,0.1184611407441709,0.0014342858254834607,2.5697091311782896,2.5682283669189876,82.01216154808345,0.0639264816097175,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0
Langevin,20260123,2.36,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1843212110221362,-1.0659903744546755,1.5934089899667818,0.1724053164132309,0.4419575107400008,3.7909647853132027,0.5909647853132025,0.6760311284051621,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.5970965927903151,0.49008505136779323,4.108641611881723,0.11846764954103758,0.1170269264975553,0.0014407230434822867,2.570352841274792,2.568890004693572,82.03382501566612,0.06398951003770328,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0
Langevin,20260123,2.4,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1850583302454945,-1.0664605803851515,1.5942714372401194,0.17334914298584636,0.4441478918078809,3.8237471247770496,0.6237471247770494,0.6923747215088326,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.598037959322957,0.4898533805249644,4.210036390054199,0.1194920976492828,0.11802670321963002,0.001465394429652768,2.57365931810747,2.572183984317224,82.14021386099198,0.06414618439878174,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0
Langevin,20260123,2.44,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1853369005332006,-1.0661483614017127,1.5942697062558797,0.17358428068181558,0.4448912363490267,3.8022959347465126,0.6022959347465124,0.658204266275868,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.5980326579650688,0.48969613830315784,4.2738128902081485,0.11882174796082852,0.11734472300632935,0.0014770249544991704,2.573965428222577,2.5724986191849983,82.1460493185536,0.06598203244806451,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0
Langevin,20260123,2.48,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1858547756435636,-1.0668720671387455,1.5951387264302583,0.17438859130614895,0.44641045704446436,3.799232213666321,0.5992322136663208,0.6792005553873871,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.5989283557987017,0.4896489407996021,4.2947643588050255,0.11872600667707253,0.11724162493887987,0.0014843817381926532,2.5768478664464416,2.575382346134706,82.23977681914897,0.06498483842578734,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0
Langevin,20260123,2.52,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1862294208042583,-1.0663746148268132,1.5950846554113172,0.17482222910665518,0.4475744311491774,3.8081806542560366,0.6081806542560364,0.7044960145056314,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.5989565447865286,0.4893040909900257,4.437319566195157,0.11900564544550114,0.1174943987607979,0.001511246684703246,2.577323457135032,2.5758547771505214,82.25691698432091,0.06365708651453156,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0
Langevin,20260123,2.56,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.18598685840439,-1.0655277992456318,1.5943382073051988,0.17481617348788586,0.4469226129415532,3.806464805928435,0.606464805928435,0.6700896995960515,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.598304005760999,0.48929269517886553,4.449670836757207,0.1189520251852636,0.11743158100112368,0.0015204441841399118,2.5752386380299574,2.5737707432674437,82.1913893182887,0.06338391276469084,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0
Langevin,20260123,2.6,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1863182274271493,-1.065838584617442,1.594792408178949,0.17514858547442716,0.4478235492925853,3.7725517488554257,0.5725517488554255,0.6634387121538186,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.598780480909971,0.4892845683174749,4.4585842576151435,0.11789224215173205,0.11636680376243459,0.0015254383892974355,2.5768053995891567,2.5753508145421264,82.24102726220046,0.06365594231063525,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0
Langevin,20261123,0.0,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1860306794807638,-1.074471874780064,1.600362016033556,0.16772471269123507,0.43518300887337613,18.477509310223194,15.277509310223195,4.0333792402385376,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.6003998177637648,0.4999135852907728,0.035419655553283746,0.5774221659444748,0.5770021639698408,0.00042000197463383645,2.5683894448130897,2.5611769177634667,81.9644884199005,0.00742410000599048,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0
Langevin,20261123,0.04,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.186166917654255,-1.0744116142834814,1.6004225296604118,0.16785798360816223,0.43576798217947527,3.591023355237338,0.3910233552373379,0.6517422340569384,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.600533088680692,0.4997098915446242,0.11904806306262117,0.11221947985116681,0.11191881457562268,0.00030066527554412884,2.5658917542729927,2.564492769090798,81.98650218108239,0.019666407993824176,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0
