method,seed,step,t,wallclock_s,W2,TV,TV_density,MMD,EMC,EJS,nonfinite_frac,m_clip_fraction,max_log_magnitude,mala_accept,pt_swap_accept,jump_count_mean,W2_10d
ULA,0,3200,16.0,2.4225101321935654,1.0391678306473522,0.9725452173061038,,1.0849920404500801,0.09127506388723883,,0.0,,,,,,0.3377503099216179
ULA,1,3200,16.0,2.4225101321935654,1.0361850130988592,0.9725452173061038,,1.0833015591754174,0.09127506388723883,,0.0,,,,,,0.33595330007851687
ULA,2,3200,16.0,2.4225101321935654,1.0383023848311392,0.9725452173061038,,1.0845714856893287,0.09127506388723883,,0.0,,,,,,0.33719248265760854
ULA,3,3200,16.0,2.4225101321935654,1.0367616623869058,0.9725452173061038,,1.0837904462654608,0.09127506388723883,,0.0,,,,,,0.33685897700509587
ULA,4,3200,16.0,2.4225101321935654,1.0375738568737947,0.9725452173061038,,1.0840343390931517,0.09127506388723883,,0.0,,,,,,0.3371472546802174
ULA,0,4000,20.0,3.028934127651155,1.0388123737904356,0.9725452173061038,,1.0848493763445446,0.09127506388723883,,0.0,,,,,,0.3371222631005168
ULA,1,4000,20.0,3.028934127651155,1.0380132542807303,0.9725452173061038,,1.0843487157137772,0.09127506388723883,,0.0,,,,,,0.33689346557451155
ULA,2,4000,20.0,3.028934127651155,1.0367963428123146,0.9725452173061038,,1.083604250888301,0.09127506388723883,,0.0,,,,,,0.33623713107340986
ULA,3,4000,20.0,3.028934127651155,1.037229367013887,0.9725452173061038,,1.0838584451202975,0.09127506388723883,,0.0,,,,,,0.3368831718739725
ULA,4,4000,20.0,3.028934127651155,1.0388102992685004,0.9725452173061038,,1.0850150738020417,0.09127506388723883,,0.0,,,,,,0.3375085371723878
ULA,0,4800,24.0,3.6373761650174856,1.0386163506271366,0.9725452173061038,,1.0846847670888438,0.09127506388723883,,0.0,,,,,,0.3369897236175545
ULA,1,4800,24.0,3.6373761650174856,1.038704959342427,0.9725452173061038,,1.084790563282957,0.09127506388723883,,0.0,,,,,,0.33695599431527457
ULA,2,4800,24.0,3.6373761650174856,1.0383958268350266,0.9725452173061038,,1.084515784347552,0.09127506388723883,,0.0,,,,,,0.33745903079123135
ULA,3,4800,24.0,3.6373761650174856,1.0388442075076374,0.9725452173061038,,1.0848038725756237,0.09127506388723883,,0.0,,,,,,0.337307024579147
ULA,4,4800,24.0,3.6373761650174856,1.0378919010507857,0.9725452173061038,,1.0843415706353465,0.09127506388723883,,0.0,,,,,,0.3367971349022957
ULA,0,5600,28.0,4.245110981166363,1.0387387838565376,0.9725452173061038,,1.0848010855051395,0.09127506388723883,,0.0,,,,,,0.3370123183573212
ULA,1,5600,28.0,4.245110981166363,1.0372012430528086,0.9725452173061038,,1.0840781666966703,0.09127506388723883,,0.0,,,,,,0.33648961780756576
ULA,2,5600,28.0,4.245110981166363,1.0371892193628987,0.9725452173061038,,1.0840150312406167,0.09127506388723883,,0.0,,,,,,0.33686647747395077
ULA,3,5600,28.0,4.245110981166363,1.0373042935428285,0.9725452173061038,,1.0839735100077497,0.09127506388723883,,0.0,,,,,,0.3368708660734488
ULA,4,5600,28.0,4.245110981166363,1.0376231414006634,0.9725452173061038,,1.084245523574423,0.09127506388723883,,0.0,,,,,,0.33673116439568695
ULA,0,6400,32.0,4.849516215734184,1.0382012782475423,0.9725452173061038,,1.0842561814049096,0.09127506388723883,,0.0,,,,,,0.33676611761528685
ULA,1,6400,32.0,4.849516215734184,1.0375793463230645,0.9725452173061038,,1.0839471962044023,0.09127506388723883,,0.0,,,,,,0.33653039421392494
ULA,2,6400,32.0,4.849516215734184,1.0381428989033454,0.9725452173061038,,1.0844416815621938,0.09127506388723883,,0.0,,,,,,0.33728880232367
ULA,3,6400,32.0,4.849516215734184,1.039529812074184,0.9725452173061038,,1.0852924661061685,0.09127506388723883,,0.0,,,,,,0.33767572678282853
ULA,4,6400,32.0,4.849516215734184,1.0396480335038512,0.9725452173061038,,1.0851345973487319,0.09127506388723883,,0.0,,,,,,0.3376165288910246
