method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,gamma,integrator,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,33,0.165,264000.0,33.0,33.0,0.0,1.3452961623587112,0.4281410661086601,0.4279126499940149,0.5720256791773477,0.6959164910519214,1.0063302942091013,1.0,0.5,1.001769594073946,0.04402642967264958,1.0201585765478272,0.0411843222751872,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,33,0.165,264000.0,33.0,33.0,0.0,1.3426696024913514,0.4273577779192824,0.4271292766389909,0.5749831171779207,0.694562548159314,1.004048005644483,1.0,0.5,0.9992612154619689,0.039156323006186655,1.013048722152243,0.03193625281273971,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,33,0.165,264000.0,33.0,33.0,0.0,1.3419409916462806,0.42716452261185833,0.42693586884318213,0.5632565352895125,0.6941695045111766,1.0035608118547399,1.0,0.5,0.9993185024813223,0.03953883757383547,1.0140079461950273,0.03371729689609071,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,38,0.19,304000.0,38.0,38.0,0.0,1.3422255959274942,0.4276530552278901,0.42742420913743073,0.5668429381061462,0.6945985735755928,1.0053956355446023,1.0,0.5,1.0021318628316251,0.04550577400253042,1.0235177191133973,0.04721359899335342,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,38,0.19,304000.0,38.0,38.0,0.0,1.342393894133456,0.42753368131972724,0.4273048537547478,0.5625974206412918,0.6945607872662455,1.0046827341154732,1.0,0.5,1.0015926898443444,0.04439460748007518,1.02178844517584,0.04481175500226098,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,38,0.19,304000.0,38.0,38.0,0.0,1.3398321192816112,0.42680482343956694,0.42657591057818667,0.566359184381135,0.693281077606168,1.0027599135947032,1.0,0.5,0.9992895912785491,0.03993581093196652,1.015293733992679,0.03637685574620886,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,38,0.19,304000.0,38.0,38.0,0.0,1.3387505986285129,0.4265084177680941,0.42627932707816174,0.5557720285238483,0.6927412106280414,1.0018963145170208,1.0,0.5,0.9990867467201938,0.0398437626018866,1.015611746802743,0.03740282551170926,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,42,0.21,336000.0,42.0,42.0,0.0,1.3400700543461168,0.42719773304592823,0.4269685493300829,0.5596221964200125,0.6936121190431053,1.0044690793888846,1.0,0.5,1.0021462355368635,0.04612846160953188,1.0253454544776053,0.050867057073266664,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,42,0.21,336000.0,42.0,42.0,0.0,1.3400436419262642,0.4269997228174728,0.4267705448483634,0.5548140503725916,0.6934612135437583,1.003470521408648,1.0,0.5,1.0013791375570174,0.04458370516255461,1.0229890146850527,0.04764891571949603,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,42,0.21,336000.0,42.0,42.0,0.0,1.3375299365895592,0.42632009307781127,0.42609082996795034,0.5598131983564117,0.6922505594829018,1.001755415738329,1.0,0.5,0.999259763279726,0.04049265277932568,1.017045205166582,0.03994519769571869,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,42,0.21,336000.0,42.0,42.0,0.0,1.3362031044076665,0.42595153141084763,0.4257220734040832,0.5489035883612967,0.6916144719283823,1.0007356763345217,1.0,0.5,0.998871571571444,0.04006101087159153,1.0169003035083861,0.040417872197216265,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,46,0.23,368000.0,46.0,46.0,0.0,1.337956352674402,0.4267219793162489,0.4264924487668841,0.5533070540703265,0.692653501960274,1.0037344125828431,1.0,0.5,1.0021307297940802,0.04670875856552836,1.0271338173498685,0.054500792824615396,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,46,0.23,368000.0,46.0,46.0,0.0,1.3376908988573195,0.4264286761291971,0.42619913062432757,0.5478872365069946,0.6923553717893629,1.0023992940309547,1.0,0.5,1.0011135648633467,0.044700284091443,1.0241249294763197,0.050458121999608196,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,46,0.23,368000.0,46.0,46.0,0.0,1.3352083854667003,0.4258043796995856,0.42557475238910425,0.5536292565781442,0.6912306874882876,1.000887509480632,1.0,0.5,0.9991844994393365,0.040984662182764975,1.018735324967494,0.0434788711204962,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,46,0.23,368000.0,46.0,46.0,0.0,1.3336569824141842,0.4253633887248196,0.42513354900923317,0.5437992650903042,0.6904963689015554,0.9997443373297148,1.0,0.5,0.9986118740159098,0.04021617869699923,1.0181328948459993,0.04340671885280656,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,50,0.25,400000.0,50.0,50.0,0.0,1.3358950501627396,0.42624209112161515,0.42601221489355146,0.5485250778968361,0.6917434424395393,1.0030999162331464,1.0,0.5,1.002093464641147,0.04724465412006462,1.0288529449315025,0.05803904302677754,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,50,0.25,400000.0,50.0,50.0,0.0,1.335268749906125,0.42582583811171204,0.4255959139705521,0.54209017134618,0.6912506298551749,1.0014979438901528,1.0,0.5,1.0007848624992342,0.044711707584783156,1.0251315147372042,0.05313189228627213,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,50,0.25,400000.0,50.0,50.0,0.0,1.3329410038813345,0.4252751142112968,0.42504511282964164,0.547171713316829,0.6902499357762996,1.0001559084615195,1.0,0.5,0.9991086097093713,0.04149446073647711,1.020477804328645,0.04711663146028677,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,50,0.25,400000.0,50.0,50.0,0.0,1.3311561225458726,0.4247556277924045,0.42452539767502784,0.537380417999316,0.6894045439817482,0.9989404145243719,1.0,0.5,0.9983225012183664,0.04032902775725544,1.0193226769237396,0.046362547650482866,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,54,0.27,432000.0,54.0,54.0,0.0,1.3338734952781848,0.42574911171389207,0.4255188903662672,0.54465609540179,0.6908622074615403,1.0025844108081807,1.0,0.5,1.0020040429451529,0.04767631332468092,1.0304137539103748,0.06136304403273429,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,54,0.27,432000.0,54.0,54.0,0.0,1.3328593770381232,0.4252133749419088,0.4249830685775303,0.536417938437272,0.6901781604633513,1.000711923822558,1.0,0.5,1.000437840154549,0.04469447340047639,1.0261034861674285,0.055768589271963154,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,54,0.27,432000.0,54.0,54.0,0.0,1.3307670536914118,0.4247381832315704,0.42450780281142275,0.5410620473377219,0.6893103744155833,0.9995769642052592,1.0,0.5,0.9990292446076026,0.04200763629599846,1.0222368437905782,0.050789640037657846,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,54,0.27,432000.0,54.0,54.0,0.0,1.3287353778335618,0.424138397520491,0.423907778008069,0.5325809112964528,0.6883565203207872,0.9983487141329385,1.0,0.5,0.9979921971655874,0.0403601240979663,1.0203835063198812,0.04913204145342409,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,58,0.29,464000.0,58.0,58.0,0.0,1.3318952438953302,0.42524723871756576,0.42501667738263116,0.5391764043818608,0.6900095921409889,1.0021608963623208,1.0,0.5,1.001855118301741,0.04798093079139365,1.0317684854344629,0.06438881701417631,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,58,0.29,464000.0,58.0,58.0,0.0,1.3304966038131276,0.42459667984585026,0.4243659860977608,0.5324127671693453,0.6891435256911435,1.0001750291953666,1.0,0.5,1.0001008646875893,0.0447082056390824,1.027134297389697,0.058498013320593345,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,58,0.29,464000.0,58.0,58.0,0.0,1.3286503172152948,0.42419079539141313,0.42396003420097095,0.5355717007644767,0.6884029161115063,0.9991816122260107,1.0,0.5,0.9989193103487376,0.04246433804196825,1.0239135034464308,0.05435256315853676,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,58,0.29,464000.0,58.0,58.0,0.0,1.326395200646334,0.4235106227309784,0.423279618511636,0.5283315595245843,0.6873439505020503,0.997795704817519,1.0,0.5,0.9975978785382927,0.04025699592527188,1.02122703755204,0.051584209250721824,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,62,0.31,496000.0,62.0,62.0,0.0,1.3299639472143483,0.4247399092768265,0.42450900823187143,0.534418827753775,0.6891835081146673,1.0018278614260718,1.0,0.5,1.001684121181538,0.048242053956359277,1.0330562394577982,0.06732132931179302,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,62,0.31,496000.0,62.0,62.0,0.0,1.3281947642798995,0.4239773318850272,0.4237462543641919,0.5280236001462502,0.688146149799125,0.9997740791949258,1.0,0.5,0.9997352572228769,0.04465994111746796,1.0280593479715996,0.061063909385063675,False,nan,reject,1.0,BAOAB,0.0,0.0
