step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
167,0.835,42752000,0,1336000,0,0,0,1336000,42752000,42752000.0,0.8345679289892053,37015448.1001465,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,167.0,5344.0,4626.931012518313
171,0.855,43776000,0,1368000,0,0,0,1368000,43776000,43776000.0,0.8345679289892053,37902045.65943145,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,171.0,5472.0,4737.755707428932
175,0.875,44800000,0,1400000,0,0,0,1400000,44800000,44800000.0,0.8345679289892053,38788643.2187164,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,175.0,5600.0,4848.580402339549
179,0.895,45824000,0,1432000,0,0,0,1432000,45824000,45824000.0,0.8345679289892053,39675240.778001346,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,179.0,5728.0,4959.405097250168
183,0.915,46848000,0,1464000,0,0,0,1464000,46848000,46848000.0,0.8345679289892053,40561838.337286286,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,183.0,5856.0,5070.229792160786
188,0.9400000000000001,48128000,0,1504000,0,0,0,1504000,48128000,48128000.0,0.8345679289892053,41670085.28639247,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,188.0,6016.0,5208.760660799059
192,0.96,49152000,0,1536000,0,0,0,1536000,49152000,49152000.0,0.8345679289892053,42556682.84567742,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,192.0,6144.0,5319.585355709678
196,0.98,50176000,0,1568000,0,0,0,1568000,50176000,50176000.0,0.8345679289892053,43443280.40496236,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,196.0,6272.0,5430.410050620295
200,1.0,51200000,0,1600000,0,0,0,1600000,51200000,51200000.0,0.8345679289892053,44329877.96424731,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,200.0,6400.0,5541.234745530914
204,1.02,52224000,0,1632000,0,0,0,1632000,52224000,52224000.0,0.8345679289892053,45216475.52353226,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,204.0,6528.0,5652.059440441532
208,1.04,53248000,0,1664000,0,0,0,1664000,53248000,53248000.0,0.8345679289892053,46103073.082817204,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,208.0,6656.0,5762.88413535215
212,1.06,54272000,0,1696000,0,0,0,1696000,54272000,54272000.0,0.8345679289892053,46989670.64210215,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,212.0,6784.0,5873.708830262769
217,1.085,55552000,0,1736000,0,0,0,1736000,55552000,55552000.0,0.8345679289892053,48097917.59120833,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,217.0,6944.0,6012.239698901041
221,1.105,56576000,0,1768000,0,0,0,1768000,56576000,56576000.0,0.8345679289892053,48984515.15049328,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,221.0,7072.0,6123.06439381166
225,1.125,57600000,0,1800000,0,0,0,1800000,57600000,57600000.0,0.8345679289892053,49871112.70977823,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,225.0,7200.0,6233.889088722279
229,1.145,58624000,0,1832000,0,0,0,1832000,58624000,58624000.0,0.8345679289892053,50757710.26906317,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,229.0,7328.0,6344.713783632896
233,1.165,59648000,0,1864000,0,0,0,1864000,59648000,59648000.0,0.8345679289892053,51644307.828348115,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,233.0,7456.0,6455.538478543514
238,1.19,60928000,0,1904000,0,0,0,1904000,60928000,60928000.0,0.8345679289892053,52752554.7774543,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,238.0,7616.0,6594.069347181788
242,1.21,61952000,0,1936000,0,0,0,1936000,61952000,61952000.0,0.8345679289892053,53639152.33673925,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,242.0,7744.0,6704.894042092406
246,1.23,62976000,0,1968000,0,0,0,1968000,62976000,62976000.0,0.8345679289892053,54525749.89602419,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,246.0,7872.0,6815.718737003023
250,1.25,64000000,0,2000000,0,0,0,2000000,64000000,64000000.0,0.8345679289892053,55412347.45530914,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,250.0,8000.0,6926.543431913642
280,1.4000000000000001,71680000,0,2240000,0,0,0,2240000,71680000,71680000.0,0.8345679289892053,62061829.149946235,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,280.0,8960.0,7757.7286437432795
309,1.545,79104000,0,2472000,0,0,0,2472000,79104000,79104000.0,0.8345679289892053,68489661.4547621,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,309.0,9888.0,8561.207681845262
339,1.695,86784000,0,2712000,0,0,0,2712000,86784000,86784000.0,0.8345679289892053,75139143.14939919,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,339.0,10848.0,9392.392893674898
369,1.845,94464000,0,2952000,0,0,0,2952000,94464000,94464000.0,0.8345679289892053,81788624.84403628,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,369.0,11808.0,10223.578105504535
398,1.99,101888000,0,3184000,0,0,0,3184000,101888000,101888000.0,0.8345679289892053,88216457.14885215,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,398.0,12736.0,11027.05714360652
428,2.14,109568000,0,3424000,0,0,0,3424000,109568000,109568000.0,0.8345679289892053,94865938.84348924,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,428.0,13696.0,11858.242355436156
458,2.29,117248000,0,3664000,0,0,0,3664000,117248000,117248000.0,0.8345679289892053,101515420.53812633,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,458.0,14656.0,12689.427567265791
488,2.44,124928000,0,3904000,0,0,0,3904000,124928000,124928000.0,0.8345679289892053,108164902.23276344,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,488.0,15616.0,13520.61277909543
517,2.585,132352000,0,4136000,0,0,0,4136000,132352000,132352000.0,0.8345679289892053,114592734.5375793,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,517.0,16544.0,14324.091817197412
547,2.735,140032000,0,4376000,0,0,0,4376000,140032000,140032000.0,0.8345679289892053,121242216.23221639,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,547.0,17504.0,15155.27702902705
577,2.8850000000000002,147712000,0,4616000,0,0,0,4616000,147712000,147712000.0,0.8345679289892053,127891697.9268535,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,577.0,18464.0,15986.462240856687
606,3.0300000000000002,155136000,0,4848000,0,0,0,4848000,155136000,155136000.0,0.8345679289892053,134319530.23166937,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,606.0,19392.0,16789.94127895867
636,3.18,162816000,0,5088000,0,0,0,5088000,162816000,162816000.0,0.8345679289892053,140969011.92630646,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,636.0,20352.0,17621.12649078831
666,3.33,170496000,0,5328000,0,0,0,5328000,170496000,170496000.0,0.8345679289892053,147618493.62094355,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,666.0,21312.0,18452.311702617943
695,3.475,177920000,0,5560000,0,0,0,5560000,177920000,177920000.0,0.8345679289892053,154046325.9257594,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,695.0,22240.0,19255.790740719927
725,3.625,185600000,0,5800000,0,0,0,5800000,185600000,185600000.0,0.8345679289892053,160695807.6203965,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,725.0,23200.0,20086.97595254956
755,3.775,193280000,0,6040000,0,0,0,6040000,193280000,193280000.0,0.8345679289892053,167345289.31503358,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,755.0,24160.0,20918.1611643792
784,3.92,200704000,0,6272000,0,0,0,6272000,200704000,200704000.0,0.8345679289892053,173773121.61984944,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,784.0,25088.0,21721.64020248118
814,4.07,208384000,0,6512000,0,0,0,6512000,208384000,208384000.0,0.8345679289892053,180422603.31448656,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,814.0,26048.0,22552.82541431082
844,4.22,216064000,0,6752000,0,0,0,6752000,216064000,216064000.0,0.8345679289892053,187072085.00912365,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,844.0,27008.0,23384.010626140458
873,4.365,223488000,0,6984000,0,0,0,6984000,223488000,223488000.0,0.8345679289892053,193499917.3139395,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,873.0,27936.0,24187.48966424244
903,4.515,231168000,0,7224000,0,0,0,7224000,231168000,231168000.0,0.8345679289892053,200149399.0085766,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,903.0,28896.0,25018.674876072077
933,4.665,238848000,0,7464000,0,0,0,7464000,238848000,238848000.0,0.8345679289892053,206798880.7032137,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,933.0,29856.0,25849.86008790171
962,4.8100000000000005,246272000,0,7696000,0,0,0,7696000,246272000,246272000.0,0.8345679289892053,213226713.00802955,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,962.0,30784.0,26653.339126003695
992,4.96,253952000,0,7936000,0,0,0,7936000,253952000,253952000.0,0.8345679289892053,219876194.70266667,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,992.0,31744.0,27484.524337833333
1022,5.11,261632000,0,8176000,0,0,0,8176000,261632000,261632000.0,0.8345679289892053,226525676.39730376,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1022.0,32704.0,28315.70954966297
1052,5.26,269312000,0,8416000,0,0,0,8416000,269312000,269312000.0,0.8345679289892053,233175158.09194085,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1052.0,33664.0,29146.894761492607
