method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,alpha,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,100,0.25,320000.0,100.0,100.0,0.0,0.4057386281011328,0.13768053324814222,0.13689024657026427,0.3125,0.1602340884060689,0.0,0.07009501265095419,0.25772475870879363,True,1.0,reject,1.6,0.001503125,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,100,0.25,320000.0,100.0,100.0,0.0,0.4388987178575713,0.16721471088820705,0.16644096703631828,0.33999999999999997,0.18965603966749167,0.0,0.08830795221831667,0.2973977216369078,True,1.0,reject,1.6,0.001503125,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,100,0.25,320000.0,100.0,100.0,0.0,0.41001208316530213,0.14249361446801023,0.14168074880071424,0.31500000000000006,0.17227854776064289,0.0,0.06888759375547825,0.28989772163690775,True,1.0,reject,1.6,0.001503125,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,100,0.25,320000.0,100.0,100.0,0.0,0.4271721917906579,0.15657578918019133,0.15577621993196422,0.3375,0.19089936402380325,0.0,0.08034172381221633,0.30864772163690785,True,1.0,reject,1.6,0.001503125,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,117,0.2925,374400.0,117.0,117.0,0.0,0.38944007683832343,0.12145057863187048,0.12064169311515627,0.2925,0.1688248483772724,0.0,0.06320353221890937,0.25147475870879366,True,1.0,reject,1.6,0.0014823717948717948,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,117,0.2925,374400.0,117.0,117.0,0.0,0.4126643914064083,0.14613589795433612,0.1453537874038756,0.32999999999999996,0.1707823476319551,0.0,0.07480780978851281,0.26272475870879364,True,1.0,reject,1.6,0.0014823717948717948,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,117,0.2925,374400.0,117.0,117.0,0.0,0.3880568603961434,0.12149515735713035,0.12066961627215012,0.3075,0.1525962487698468,0.0,0.05369449961657817,0.23364772163690783,True,1.0,reject,1.6,0.0014823717948717948,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,117,0.2925,374400.0,117.0,117.0,0.0,0.4078105109138458,0.13751721110277237,0.1367047107724353,0.30625,0.16077357060617503,0.0,0.06712968331842581,0.27989772163690774,True,1.0,reject,1.6,0.0014823717948717948,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,133,0.3325,425600.0,133.0,133.0,0.0,0.36737783499241283,0.10664200268207857,0.1058258948841333,0.27625,0.15287275710097215,0.0,0.054231643754832665,0.24022475870879365,True,1.0,reject,1.6,0.0015131578947368421,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,133,0.3325,425600.0,133.0,133.0,0.0,0.3900585570902915,0.12519998633340468,0.12440284940167745,0.31125,0.16366001318980072,0.0,0.06421832121623051,0.25272475870879363,True,1.0,reject,1.6,0.0015131578947368421,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,133,0.3325,425600.0,133.0,133.0,0.0,0.35738425806499935,0.09761724524791437,0.09677481996848203,0.26125000000000004,0.158366045664054,0.0,0.04446275179198744,0.21772475870879365,True,1.0,reject,1.6,0.0015131578947368421,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,133,0.3325,425600.0,133.0,133.0,0.0,0.3923160484537169,0.12403687164850807,0.12321084244492142,0.29999999999999993,0.15362353669183004,0.0,0.05654800156642911,0.24614772163690782,True,1.0,reject,1.6,0.0015131578947368421,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,150,0.375,480000.0,150.0,150.0,0.0,0.35690405324073426,0.09631036439168972,0.09547378364130721,0.265,0.1490429243889877,0.0,0.04410739033867154,0.22147475870879366,True,1.0,reject,1.6,0.00151875,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,150,0.375,480000.0,150.0,150.0,0.0,0.3729695408413309,0.10951733846971279,0.10870376537920734,0.27249999999999996,0.14804266584984638,0.0,0.055579880181330116,0.24147475870879367,True,1.0,reject,1.6,0.00151875,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,150,0.375,480000.0,150.0,150.0,0.0,0.3415051341835128,0.0848724536919685,0.08402267395073615,0.25875,0.1396926980945622,0.0,0.03755344402444476,0.20772475870879367,True,1.0,reject,1.6,0.00151875,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,150,0.375,480000.0,150.0,150.0,0.0,0.3650241296662736,0.1052917916563526,0.10446314274247503,0.26875000000000004,0.14649394447735398,0.0,0.04964235142632861,0.22647475870879366,True,1.0,reject,1.6,0.00151875,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,167,0.4175,534400.0,167.0,167.0,0.0,0.34856749501336787,0.08793805815883926,0.0870997847196362,0.26249999999999996,0.1363086102752017,0.0,0.04088631185884932,0.21772475870879365,True,1.0,reject,1.6,0.001534431137724551,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,167,0.4175,534400.0,167.0,167.0,0.0,0.3637660023525435,0.09983320787306527,0.0990067269182997,0.27375000000000005,0.14901558392375214,0.0,0.048586901819492136,0.23022475870879364,True,1.0,reject,1.6,0.001534431137724551,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,167,0.4175,534400.0,167.0,167.0,0.0,0.322288962685622,0.07189845908672532,0.07103840893991031,0.23624999999999996,0.11941285541759483,0.0,0.031807812812517586,0.19772475870879366,True,1.0,reject,1.6,0.001534431137724551,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,167,0.4175,534400.0,167.0,167.0,0.0,0.35626818547210015,0.09067218640738772,0.08982356059726226,0.26,0.14206211233041965,0.0,0.04185261583481255,0.21522475870879362,True,1.0,reject,1.6,0.001534431137724551,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,183,0.4575,585600.0,183.0,183.0,0.0,0.32606968987305573,0.07605968878891889,0.0752140146427368,0.25250000000000006,0.13500976464059844,0.0,0.03542980028936041,0.20647475870879364,True,1.0,reject,1.6,0.0015351775956284153,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,183,0.4575,585600.0,183.0,183.0,0.0,0.3477076701280709,0.08677259714954466,0.08593596995657371,0.26750000000000007,0.14734592190402396,0.0,0.04156211229572891,0.22022475870879363,True,1.0,reject,1.6,0.0015351775956284153,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,183,0.4575,585600.0,183.0,183.0,0.0,0.31803681810170514,0.06948318998639547,0.06861667039671493,0.24875000000000003,0.12496976634271828,0.0,0.027297383903948043,0.18022475870879365,True,1.0,reject,1.6,0.0015351775956284153,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,183,0.4575,585600.0,183.0,183.0,0.0,0.33824748889044653,0.08096715743529659,0.08010606204355541,0.23875000000000002,0.14518130941750607,0.0,0.03705247162672207,0.20397475870879364,True,1.0,reject,1.6,0.0015351775956284153,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,200,0.5,640000.0,200.0,200.0,0.0,0.3127115724566353,0.06611534418139986,0.06525354097914648,0.22875000000000004,0.1426782848957926,0.0,0.028101459170111708,0.18897475870879363,True,1.0,reject,1.6,0.001509375,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,200,0.5,640000.0,200.0,200.0,0.0,0.3345515806508468,0.081654112037997,0.08081796545215436,0.25625,0.14510730663151428,0.0,0.03762496683250105,0.21272475870879365,True,1.0,reject,1.6,0.001509375,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,200,0.5,640000.0,200.0,200.0,0.0,0.31221440184907545,0.05993660377648358,0.05905007017789876,0.2225,0.14052906437354462,0.0,0.024696205713962603,0.17647475870879364,True,1.0,reject,1.6,0.001509375,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,200,0.5,640000.0,200.0,200.0,0.0,0.32675168909182334,0.07604946120700717,0.07519442431496037,0.24500000000000002,0.13534906704880634,0.0,0.033972791465558275,0.20022475870879367,True,1.0,reject,1.6,0.001509375,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,217,0.5425,694400.0,217.0,217.0,0.0,0.30067590724871707,0.05627079868225249,0.05540142857907393,0.22625000000000003,0.12523096003884715,0.0,0.025380604454645243,0.18272475870879365,True,1.0,reject,1.6,0.0014962557603686636,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,217,0.5425,694400.0,217.0,217.0,0.0,0.3238157341771261,0.07302241855500713,0.07217200172018257,0.25,0.140021599309349,0.0,0.0331789903750143,0.20272475870879367,True,1.0,reject,1.6,0.0014962557603686636,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,217,0.5425,694400.0,217.0,217.0,0.0,0.2933143595806952,0.05302046194138732,0.05212305226176017,0.20749999999999996,0.12875467776687588,0.0,0.021104277480695086,0.16397475870879366,True,1.0,reject,1.6,0.0014962557603686636,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,217,0.5425,694400.0,217.0,217.0,0.0,0.30374128833887104,0.06319319406681834,0.0623226228706899,0.22125000000000003,0.13656997991348185,0.0,0.026657750623801234,0.18272475870879365,True,1.0,reject,1.6,0.0014962557603686636,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,233,0.5825,745600.0,233.0,233.0,0.0,0.3001884437379949,0.05812062098271631,0.057241674753990335,0.22125000000000003,0.12518624164835535,0.0,0.02311212223844096,0.17272475870879367,True,1.0,reject,1.6,0.0015128755364806866,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,233,0.5825,745600.0,233.0,233.0,0.0,0.3064375536378928,0.060612928688548506,0.059749771075562674,0.22499999999999998,0.1271843869215563,0.0,0.027378520463321787,0.18897475870879366,True,1.0,reject,1.6,0.0015128755364806866,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,233,0.5825,745600.0,233.0,233.0,0.0,0.2694947891286226,0.0410185976568026,0.040120148253939614,0.18625000000000003,0.12146219322944218,0.0,0.0159730744179998,0.14897475870879365,True,1.0,reject,1.6,0.0015128755364806866,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,233,0.5825,745600.0,233.0,233.0,0.0,0.2924467822996326,0.053859278875718175,0.05297565567671558,0.20375,0.1333941010681301,0.0,0.022531006918157036,0.17147475870879367,True,1.0,reject,1.6,0.0015128755364806866,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,250,0.625,800000.0,250.0,250.0,0.0,0.2836742350483149,0.0494570198538693,0.04857050421107756,0.2025,0.12942953898132015,0.0,0.020153895107462273,0.16522475870879366,True,1.0,reject,1.6,0.001505,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,250,0.625,800000.0,250.0,250.0,0.0,0.2955970081484737,0.05385028160040606,0.052978265618638165,0.21499999999999997,0.12992457725853424,0.0,0.023491135503099173,0.17772475870879367,True,1.0,reject,1.6,0.001505,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,250,0.625,800000.0,250.0,250.0,0.0,0.2518001394944286,0.03712855745255628,0.036231771408641755,0.185,0.11817882123681878,0.0,0.013686091872948607,0.14022475870879364,True,1.0,reject,1.6,0.001505,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,250,0.625,800000.0,250.0,250.0,0.0,0.2826067241250084,0.0479831883998606,0.04709033737364565,0.20750000000000002,0.11926155784164583,0.0,0.018521466981768566,0.15772475870879366,True,1.0,reject,1.6,0.001505,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,267,0.6675,854400.0,267.0,267.0,0.0,0.2807872490917791,0.048073538454952436,0.04718291156596632,0.20749999999999996,0.1258663724996697,0.0,0.01803691521559871,0.15772475870879366,True,1.0,reject,1.6,0.0015215355805243446,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,267,0.6675,854400.0,267.0,267.0,0.0,0.2840876927036075,0.047117593896657595,0.04622245239954492,0.19625000000000004,0.13344427207854437,0.0,0.018797863479248476,0.16147475870879366,True,1.0,reject,1.6,0.0015215355805243446,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,267,0.6675,854400.0,267.0,267.0,0.0,0.24730638713209718,0.032657461988187864,0.03174686498165058,0.18125000000000002,0.12436500819478435,0.0,0.011939612422707576,0.13147475870879366,True,1.0,reject,1.6,0.0015215355805243446,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,267,0.6675,854400.0,267.0,267.0,0.0,0.2633944496634968,0.03928582140359138,0.038379914016466565,0.18375,0.1289388662814437,0.0,0.014253638010658168,0.14272475870879364,True,1.0,reject,1.6,0.0015215355805243446,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,283,0.7075,905600.0,283.0,283.0,0.0,0.26754268554066796,0.041597809727461854,0.04070065994529848,0.18000000000000002,0.12094687352154421,0.0,0.016012486164250547,0.15022475870879365,True,1.0,reject,1.6,0.0015249558303886926,0.0
