step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
800,2.0,0,0,2560000,0,0,0,2560000,0,0.0,0.7570305438663122,2560000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,800.0,0.0,800.0
817,2.0425,0,0,2614400,0,0,0,2614400,0,0.0,0.7570305438663122,2614400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,817.0,0.0,817.0
833,2.0825,0,0,2665600,0,0,0,2665600,0,0.0,0.7570305438663122,2665600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,833.0,0.0,833.0
850,2.125,0,0,2720000,0,0,0,2720000,0,0.0,0.7570305438663122,2720000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,850.0,0.0,850.0
867,2.1675,0,0,2774400,0,0,0,2774400,0,0.0,0.7570305438663122,2774400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,867.0,0.0,867.0
883,2.2075,0,0,2825600,0,0,0,2825600,0,0.0,0.7570305438663122,2825600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,883.0,0.0,883.0
900,2.25,0,0,2880000,0,0,0,2880000,0,0.0,0.7570305438663122,2880000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,900.0,0.0,900.0
917,2.2925,0,0,2934400,0,0,0,2934400,0,0.0,0.7570305438663122,2934400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,917.0,0.0,917.0
933,2.3325,0,0,2985600,0,0,0,2985600,0,0.0,0.7570305438663122,2985600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,933.0,0.0,933.0
950,2.375,0,0,3040000,0,0,0,3040000,0,0.0,0.7570305438663122,3040000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,950.0,0.0,950.0
967,2.4175,0,0,3094400,0,0,0,3094400,0,0.0,0.7570305438663122,3094400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,967.0,0.0,967.0
983,2.4575,0,0,3145600,0,0,0,3145600,0,0.0,0.7570305438663122,3145600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,983.0,0.0,983.0
1000,2.5,0,0,3200000,0,0,0,3200000,0,0.0,0.7570305438663122,3200000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,1000.0,0.0,1000.0
1119,2.7975,0,0,3580800,0,0,0,3580800,0,0.0,0.7570305438663122,3580800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,1119.0,0.0,1119.0
1238,3.095,0,0,3961600,0,0,0,3961600,0,0.0,0.7570305438663122,3961600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,1238.0,0.0,1238.0
1356,3.39,0,0,4339200,0,0,0,4339200,0,0.0,0.7570305438663122,4339200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,1356.0,0.0,1356.0
1475,3.6875,0,0,4720000,0,0,0,4720000,0,0.0,0.7570305438663122,4720000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,1475.0,0.0,1475.0
1594,3.985,0,0,5100800,0,0,0,5100800,0,0.0,0.7570305438663122,5100800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,1594.0,0.0,1594.0
1712,4.28,0,0,5478400,0,0,0,5478400,0,0.0,0.7570305438663122,5478400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,1712.0,0.0,1712.0
1831,4.5775,0,0,5859200,0,0,0,5859200,0,0.0,0.7570305438663122,5859200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,1831.0,0.0,1831.0
1950,4.875,0,0,6240000,0,0,0,6240000,0,0.0,0.7570305438663122,6240000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,1950.0,0.0,1950.0
2069,5.1725,0,0,6620800,0,0,0,6620800,0,0.0,0.7570305438663122,6620800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,2069.0,0.0,2069.0
2188,5.47,0,0,7001600,0,0,0,7001600,0,0.0,0.7570305438663122,7001600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,2188.0,0.0,2188.0
2306,5.765,0,0,7379200,0,0,0,7379200,0,0.0,0.7570305438663122,7379200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,2306.0,0.0,2306.0
2425,6.0625,0,0,7760000,0,0,0,7760000,0,0.0,0.7570305438663122,7760000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,2425.0,0.0,2425.0
2544,6.36,0,0,8140800,0,0,0,8140800,0,0.0,0.7570305438663122,8140800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,2544.0,0.0,2544.0
2662,6.655,0,0,8518400,0,0,0,8518400,0,0.0,0.7570305438663122,8518400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,2662.0,0.0,2662.0
2781,6.952500000000001,0,0,8899200,0,0,0,8899200,0,0.0,0.7570305438663122,8899200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,2781.0,0.0,2781.0
2900,7.25,0,0,9280000,0,0,0,9280000,0,0.0,0.7570305438663122,9280000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,2900.0,0.0,2900.0
3019,7.5475,0,0,9660800,0,0,0,9660800,0,0.0,0.7570305438663122,9660800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,3019.0,0.0,3019.0
3138,7.845,0,0,10041600,0,0,0,10041600,0,0.0,0.7570305438663122,10041600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,3138.0,0.0,3138.0
3256,8.14,0,0,10419200,0,0,0,10419200,0,0.0,0.7570305438663122,10419200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,3256.0,0.0,3256.0
3375,8.4375,0,0,10800000,0,0,0,10800000,0,0.0,0.7570305438663122,10800000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,3375.0,0.0,3375.0
3494,8.735,0,0,11180800,0,0,0,11180800,0,0.0,0.7570305438663122,11180800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,3494.0,0.0,3494.0
3612,9.03,0,0,11558400,0,0,0,11558400,0,0.0,0.7570305438663122,11558400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,3612.0,0.0,3612.0
3731,9.3275,0,0,11939200,0,0,0,11939200,0,0.0,0.7570305438663122,11939200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,3731.0,0.0,3731.0
3850,9.625,0,0,12320000,0,0,0,12320000,0,0.0,0.7570305438663122,12320000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,3850.0,0.0,3850.0
3969,9.9225,0,0,12700800,0,0,0,12700800,0,0.0,0.7570305438663122,12700800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,3969.0,0.0,3969.0
4088,10.22,0,0,13081600,0,0,0,13081600,0,0.0,0.7570305438663122,13081600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,4088.0,0.0,4088.0
4206,10.515,0,0,13459200,0,0,0,13459200,0,0.0,0.7570305438663122,13459200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,4206.0,0.0,4206.0
4325,10.8125,0,0,13840000,0,0,0,13840000,0,0.0,0.7570305438663122,13840000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,4325.0,0.0,4325.0
4444,11.11,0,0,14220800,0,0,0,14220800,0,0.0,0.7570305438663122,14220800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,4444.0,0.0,4444.0
4562,11.405,0,0,14598400,0,0,0,14598400,0,0.0,0.7570305438663122,14598400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,4562.0,0.0,4562.0
4681,11.7025,0,0,14979200,0,0,0,14979200,0,0.0,0.7570305438663122,14979200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,4681.0,0.0,4681.0
4800,12.0,0,0,15360000,0,0,0,15360000,0,0.0,0.7570305438663122,15360000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,4800.0,0.0,4800.0
4919,12.2975,0,0,15740800,0,0,0,15740800,0,0.0,0.7570305438663122,15740800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,4919.0,0.0,4919.0
5038,12.595,0,0,16121600,0,0,0,16121600,0,0.0,0.7570305438663122,16121600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,5038.0,0.0,5038.0
5156,12.89,0,0,16499200,0,0,0,16499200,0,0.0,0.7570305438663122,16499200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,5156.0,0.0,5156.0
5275,13.1875,0,0,16880000,0,0,0,16880000,0,0.0,0.7570305438663122,16880000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,5275.0,0.0,5275.0
5394,13.485,0,0,17260800,0,0,0,17260800,0,0.0,0.7570305438663122,17260800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,5394.0,0.0,5394.0
5512,13.780000000000001,0,0,17638400,0,0,0,17638400,0,0.0,0.7570305438663122,17638400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,5512.0,0.0,5512.0
