experiment,method,time,L1_density_error_mean,L1_density_error_std,L1_density_error_count,L2_density_error_mean,L2_density_error_std,L2_density_error_count,truncated_KDE_chi2_mean,truncated_KDE_chi2_std,truncated_KDE_chi2_count,KDE_CDF_sup_error_mean,KDE_CDF_sup_error_std,KDE_CDF_sup_error_count,empirical_CDF_sup_error_mean,empirical_CDF_sup_error_std,empirical_CDF_sup_error_count,KDE_vs_empirical_CDF_sup_mean,KDE_vs_empirical_CDF_sup_std,KDE_vs_empirical_CDF_sup_count,KDE_integral_mean,KDE_integral_std,KDE_integral_count,L1_density_error_se,L2_density_error_se,truncated_KDE_chi2_se,KDE_CDF_sup_error_se,empirical_CDF_sup_error_se,KDE_vs_empirical_CDF_sup_se,KDE_integral_se,KDE_bandwidth,chi_interval_left,chi_interval_right,chi_omitted_target_mass,chi_target_density_min
double-well,CP,1.44,0.4925025661364804,0.03492377656575653,4,0.07552769061181965,0.009350127349014034,4,0.17107352685573862,0.020226100341264524,4,0.1879559393866034,0.014366433358877344,4,0.18755433877752903,0.014116536826986093,4,0.009595484981413424,0.0004989040194424061,4,1.0,1.9229626863835638e-16,4,0.017461888282878264,0.004675063674507017,0.010113050170632262,0.007183216679438672,0.007058268413493047,0.00024945200972120306,9.614813431917819e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,1.5,0.4754722759130632,0.03774991378185774,4,0.07176419374556163,0.007731132903549067,4,0.1627475380770621,0.013957087485253582,4,0.17758705584549728,0.012294637355678897,4,0.176671836935858,0.012654169717467318,4,0.008308533967949915,0.00028238594584548685,4,1.0,1.2819751242557092e-16,4,0.01887495689092887,0.0038655664517745335,0.006978543742626791,0.006147318677839448,0.006327084858733659,0.00014119297292274343,6.409875621278546e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,1.56,0.4753484891843931,0.02643399264461655,4,0.06958448468557997,0.007517907650643918,4,0.15297421484726953,0.009479785142431708,4,0.1734095898405993,0.007859151496107287,4,0.1721218488363172,0.00800063760831499,4,0.008812743973315294,0.0011004065228029285,4,0.9999999999999999,9.064933036736789e-17,4,0.013216996322308276,0.003758953825321959,0.004739892571215854,0.003929575748053644,0.004000318804157495,0.0005502032614014643,4.5324665183683945e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,1.62,0.46994504097225287,0.027395579561932566,4,0.06811981994474267,0.0072870289607742875,4,0.14528592077490216,0.011049632060551524,4,0.1665149077770398,0.00907419209825737,4,0.16696260304286076,0.009734175292056595,4,0.008202444599857972,0.0009242334269048011,4,0.9999999999999999,1.1102230246251565e-16,4,0.013697789780966283,0.0036435144803871437,0.005524816030275762,0.004537096049128685,0.004867087646028298,0.00046211671345240056,5.551115123125783e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,1.68,0.46399730156887026,0.01658491165970005,4,0.0650280451666927,0.004605544098904877,4,0.13966786418718014,0.01437636619954286,4,0.16221856438663929,0.004919779382902863,4,0.16060088564689304,0.005178240518650984,4,0.008835596313039304,0.0009066653620948733,4,1.0,1.2819751242557092e-16,4,0.008292455829850024,0.0023027720494524385,0.00718818309977143,0.0024598896914514315,0.002589120259325492,0.00045333268104743663,6.409875621278546e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,1.74,0.46131781591445375,0.02254428966989032,4,0.06376458893706521,0.0060836316244783665,4,0.14129037907592248,0.014540102040157885,4,0.15939247606819892,0.007652667432275156,4,0.1590280551163669,0.0077532776167666935,4,0.00825662546030153,0.0008495369486811348,4,0.9999999999999999,1.1102230246251565e-16,4,0.01127214483494516,0.0030418158122391833,0.0072700510200789424,0.003826333716137578,0.0038766388083833468,0.0004247684743405674,5.551115123125783e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,1.8,0.4520571719867026,0.02453016671847678,4,0.0613620867028473,0.005131197348651411,4,0.13905071949769293,0.008077625058418688,4,0.15443478236211872,0.0069333524307633,4,0.15289979772254464,0.006900295370673238,4,0.008246454521852686,0.0007956192416023051,4,1.0,1.4332917616497527e-16,4,0.01226508335923839,0.0025655986743257056,0.004038812529209344,0.00346667621538165,0.003450147685336619,0.00039780962080115256,7.166458808248763e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,1.86,0.45725086534108433,0.009886239134864503,4,0.06090243733556863,0.0012446393639191494,4,0.13761264776032978,0.003947440160095111,4,0.15563151445753123,0.003423419102193216,4,0.15453852748091712,0.0038908299615136996,4,0.0090161587624936,0.0005060466403555107,4,1.0,2.220446049250313e-16,4,0.0049431195674322515,0.0006223196819595747,0.0019737200800475554,0.001711709551096608,0.0019454149807568498,0.00025302332017775535,1.1102230246251565e-16,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,1.92,0.449067115518121,0.01435836694809065,4,0.057833078250495856,0.004262094719634362,4,0.13421082092688397,0.007605812850740791,4,0.15211897182135786,0.0048616435520275,4,0.15188089563338913,0.005348275129827642,4,0.009237233981213087,0.0008353892711675827,4,0.9999999999999998,1.2819751242557092e-16,4,0.007179183474045325,0.002131047359817181,0.0038029064253703956,0.00243082177601375,0.002674137564913821,0.00041769463558379136,6.409875621278546e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,1.98,0.44297236129143797,0.012634573166945216,4,0.05569079987847877,0.0037502277070308285,4,0.12491474449868355,0.009479210608013808,4,0.1499681097719947,0.004242948080767928,4,0.14926523243140186,0.004677183439738311,4,0.008868742898884278,0.0010997257832231918,4,1.0,6.409875621278546e-17,4,0.006317286583472608,0.0018751138535154142,0.004739605304006904,0.002121474040383964,0.0023385917198691557,0.0005498628916115959,3.204937810639273e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,2.04,0.43065178331970977,0.013503501103142988,4,0.052716069884240685,0.00437037802278142,4,0.1196499709812836,0.006491498424429027,4,0.14417964488379215,0.004374949730952282,4,0.14219466113752485,0.0055757307238851915,4,0.008934311479390437,0.0009072290976107436,4,1.0,0.0,4,0.006751750551571494,0.00218518901139071,0.0032457492122145134,0.002187474865476141,0.0027878653619425957,0.0004536145488053718,0.0,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,2.1,0.43310424510207546,0.013365664016855438,4,0.052720813631039795,0.0025059243287490814,4,0.1184581870324739,0.005012090306763546,4,0.14191748298849297,0.008423149122823475,4,0.14029268214965096,0.009221966433870177,4,0.009622527274936073,0.001652772382489644,4,1.0,1.8129866073473578e-16,4,0.006682832008427719,0.0012529621643745407,0.002506045153381773,0.0042115745614117375,0.004610983216935089,0.000826386191244822,9.064933036736789e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,2.16,0.43162575802061875,0.020849698077823914,4,0.05100392534678742,0.005774820703879349,4,0.11651215948674265,0.014464527759450384,4,0.13942098561746996,0.007318337610026436,4,0.13697067256944168,0.007691513400963233,4,0.00832759706209802,0.0010476062453841878,4,1.0,1.2819751242557092e-16,4,0.010424849038911957,0.0028874103519396744,0.007232263879725192,0.003659168805013218,0.0038457567004816164,0.0005238031226920939,6.409875621278546e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,2.22,0.41937068771348235,0.014000199831018073,4,0.048441664591485196,0.004485489069362772,4,0.10837195701411148,0.011533916631723103,4,0.13500016529858438,0.0029662702922785404,4,0.13275435612331538,0.0031929683375685244,4,0.008334683448643715,0.0011623815958129178,4,1.0,2.220446049250313e-16,4,0.007000099915509037,0.002242744534681386,0.005766958315861551,0.0014831351461392702,0.0015964841687842622,0.0005811907979064589,1.1102230246251565e-16,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,2.2800000000000002,0.4162085209240317,0.025430321006375198,4,0.047406943542716524,0.007034356191456968,4,0.10175617653727402,0.018664505645740598,4,0.13164150422890125,0.011962659044087413,4,0.13022158787249213,0.011249479791489962,4,0.008228391892955884,0.0003151716618983941,4,1.0,6.409875621278546e-17,4,0.012715160503187599,0.003517178095728484,0.009332252822870299,0.0059813295220437065,0.005624739895744981,0.00015758583094919705,3.204937810639273e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
