experiment,x,local_Langevin_drift,Levy_score_correction,total_LSC_drift,jump_shell_center_positive,jump_shell_center_negative
double-well,-5.72977481234362,182.38056236793145,1.7467195263051015e+307,1.7467195263051015e+307,2.0,-2.0
double-well,-5.71976647206005,181.40656048210153,1.7465708952303907e+307,1.7465708952303907e+307,2.0,-2.0
double-well,-5.70975813177648,180.43599618307906,1.746568040221928e+307,1.746568040221928e+307,2.0,-2.0
double-well,-5.699749791492911,179.46886345583894,1.7315328336690468e+307,1.7315328336690468e+307,2.0,-2.0
double-well,-5.689741451209341,178.50515628535604,1.7244973845576524e+307,1.7244973845576524e+307,2.0,-2.0
double-well,-5.679733110925771,177.54486865660544,1.72436821548308e+307,1.72436821548308e+307,2.0,-2.0
double-well,-5.669724770642202,176.5879945545621,1.724365808283682e+307,1.724365808283682e+307,2.0,-2.0
double-well,-5.659716430358632,175.63452796420088,1.7243657627492062e+307,1.7243657627492062e+307,2.0,-2.0
double-well,-5.6497080900750625,174.68446287049693,1.7243657618749648e+307,1.7243657618749648e+307,2.0,-2.0
double-well,-5.639699749791493,173.73779325842506,1.6972913897132502e+307,1.6972913897132502e+307,2.0,-2.0
double-well,-5.629691409507923,172.7945131129602,1.6929163699002752e+307,1.6929163699002752e+307,2.0,-2.0
double-well,-5.619683069224354,171.8546164190775,1.692839998509385e+307,1.692839998509385e+307,2.0,-2.0
double-well,-5.609674728940784,170.9180971617518,1.692838644755974e+307,1.692838644755974e+307,2.0,-2.0
double-well,-5.599666388657214,169.984949325958,1.6928386203894213e+307,1.6928386203894213e+307,2.0,-2.0
double-well,-5.589658048373645,169.05516689667127,1.6928386199440914e+307,1.6928386199440914e+307,2.0,-2.0
double-well,-5.579649708090075,168.12874385886644,1.6928386199358274e+307,1.6928386199358274e+307,2.0,-2.0
double-well,-5.569641367806505,167.20567419751842,1.657500271811397e+307,1.657500271811397e+307,2.0,-2.0
double-well,-5.559633027522936,166.28595189760227,1.6567286719072975e+307,1.6567286719072975e+307,2.0,-2.0
double-well,-5.549624687239366,165.369570944093,1.656715932735456e+307,1.656715932735456e+307,2.0,-2.0
double-well,-5.539616346955796,164.4565253219654,1.656715719062423e+307,1.656715719062423e+307,2.0,-2.0
double-well,-5.529608006672227,163.54680901619463,1.6567157154215578e+307,1.6567157154215578e+307,2.0,-2.0
double-well,-5.5195996663886575,162.64041601175558,1.656715715358536e+307,1.656715715358536e+307,2.0,-2.0
double-well,-5.509591326105087,161.73734029362308,1.6233050871335043e+307,1.6233050871335043e+307,2.0,-2.0
double-well,-5.499582985821518,160.83757584677232,1.6222585978153332e+307,1.6222585978153332e+307,2.0,-2.0
double-well,-5.489574645537949,159.9411166561782,1.6222423641330357e+307,1.6222423641330357e+307,2.0,-2.0
double-well,-5.479566305254378,159.04795670681554,1.6222421081778436e+307,1.6222421081778436e+307,2.0,-2.0
double-well,-5.469557964970809,158.15808998365947,1.6131865804578258e+307,1.6131865804578258e+307,2.0,-2.0
double-well,-5.45954962468724,157.2715104716849,1.5963456494931228e+307,1.5963456494931228e+307,2.0,-2.0
double-well,-5.4495412844036695,156.38821215586677,1.5960999039684992e+307,1.5960999039684992e+307,2.0,-2.0
double-well,-5.4395329441201,155.5081890211801,1.5792512802850277e+307,1.5792512802850277e+307,2.0,-2.0
double-well,-5.429524603836531,154.63143505259984,1.5733009031111499e+307,1.5733009031111499e+307,2.0,-2.0
double-well,-5.419516263552961,153.75794423510087,1.5732163207268427e+307,1.5732163207268427e+307,2.0,-2.0
double-well,-5.409507923269391,152.8877105536583,1.5729002607175817e+307,1.5729002607175817e+307,2.0,-2.0
double-well,-5.399499582985822,152.02072799324702,1.5502207597528028e+307,1.5502207597528028e+307,2.0,-2.0
double-well,-5.389491242702252,151.15699053884188,1.5499114634632085e+307,1.5499114634632085e+307,2.0,-2.0
double-well,-5.379482902418682,150.2964921754181,1.549907172197305e+307,1.549907172197305e+307,2.0,-2.0
double-well,-5.369474562135113,149.4392268879505,1.5499071116282496e+307,1.5499071116282496e+307,2.0,-2.0
double-well,-5.359466221851543,148.58518866141395,1.5499071107585767e+307,1.5499071107585767e+307,2.0,-2.0
double-well,-5.349457881567973,147.73437148078358,1.5174176550034257e+307,1.5174176550034257e+307,2.0,-2.0
double-well,-5.339449541284404,146.88676933103432,1.5168177646719961e+307,1.5168177646719961e+307,2.0,-2.0
double-well,-5.329441201000834,146.04237619714104,1.5168099142354166e+307,1.5168099142354166e+307,2.0,-2.0
double-well,-5.3194328607172645,145.20118606407883,1.516809809674075e+307,1.516809809674075e+307,2.0,-2.0
double-well,-5.309424520433694,144.36319291682253,1.5168098082566878e+307,1.5168098082566878e+307,2.0,-2.0
double-well,-5.299416180150125,143.52839074034722,1.494766332002536e+307,1.494766332002536e+307,2.0,-2.0
double-well,-5.289407839866556,142.69677351962784,1.479079705970957e+307,1.479079705970957e+307,2.0,-2.0
double-well,-5.279399499582986,141.86833523963935,1.4788902187523274e+307,1.4788902187523274e+307,2.0,-2.0
double-well,-5.269391159299416,141.0430698853566,1.4788878877911678e+307,1.4788878877911678e+307,2.0,-2.0
double-well,-5.259382819015847,140.22097144175473,1.4788878585914448e+307,1.4788878585914448e+307,2.0,-2.0
double-well,-5.2493744787322765,139.40203389380858,1.4788878582189718e+307,1.4788878582189718e+307,2.0,-2.0
double-well,-5.239366138448707,138.5862512264932,1.443347353579717e+307,1.443347353579717e+307,2.0,-2.0
double-well,-5.229357798165138,137.77361742478357,1.4427047963055898e+307,1.4427047963055898e+307,2.0,-2.0
double-well,-5.2193494578815685,136.96412647365455,1.4426974290238057e+307,1.4426974290238057e+307,2.0,-2.0
double-well,-5.209341117597998,136.15777235808113,1.4320734577370882e+307,1.4320734577370882e+307,2.0,-2.0
double-well,-5.199332777314429,135.35454906303835,1.4052030389033619e+307,1.4052030389033619e+307,2.0,-2.0
double-well,-5.189324437030859,134.55445057350107,1.4023401825852897e+307,1.4023401825852897e+307,2.0,-2.0
double-well,-5.179316096747289,133.75747087444438,1.3700585032860644e+307,1.3700585032860644e+307,2.0,-2.0
double-well,-5.16930775646372,132.9636039508432,1.3676580623224043e+307,1.3676580623224043e+307,2.0,-2.0
double-well,-5.159299416180151,132.17284378767246,1.36763295480729e+307,1.36763295480729e+307,2.0,-2.0
double-well,-5.14929107589658,131.3851843699071,1.367632687030478e+307,1.367632687030478e+307,2.0,-2.0
double-well,-5.139282735613011,130.60061968252214,1.3363344511133495e+307,1.3363344511133495e+307,2.0,-2.0
double-well,-5.129274395329441,129.8191437104925,1.333766782536545e+307,1.333766782536545e+307,2.0,-2.0
double-well,-5.1192660550458715,129.04075043879325,1.3337412527174444e+307,1.3337412527174444e+307,2.0,-2.0
double-well,-5.109257714762302,128.2654338523993,1.3337409937820045e+307,1.3337409937820045e+307,2.0,-2.0
double-well,-5.099249374478732,127.49318793628548,1.3337409911031337e+307,1.3337409911031337e+307,2.0,-2.0
double-well,-5.089241034195163,126.72400667542698,1.2977724701586829e+307,1.2977724701586829e+307,2.0,-2.0
double-well,-5.079232693911593,125.95788405479865,1.2949353817781286e+307,1.2949353817781286e+307,2.0,-2.0
double-well,-5.069224353628023,125.1948140593754,1.2949091018500385e+307,1.2949091018500385e+307,2.0,-2.0
double-well,-5.059216013344454,124.43479067413229,1.2949088533778323e+307,1.2949088533778323e+307,2.0,-2.0
double-well,-5.049207673060884,123.67780788404428,1.2945166682654995e+307,1.2945166682654995e+307,2.0,-2.0
double-well,-5.039199332777314,122.92385967408626,1.247571642573293e+307,1.247571642573293e+307,2.0,-2.0
double-well,-5.029190992493745,122.17294002923329,1.247079709603802e+307,1.247079709603802e+307,2.0,-2.0
double-well,-5.0191826522101755,121.4250429344603,1.226257333420798e+307,1.226257333420798e+307,2.0,-2.0
double-well,-5.009174311926605,120.68016237474217,1.199123367661404e+307,1.199123367661404e+307,2.0,-2.0
double-well,-4.999165971643036,119.938292335054,1.195133952458238e+307,1.195133952458238e+307,2.0,-2.0
double-well,-4.9891576313594665,119.19942680037072,1.184541668611711e+307,1.184541668611711e+307,2.0,-2.0
double-well,-4.979149291075896,118.46355975566718,1.150863647917236e+307,1.150863647917236e+307,2.0,-2.0
double-well,-4.969140950792327,117.73068518591852,1.1479460839677335e+307,1.1479460839677335e+307,2.0,-2.0
double-well,-4.959132610508758,117.0007970760996,1.1479233162101032e+307,1.1479233162101032e+307,2.0,-2.0
double-well,-4.949124270225187,116.27388941118537,1.1479231345797862e+307,1.1479231345797862e+307,2.0,-2.0
double-well,-4.939115929941618,115.54995617615087,1.129291415694585e+307,1.129291415694585e+307,2.0,-2.0
double-well,-4.929107589658049,114.82899135597104,1.1092361731505544e+307,1.1092361731505544e+307,2.0,-2.0
double-well,-4.9190992493744785,114.11098893562075,1.1031637270320722e+307,1.1031637270320722e+307,2.0,-2.0
double-well,-4.909090909090909,113.39594290007514,1.0986011315921601e+307,1.0986011315921601e+307,2.0,-2.0
double-well,-4.899082568807339,112.683847234309,1.0809235953663931e+307,1.0809235953663931e+307,2.0,-2.0
double-well,-4.88907422852377,111.97469592329745,1.0386055708989737e+307,1.0386055708989737e+307,2.0,-2.0
double-well,-4.8790658882402,111.26848295201538,1.0382048368301845e+307,1.0382048368301845e+307,2.0,-2.0
double-well,-4.869057547956631,110.56520230543775,1.0298943313016376e+307,1.0298943313016376e+307,2.0,-2.0
double-well,-4.859049207673061,109.86484796853948,9.807945168109184e+306,9.807945168109184e+306,2.0,-2.0
double-well,-4.849040867389491,109.16741392629565,9.668801564867433e+306,9.668801564867433e+306,2.0,-2.0
double-well,-4.839032527105921,108.4728941636811,9.637310450209235e+306,9.637310450209235e+306,2.0,-2.0
double-well,-4.829024186822352,107.78128266567093,9.637117579088528e+306,9.637117579088528e+306,2.0,-2.0
double-well,-4.8190158465387825,107.09257341724003,9.184254357386607e+306,9.184254357386607e+306,2.0,-2.0
double-well,-4.809007506255213,106.40676040336336,9.157825714219425e+306,9.157825714219425e+306,2.0,-2.0
double-well,-4.798999165971643,105.72383760901585,8.960359360735364e+306,8.960359360735364e+306,2.0,-2.0
double-well,-4.7889908256880735,105.04379901917255,8.755651217238153e+306,8.755651217238153e+306,2.0,-2.0
double-well,-4.778982485404503,104.36663861880835,8.574720311860692e+306,8.574720311860692e+306,2.0,-2.0
double-well,-4.768974145120934,103.69235039289829,8.302179724409365e+306,8.302179724409365e+306,2.0,-2.0
double-well,-4.758965804837365,103.0209283264173,8.00454357309523e+306,8.00454357309523e+306,2.0,-2.0
double-well,-4.748957464553795,102.35236640434034,7.942958343249525e+306,7.942958343249525e+306,2.0,-2.0
double-well,-4.738949124270225,101.68665861164233,7.719102790432509e+306,7.719102790432509e+306,2.0,-2.0
double-well,-4.728940783986656,101.02379893329832,7.234767254071498e+306,7.234767254071498e+306,2.0,-2.0
double-well,-4.7189324437030855,100.3637813542832,7.194558244237662e+306,7.194558244237662e+306,2.0,-2.0
double-well,-4.708924103419516,99.70659985957201,7.193565401274471e+306,7.193565401274471e+306,2.0,-2.0
double-well,-4.698915763135947,99.0522484341397,6.569538670873232e+306,6.569538670873232e+306,2.0,-2.0
double-well,-4.6889074228523775,98.4007210629612,6.476948839804978e+306,6.476948839804978e+306,2.0,-2.0
double-well,-4.678899082568807,97.75201173101142,6.21074984153712e+306,6.21074984153712e+306,2.0,-2.0
double-well,-4.668890742285238,97.10611442326547,5.5920719136648024e+306,5.5920719136648024e+306,2.0,-2.0
double-well,-4.658882402001668,96.46302312469817,5.5696748583258536e+306,5.5696748583258536e+306,2.0,-2.0
double-well,-4.648874061718098,95.8227318202846,5.2049459851066066e+306,5.2049459851066066e+306,2.0,-2.0
double-well,-4.638865721434529,95.1852344949997,4.8485607357006574e+306,4.8485607357006574e+306,2.0,-2.0
double-well,-4.62885738115096,94.5505251338184,4.6926793524261803e+306,4.6926793524261803e+306,2.0,-2.0
double-well,-4.6188490408673895,93.91859772171563,4.158685630215395e+306,4.158685630215395e+306,2.0,-2.0
double-well,-4.60884070058382,93.28944624366645,3.712387394696047e+306,3.712387394696047e+306,2.0,-2.0
double-well,-4.59883236030025,92.66306468464573,3.361235031484265e+306,3.361235031484265e+306,2.0,-2.0
double-well,-4.5888240200166805,92.03944702962855,2.846421038812572e+306,2.846421038812572e+306,2.0,-2.0
double-well,-4.578815679733111,91.4185872635898,2.536397011372821e+306,2.536397011372821e+306,2.0,-2.0
double-well,-4.568807339449542,90.80047937150445,1.8561229130347714e+306,1.8561229130347714e+306,2.0,-2.0
double-well,-4.558798999165972,90.18511733834742,1.650647476698247e+306,1.650647476698247e+306,2.0,-2.0
double-well,-4.548790658882402,89.5724951490938,1.0606671773531643e+306,1.0606671773531643e+306,2.0,-2.0
double-well,-4.538782318598832,88.9626067887184,8.977225231531587e+305,8.977225231531587e+305,2.0,-2.0
double-well,-4.528773978315263,88.35544624219634,4.883823275618664e+305,4.883823275618664e+305,2.0,-2.0
double-well,-4.518765638031693,87.75100749450249,2.1991297195632364e+305,2.1991297195632364e+305,2.0,-2.0
double-well,-4.508757297748123,87.14928453061181,4.1252516207060975e+304,4.1252516207060975e+304,2.0,-2.0
double-well,-4.498748957464554,86.55027133549932,3.016460977785721e+302,3.016460977785721e+302,2.0,-2.0
double-well,-4.4887406171809845,85.95396189413997,6.657752458304419e+299,6.657752458304419e+299,2.0,-2.0
double-well,-4.478732276897414,85.36035019150864,1.523523037147539e+297,1.523523037147539e+297,2.0,-2.0
double-well,-4.468723936613845,84.76943021258046,3.614247483779609e+294,3.614247483779609e+294,2.0,-2.0
double-well,-4.458715596330276,84.18119594233026,8.887717284295681e+291,8.887717284295681e+291,2.0,-2.0
double-well,-4.448707256046705,83.59564136573303,2.2652807302275934e+289,2.2652807302275934e+289,2.0,-2.0
double-well,-4.438698915763136,83.01276046776378,5.983691947339587e+286,5.983691947339587e+286,2.0,-2.0
double-well,-4.428690575479567,82.43254723339747,1.6379013085679055e+284,1.6379013085679055e+284,2.0,-2.0
double-well,-4.4186822351959965,81.85499564760897,4.645510159893225e+281,4.645510159893225e+281,2.0,-2.0
double-well,-4.408673894912427,81.2800996953734,1.365092623249649e+279,1.365092623249649e+279,2.0,-2.0
double-well,-4.398665554628858,80.70785336166561,4.1555608837466183e+276,4.1555608837466183e+276,2.0,-2.0
double-well,-4.3886572143452875,80.13825063146058,1.3103634441862485e+274,1.3103634441862485e+274,2.0,-2.0
double-well,-4.378648874061718,79.57128548973331,4.279610102749582e+271,4.279610102749582e+271,2.0,-2.0
double-well,-4.368640533778148,79.00695192145874,1.44751356432653e+269,1.44751356432653e+269,2.0,-2.0
double-well,-4.358632193494579,78.44524391161187,5.069938946887072e+266,5.069938946887072e+266,2.0,-2.0
double-well,-4.348623853211009,77.88615544516765,1.8386542588313336e+264,1.8386542588313336e+264,2.0,-2.0
double-well,-4.33861551292744,77.32968050710102,6.903514383844081e+261,6.903514383844081e+261,2.0,-2.0
double-well,-4.32860717264387,76.77581308238693,2.6832969587053315e+259,2.6832969587053315e+259,2.0,-2.0
double-well,-4.3185988323603,76.22454715600043,1.0795706429611134e+257,1.0795706429611134e+257,2.0,-2.0
double-well,-4.30859049207673,75.67587671291636,4.4954446690362766e+254,4.4954446690362766e+254,2.0,-2.0
double-well,-4.298582151793161,75.12979573810982,1.937264443672342e+252,1.937264443672342e+252,2.0,-2.0
double-well,-4.2885738115095915,74.5862982165557,8.638834922751996e+249,8.638834922751996e+249,2.0,-2.0
double-well,-4.278565471226022,74.045378133229,3.985903455289827e+247,3.985903455289827e+247,2.0,-2.0
double-well,-4.268557130942452,73.50702947310458,1.9026503372195383e+245,1.9026503372195383e+245,2.0,-2.0
double-well,-4.258548790658883,72.97124622115757,9.395221689646373e+242,9.395221689646373e+242,2.0,-2.0
double-well,-4.248540450375312,72.43802236236277,4.798727853239216e+240,4.798727853239216e+240,2.0,-2.0
double-well,-4.238532110091743,71.9073518816953,2.5349617263787306e+238,2.5349617263787306e+238,2.0,-2.0
double-well,-4.228523769808174,71.37922876413005,1.384834934871943e+236,1.384834934871943e+236,2.0,-2.0
double-well,-4.218515429524604,70.85364699464199,7.82277823614906e+233,7.82277823614906e+233,2.0,-2.0
double-well,-4.208507089241034,70.33060055820603,4.5689402771597894e+231,4.5689402771597894e+231,2.0,-2.0
double-well,-4.198498748957465,69.81008343979725,2.7587758477369107e+229,2.7587758477369107e+229,2.0,-2.0
double-well,-4.1884904086738945,69.29208962439048,1.7219431376726375e+227,1.7219431376726375e+227,2.0,-2.0
double-well,-4.178482068390325,68.77661309696084,1.1109067565468497e+225,1.1109067565468497e+225,2.0,-2.0
double-well,-4.168473728106756,68.2636478424832,7.407092141900889e+222,7.407092141900889e+222,2.0,-2.0
double-well,-4.1584653878231865,67.75318784593253,5.103688045031591e+220,5.103688045031591e+220,2.0,-2.0
double-well,-4.148457047539616,67.24522709228377,3.6336375209859854e+218,3.6336375209859854e+218,2.0,-2.0
double-well,-4.138448707256047,66.73975956651196,2.6728527649265343e+216,2.6728527649265343e+216,2.0,-2.0
double-well,-4.128440366972477,66.23677925359198,2.0311371512718497e+214,2.0311371512718497e+214,2.0,-2.0
double-well,-4.118432026688907,65.7362801384989,1.5943697509829915e+212,1.5943697509829915e+212,2.0,-2.0
double-well,-4.108423686405338,65.23825620620761,1.2926448166888474e+210,1.2926448166888474e+210,2.0,-2.0
double-well,-4.098415346121769,64.7427014416931,1.0823419828950378e+208,1.0823419828950378e+208,2.0,-2.0
double-well,-4.0884070058381985,64.24960982993028,9.358358589618247e+205,9.358358589618247e+205,2.0,-2.0
double-well,-4.078398665554629,63.75897535589421,8.354865767162982e+203,8.354865767162982e+203,2.0,-2.0
double-well,-4.068390325271059,63.270792004559745,7.700849021655709e+201,7.700849021655709e+201,2.0,-2.0
double-well,-4.05838198498749,62.785053760901974,7.327431848923253e+199,7.327431848923253e+199,2.0,-2.0
double-well,-4.04837364470392,62.30175460989579,7.196705173723425e+197,7.196705173723425e+197,2.0,-2.0
double-well,-4.038365304420351,61.82088853651618,7.295231331300303e+195,7.295231331300303e+195,2.0,-2.0
double-well,-4.028356964136781,61.34244952573804,7.631721915087916e+193,7.631721915087916e+193,2.0,-2.0
double-well,-4.018348623853211,60.86643156253645,8.238322544654748e+191,8.238322544654748e+191,2.0,-2.0
double-well,-4.008340283569641,60.392828631886275,9.17576951426624e+189,9.17576951426624e+189,2.0,-2.0
double-well,-3.9983319432860718,59.92163471876256,1.0543585176194611e+188,1.0543585176194611e+188,2.0,-2.0
double-well,-3.988323603002502,59.452843808140216,1.2497722871615717e+186,1.2497722871615717e+186,2.0,-2.0
double-well,-3.9783152627189327,58.98644988499425,1.5280053825151684e+184,1.5280053825151684e+184,2.0,-2.0
double-well,-3.968306922435363,58.52244693429957,1.9267480929416448e+182,1.9267480929416448e+182,2.0,-2.0
double-well,-3.958298582151793,58.06082894103119,2.5054497276082906e+180,2.5054497276082906e+180,2.0,-2.0
double-well,-3.9482902418682237,57.60158989016407,3.359400536274632e+178,3.359400536274632e+178,2.0,-2.0
double-well,-3.938281901584654,57.14472376667315,4.644167280409984e+176,4.644167280409984e+176,2.0,-2.0
double-well,-3.928273561301084,56.690224555533405,6.618788816484769e+174,6.618788816484769e+174,2.0,-2.0
double-well,-3.918265221017515,56.23808624171983,9.723629956283471e+172,9.723629956283471e+172,2.0,-2.0
double-well,-3.908256880733945,55.78830281020735,1.4723537641043172e+171,1.4723537641043172e+171,2.0,-2.0
double-well,-3.8982485404503753,55.34086824597094,2.297652703456302e+169,2.297652703456302e+169,2.0,-2.0
double-well,-3.888240200166806,54.89577653398559,3.694874346641206e+167,3.694874346641206e+167,2.0,-2.0
double-well,-3.878231859883236,54.45302165922622,6.1222723070896384e+165,6.1222723070896384e+165,2.0,-2.0
double-well,-3.8682235195996664,54.01259760666783,1.0451482229539593e+164,1.0451482229539593e+164,2.0,-2.0
double-well,-3.858215179316097,53.5744983612854,1.83801899019217e+162,1.83801899019217e+162,2.0,-2.0
double-well,-3.8482068390325272,53.13871790805385,3.329534686911855e+160,3.329534686911855e+160,2.0,-2.0
double-well,-3.8381984987489575,52.70525023194816,6.212023683519847e+158,6.212023683519847e+158,2.0,-2.0
double-well,-3.828190158465388,52.274089317943336,1.1935846560382194e+157,1.1935846560382194e+157,2.0,-2.0
double-well,-3.8181818181818183,51.84522915101428,2.3615571441736897e+155,2.3615571441736897e+155,2.0,-2.0
double-well,-3.8081734778982486,51.41866371613599,4.810866721759714e+153,4.810866721759714e+153,2.0,-2.0
double-well,-3.7981651376146788,50.99438699828343,1.0089794890079533e+152,1.0089794890079533e+152,2.0,-2.0
double-well,-3.7881567973311094,50.57239298243158,2.1783616783589214e+150,2.1783616783589214e+150,2.0,-2.0
double-well,-3.7781484570475397,50.15267565355537,4.840840237370817e+148,4.840840237370817e+148,2.0,-2.0
double-well,-3.76814011676397,49.735228996629786,1.10715665083712e+147,1.10715665083712e+147,2.0,-2.0
double-well,-3.7581317764804005,49.32004699662981,2.6058498375421665e+145,2.6058498375421665e+145,2.0,-2.0
double-well,-3.7481234361968307,48.90712363853037,6.310969611733043e+143,6.310969611733043e+143,2.0,-2.0
double-well,-3.738115095913261,48.496452907306455,1.5725467174744502e+142,1.5725467174744502e+142,2.0,-2.0
double-well,-3.7281067556296916,48.088028787933034,4.031123759820881e+140,4.031123759820881e+140,2.0,-2.0
double-well,-3.718098415346122,47.68184526538505,1.0629629470090992e+139,1.0629629470090992e+139,2.0,-2.0
double-well,-3.708090075062552,47.277896324637474,2.8829281324442907e+137,2.8829281324442907e+137,2.0,-2.0
double-well,-3.6980817347789827,46.876175950665306,8.041321782791171e+135,8.041321782791171e+135,2.0,-2.0
double-well,-3.688073394495413,46.47667812844346,2.3064986296946604e+134,2.3064986296946604e+134,2.0,-2.0
double-well,-3.678065054211843,46.07939684294693,6.802448336827116e+132,6.802448336827116e+132,2.0,-2.0
double-well,-3.668056713928274,45.684326079150686,2.062612789176722e+131,2.062612789176722e+131,2.0,-2.0
double-well,-3.658048373644704,45.29145982202967,6.429313848787343e+129,6.429313848787343e+129,2.0,-2.0
double-well,-3.6480400333611342,44.90079205655886,2.059965866758846e+128,2.059965866758846e+128,2.0,-2.0
double-well,-3.638031693077565,44.51231676771325,6.783562896365218e+126,6.783562896365218e+126,2.0,-2.0
double-well,-3.628023352793995,44.12602794046775,2.2956835385836354e+125,2.2956835385836354e+125,2.0,-2.0
double-well,-3.6180150125104253,43.74191955979735,7.983187916773908e+123,7.983187916773908e+123,2.0,-2.0
double-well,-3.608006672226856,43.35998561067704,2.852361873087543e+122,2.852361873087543e+122,2.0,-2.0
double-well,-3.597998331943286,42.98022007808175,1.0470092807673538e+121,1.0470092807673538e+121,2.0,-2.0
double-well,-3.5879899916597164,42.60261694698645,3.947914183558838e+119,3.947914183558838e+119,2.0,-2.0
double-well,-3.577981651376147,42.22717020236613,1.5290077504269125e+118,1.5290077504269125e+118,2.0,-2.0
double-well,-3.5679733110925773,41.85387382919573,6.081769322300551e+116,6.081769322300551e+116,2.0,-2.0
double-well,-3.5579649708090075,41.48272181245022,2.484173065233073e+115,2.484173065233073e+115,2.0,-2.0
double-well,-3.5479566305254377,41.11370813710457,1.0418823537462065e+114,1.0418823537462065e+114,2.0,-2.0
double-well,-3.5379482902418684,40.74682678813376,4.48635490388767e+112,4.48635490388767e+112,2.0,-2.0
double-well,-3.5279399499582986,40.38207175051272,1.983169144905283e+111,1.983169144905283e+111,2.0,-2.0
double-well,-3.517931609674729,40.019437009216446,8.998498292275887e+109,8.998498292275887e+109,2.0,-2.0
double-well,-3.5079232693911595,39.6589165492199,4.190610718080033e+108,4.190610718080033e+108,2.0,-2.0
double-well,-3.4979149291075897,39.30050435549802,2.0027849691022966e+107,2.0027849691022966e+107,2.0,-2.0
double-well,-3.48790658882402,38.9441944130258,9.821857838323775e+105,9.821857838323775e+105,2.0,-2.0
double-well,-3.4778982485404506,38.589980706778206,4.9420568516257314e+104,4.9420568516257314e+104,2.0,-2.0
double-well,-3.467889908256881,38.237857221730174,2.551108411580282e+103,2.551108411580282e+103,2.0,-2.0
double-well,-3.457881567973311,37.88781794285669,1.3508568738923392e+102,1.3508568738923392e+102,2.0,-2.0
double-well,-3.4478732276897417,37.53985685513273,7.33670412896215e+100,7.33670412896215e+100,2.0,-2.0
double-well,-3.437864887406172,37.193967943533245,4.0865400072601856e+99,4.0865400072601856e+99,2.0,-2.0
double-well,-3.427856547122602,36.85014519303319,2.3341311130824633e+98,2.3341311130824633e+98,2.0,-2.0
double-well,-3.417848206839033,36.50838258860756,1.366976234634163e+97,1.366976234634163e+97,2.0,-2.0
double-well,-3.407839866555463,36.16867411523129,8.207562491700785e+95,8.207562491700785e+95,2.0,-2.0
double-well,-3.397831526271893,35.831013757879354,5.0516825036412e+94,5.0516825036412e+94,2.0,-2.0
