experiment,method,seed,time,KDE_bandwidth,KDE_integral,KDE_integral_before_grid_renormalization,KDE_tail_mass_outside_plot,L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup,chi_interval_left,chi_interval_right,chi_omitted_target_mass,chi_target_density_min,quadrature
triple-well,LSC-overlong,2,3.1164,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.08061531919292908,0.0012957378633072208,0.010906756300921413,0.008779530029277338,0.012650017811658087,0.006693307242868984,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.1311,0.09199214785700836,1.0,1.00000000000003,0.0,0.0769418873316009,0.0012842323121338042,0.00874385020045806,0.0085029005872167,0.011539092126422679,0.005621966352847285,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.1458,0.09199214785700836,1.0,1.0000000000000302,0.0,0.08022449087081793,0.0012347647728707292,0.0093173727962886,0.00801863396003788,0.012726516594190551,0.005598405793431613,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.1605,0.09199214785700836,1.0,1.0000000000000302,0.0,0.07515498440265655,0.0011312428727199605,0.008742578065446045,0.009329592909579576,0.012191860146207545,0.006075125354195632,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.1752,0.09199214785700836,1.0,1.00000000000003,0.0,0.07115365950521121,0.0009803335962405137,0.008205213854638715,0.009352222869735194,0.01136809443860165,0.005954041171295388,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.1899,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.07411152363035109,0.000985299755774653,0.007397019887585102,0.007714952638920469,0.012925759658946157,0.0062056941151722445,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.2046,0.09199214785700836,1.0,1.0000000000000302,0.0,0.07534213134207055,0.0009591314551263989,0.007920980973168387,0.008047056128691,0.01150535232153449,0.005499599616913264,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.2193,0.09199214785700836,1.0,1.00000000000003,0.0,0.06915292981328969,0.000883643870440799,0.007726320342066237,0.006983194643241819,0.01084242632561283,0.005747957663559455,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.234,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.07642881981932637,0.0010810535096309852,0.008791406612833886,0.008066816542567912,0.013868094438601708,0.006186653858861302,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.2487,0.09199214785700836,1.0000000000000002,1.00000000000003,0.0,0.07437378800554018,0.0010267604072254368,0.007804259815238324,0.006898733798242462,0.012191860146207545,0.006616205004273623,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.2634,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.07579983847088416,0.0010931690015993293,0.00839897366485292,0.007930776933365247,0.013020008489539547,0.006103735486755468,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.2781,0.09199214785700836,1.0,1.00000000000003,0.0,0.07744232683341076,0.0011471116474661366,0.008547048981128031,0.007910475866187261,0.008935860420657138,0.005453914983600816,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.2928,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.07036358727487217,0.0009222764025494934,0.007393623098139471,0.007255593116847203,0.00803466712238747,0.005453563634746694,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
