experiment,method,seed,time,KDE_bandwidth,histogram_integral,KDE_integral,KDE_tail_mass_outside_plot,KDE_vs_histogram_bin_mass_L1,sample_count
triple-well,LSC-adjacent,1,3.9543,0.09199214785700836,0.9999999999999999,1.0,0.0,0.03060787087255113,2400
triple-well,LSC-adjacent,1,3.969,0.09199214785700836,1.0,1.0,0.0,0.04572444906336991,2400
triple-well,LSC-adjacent,1,3.9837,0.09199214785700836,0.9999999999999999,1.0,0.0,0.03773943431743104,2400
triple-well,LSC-adjacent,1,3.9984,0.09199214785700836,1.0,0.9999999999999999,0.0,0.04094902993896388,2400
triple-well,LSC-adjacent,1,4.0131,0.09199214785700836,1.0,1.0,0.0,0.029303800467096543,2400
triple-well,LSC-adjacent,1,4.0278,0.09199214785700836,1.0,1.0,0.0,0.028287288478289666,2400
triple-well,LSC-adjacent,1,4.0424999999999995,0.09199214785700836,0.9999999999999998,0.9999999999999999,0.0,0.027980242517178865,2400
triple-well,LSC-adjacent,1,4.0572,0.09199214785700836,1.0,1.0,0.0,0.032387642659078716,2400
triple-well,LSC-adjacent,1,4.0719,0.09199214785700836,1.0,1.0,0.0,0.0326727722755325,2400
triple-well,LSC-adjacent,1,4.0866,0.09199214785700836,1.0,1.0,0.0,0.03701158266248146,2400
triple-well,LSC-adjacent,1,4.1013,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03356416446765548,2400
triple-well,LSC-adjacent,1,4.116,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03213773555340825,2400
triple-well,LSC-adjacent,1,4.1307,0.09199214785700836,1.0,0.9999999999999999,0.0,0.04069172710088301,2400
triple-well,LSC-adjacent,1,4.1453999999999995,0.09199214785700836,0.9999999999999999,0.9999999999999998,0.0,0.039710751381232104,2400
triple-well,LSC-adjacent,1,4.1601,0.09199214785700836,1.0,0.9999999999999998,0.0,0.04015080076617484,2400
triple-well,LSC-adjacent,1,4.1748,0.09199214785700836,0.9999999999999999,0.9999999999999999,0.0,0.04960371543392432,2400
triple-well,LSC-adjacent,1,4.1895,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03879090255092407,2400
triple-well,LSC-overlong,1,0.0,0.09199214785700836,1.0,1.0,0.0,0.11126614231750265,2400
triple-well,LSC-overlong,1,0.0147,0.09199214785700836,1.0,1.0,0.0,0.0945335929714071,2400
triple-well,LSC-overlong,1,0.0294,0.09199214785700836,0.9999999999999998,1.0000000000000002,0.0,0.07517887586069218,2400
triple-well,LSC-overlong,1,0.0441,0.09199214785700836,1.0,0.9999999999999999,0.0,0.0616308034022995,2400
triple-well,LSC-overlong,1,0.0588,0.09199214785700836,1.0,0.9999999999999999,0.0,0.07068784248932569,2400
triple-well,LSC-overlong,1,0.0735,0.09199214785700836,1.0,1.0,0.0,0.0790060657206524,2400
triple-well,LSC-overlong,1,0.0882,0.09199214785700836,0.9999999999999998,0.9999999999999998,0.0,0.07828629556371988,2400
triple-well,LSC-overlong,1,0.1029,0.09199214785700836,1.0,0.9999999999999999,0.0,0.07152557017308578,2400
triple-well,LSC-overlong,1,0.1176,0.09199214785700836,1.0,1.0,0.0,0.08834697696453911,2400
triple-well,LSC-overlong,1,0.1323,0.09199214785700836,0.9999999999999999,0.9999999999999998,0.0,0.0856474612924032,2400
triple-well,LSC-overlong,1,0.147,0.09199214785700836,1.0,1.0,0.0,0.06745528447218439,2400
triple-well,LSC-overlong,1,0.1617,0.09199214785700836,1.0,0.9999999999999998,0.0,0.07466595905761805,2400
triple-well,LSC-overlong,1,0.1764,0.09199214785700836,1.0,0.9999999999999999,0.0,0.07769769205839769,2400
triple-well,LSC-overlong,1,0.1911,0.09199214785700836,1.0,1.0,0.0,0.059318283391535796,2400
triple-well,LSC-overlong,1,0.2058,0.09199214785700836,1.0,1.0,0.0,0.06254329398855937,2400
triple-well,LSC-overlong,1,0.2205,0.09199214785700836,1.0,1.0,0.0,0.04690357566679525,2400
triple-well,LSC-overlong,1,0.2352,0.09199214785700836,1.0,1.0,0.0,0.04153283776299342,2400
triple-well,LSC-overlong,1,0.2499,0.09199214785700836,1.0,1.0,0.0,0.04056040113254787,2400
triple-well,LSC-overlong,1,0.2646,0.09199214785700836,1.0,1.0,0.0,0.03854762280348205,2400
triple-well,LSC-overlong,1,0.2793,0.09199214785700836,1.0,1.0000000000000002,0.0,0.03542334413498437,2400
triple-well,LSC-overlong,1,0.294,0.09199214785700836,1.0,1.0,0.0,0.04640767363479211,2400
triple-well,LSC-overlong,1,0.3087,0.09199214785700836,1.0,1.0,0.0,0.05294602480600506,2400
triple-well,LSC-overlong,1,0.3234,0.09199214785700836,1.0,1.0000000000000002,0.0,0.03236706049540179,2400
triple-well,LSC-overlong,1,0.3381,0.09199214785700836,1.0,1.0,0.0,0.041844025544655564,2400
triple-well,LSC-overlong,1,0.3528,0.09199214785700836,1.0,1.0,0.0,0.03790721102832448,2400
triple-well,LSC-overlong,1,0.3675,0.09199214785700836,1.0,1.0,0.0,0.036892012284840715,2400
triple-well,LSC-overlong,1,0.3822,0.09199214785700836,1.0,0.9999999999999998,0.0,0.028910367628387043,2400
triple-well,LSC-overlong,1,0.3969,0.09199214785700836,1.0,1.0,0.0,0.0332216727211025,2400
triple-well,LSC-overlong,1,0.4116,0.09199214785700836,1.0,1.0,0.0,0.03431610748188,2400
triple-well,LSC-overlong,1,0.4263,0.09199214785700836,1.0,0.9999999999999999,0.0,0.050127020775656506,2400
triple-well,LSC-overlong,1,0.441,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03372570167060759,2400
triple-well,LSC-overlong,1,0.4557,0.09199214785700836,1.0,0.9999999999999999,0.0,0.0355929100668259,2400
triple-well,LSC-overlong,1,0.4704,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03227873362414583,2400
triple-well,LSC-overlong,1,0.4851,0.09199214785700836,1.0,1.0,0.0,0.03609501550351269,2400
triple-well,LSC-overlong,1,0.4998,0.09199214785700836,1.0,0.9999999999999997,0.0,0.03278270653176668,2400
triple-well,LSC-overlong,1,0.5145,0.09199214785700836,1.0,1.0,0.0,0.0380022307834318,2400
triple-well,LSC-overlong,1,0.5292,0.09199214785700836,1.0,1.0000000000000002,0.0,0.031828178767509624,2400
triple-well,LSC-overlong,1,0.5438999999999999,0.09199214785700836,1.0,0.9999999999999998,0.0,0.030073832851664373,2400
triple-well,LSC-overlong,1,0.5586,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03256996862871211,2400
triple-well,LSC-overlong,1,0.5733,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03562847904874142,2400
triple-well,LSC-overlong,1,0.588,0.09199214785700836,1.0,1.0,0.0,0.03889440356623554,2400
triple-well,LSC-overlong,1,0.6027,0.09199214785700836,1.0,1.0,0.0,0.04622824769978813,2400
triple-well,LSC-overlong,1,0.6174,0.09199214785700836,1.0,0.9999999999999999,0.0,0.042415347328271666,2400
triple-well,LSC-overlong,1,0.6321,0.09199214785700836,1.0,1.0,0.0,0.05109993216305553,2400
triple-well,LSC-overlong,1,0.6468,0.09199214785700836,1.0,0.9999999999999998,0.0,0.033555282342854265,2400
triple-well,LSC-overlong,1,0.6615,0.09199214785700836,1.0,1.0000000000000002,0.0,0.049001900084275914,2400
triple-well,LSC-overlong,1,0.6762,0.09199214785700836,1.0,1.0000000000000002,0.0,0.05193530305251617,2400
triple-well,LSC-overlong,1,0.6909,0.09199214785700836,0.9999999999999999,1.0,0.0,0.057502178217168715,2400
triple-well,LSC-overlong,1,0.7056,0.09199214785700836,1.0,0.9999999999999998,0.0,0.0693413999065928,2400
triple-well,LSC-overlong,1,0.7202999999999999,0.09199214785700836,1.0,1.0,0.0,0.06093766530976422,2400
triple-well,LSC-overlong,1,0.735,0.09199214785700836,1.0,1.0,0.0,0.052310554650389945,2400
triple-well,LSC-overlong,1,0.7497,0.09199214785700836,1.0,1.0,0.0,0.05579697355965713,2400
triple-well,LSC-overlong,1,0.7644,0.09199214785700836,1.0,1.0,0.0,0.0662024988763611,2400
triple-well,LSC-overlong,1,0.7791,0.09199214785700836,1.0,0.9999999999999999,0.0,0.04494365048868289,2400
triple-well,LSC-overlong,1,0.7938,0.09199214785700836,1.0,1.0,0.0,0.04628795390420453,2400
triple-well,LSC-overlong,1,0.8085,0.09199214785700836,1.0,1.0,0.0,0.04794514317482065,2400
triple-well,LSC-overlong,1,0.8232,0.09199214785700836,1.0,1.0,0.0,0.06411780535088349,2400
triple-well,LSC-overlong,1,0.8379,0.09199214785700836,1.0,1.0,0.0,0.05116307603769356,2400
triple-well,LSC-overlong,1,0.8526,0.09199214785700836,0.9999999999999999,0.9999999999999998,0.0,0.05622369507583075,2400
triple-well,LSC-overlong,1,0.8673,0.09199214785700836,1.0,1.0,0.0,0.051089460322558136,2400
triple-well,LSC-overlong,1,0.882,0.09199214785700836,1.0,0.9999999999999998,0.0,0.047390312587471034,2400
triple-well,LSC-overlong,1,0.8966999999999999,0.09199214785700836,1.0,0.9999999999999998,0.0,0.0558320042120498,2400
triple-well,LSC-overlong,1,0.9114,0.09199214785700836,1.0,1.0,0.0,0.04655864911419113,2400
triple-well,LSC-overlong,1,0.9261,0.09199214785700836,1.0,0.9999999999999999,0.0,0.05135442905287302,2400
triple-well,LSC-overlong,1,0.9408,0.09199214785700836,1.0,0.9999999999999999,0.0,0.05669802308202984,2400
triple-well,LSC-overlong,1,0.9555,0.09199214785700836,1.0,1.0,0.0,0.05513653986641154,2400
triple-well,LSC-overlong,1,0.9702,0.09199214785700836,1.0,1.0,0.0,0.052403227759585405,2400
triple-well,LSC-overlong,1,0.9849,0.09199214785700836,0.9999999999999999,1.0,0.0,0.05251008772718879,2400
triple-well,LSC-overlong,1,0.9996,0.09199214785700836,1.0,1.0,0.0,0.04657300119148658,2400
triple-well,LSC-overlong,1,1.0143,0.09199214785700836,1.0,0.9999999999999999,0.0,0.05364545551953084,2400
triple-well,LSC-overlong,1,1.029,0.09199214785700836,1.0,0.9999999999999998,0.0,0.04761589793058395,2400
triple-well,LSC-overlong,1,1.0437,0.09199214785700836,1.0,1.0,0.0,0.05058662943268871,2400
triple-well,LSC-overlong,1,1.0584,0.09199214785700836,1.0,0.9999999999999999,0.0,0.05585388929906294,2400
triple-well,LSC-overlong,1,1.0731,0.09199214785700836,1.0,1.0,0.0,0.04539996378590991,2400
triple-well,LSC-overlong,1,1.0877999999999999,0.09199214785700836,1.0,1.0,0.0,0.05687800723880195,2400
triple-well,LSC-overlong,1,1.1025,0.09199214785700836,1.0,0.9999999999999999,0.0,0.0394828097816315,2400
triple-well,LSC-overlong,1,1.1172,0.09199214785700836,1.0,1.0,0.0,0.03598972618010763,2400
triple-well,LSC-overlong,1,1.1319,0.09199214785700836,1.0,1.0,0.0,0.0394021695321231,2400
triple-well,LSC-overlong,1,1.1466,0.09199214785700836,1.0,1.0,0.0,0.051189457053859716,2400
triple-well,LSC-overlong,1,1.1613,0.09199214785700836,1.0,1.0,0.0,0.03706369910751852,2400
triple-well,LSC-overlong,1,1.176,0.09199214785700836,1.0,1.0,0.0,0.04135951619410449,2400
triple-well,LSC-overlong,1,1.1907,0.09199214785700836,1.0,1.0,0.0,0.04818838732281432,2400
triple-well,LSC-overlong,1,1.2054,0.09199214785700836,1.0,1.0,0.0,0.05484065566969232,2400
triple-well,LSC-overlong,1,1.2201,0.09199214785700836,1.0,1.0,0.0,0.05854606324572869,2400
triple-well,LSC-overlong,1,1.2348,0.09199214785700836,1.0,1.0,0.0,0.04886564153996413,2400
triple-well,LSC-overlong,1,1.2495,0.09199214785700836,1.0,1.0,0.0,0.03985344949536322,2400
triple-well,LSC-overlong,1,1.2642,0.09199214785700836,1.0,1.0,0.0,0.03984436944286344,2400
triple-well,LSC-overlong,1,1.2789,0.09199214785700836,1.0,1.0,0.0,0.041111810605116456,2400
triple-well,LSC-overlong,1,1.2936,0.09199214785700836,1.0,1.0,0.0,0.046753699816961064,2400
triple-well,LSC-overlong,1,1.3083,0.09199214785700836,1.0,1.0000000000000002,0.0,0.03329127417082438,2400
triple-well,LSC-overlong,1,1.323,0.09199214785700836,0.9999999999999999,1.0,0.0,0.04461936585155331,2400
triple-well,LSC-overlong,1,1.3377,0.09199214785700836,0.9999999999999999,1.0,0.0,0.04369905996565602,2400
triple-well,LSC-overlong,1,1.3524,0.09199214785700836,1.0,1.0,0.0,0.037493000690061486,2400
triple-well,LSC-overlong,1,1.3671,0.09199214785700836,0.9999999999999999,0.9999999999999998,0.0,0.04160392501206923,2400
triple-well,LSC-overlong,1,1.3818,0.09199214785700836,1.0,1.0,0.0,0.03794038083410829,2400
triple-well,LSC-overlong,1,1.3965,0.09199214785700836,1.0,1.0,0.0,0.04759410532768473,2400
triple-well,LSC-overlong,1,1.4112,0.09199214785700836,1.0,0.9999999999999998,0.0,0.0385295716104045,2400
triple-well,LSC-overlong,1,1.4259,0.09199214785700836,1.0,1.0,0.0,0.04509613906320129,2400
triple-well,LSC-overlong,1,1.4405999999999999,0.09199214785700836,1.0,1.0,0.0,0.04599123334767426,2400
triple-well,LSC-overlong,1,1.4553,0.09199214785700836,1.0,1.0,0.0,0.04914847298329442,2400
triple-well,LSC-overlong,1,1.47,0.09199214785700836,1.0,0.9999999999999998,0.0,0.031401504476987065,2400
triple-well,LSC-overlong,1,1.4847,0.09199214785700836,1.0,1.0,0.0,0.04900432610976001,2400
triple-well,LSC-overlong,1,1.4994,0.09199214785700836,1.0,1.0,0.0,0.039670117211756235,2400
triple-well,LSC-overlong,1,1.5141,0.09199214785700836,1.0,0.9999999999999999,0.0,0.04484705598547811,2400
triple-well,LSC-overlong,1,1.5288,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03846164179547964,2400
triple-well,LSC-overlong,1,1.5435,0.09199214785700836,1.0,1.0,0.0,0.04133958941806918,2400
triple-well,LSC-overlong,1,1.5582,0.09199214785700836,1.0,0.9999999999999999,0.0,0.04281566506182152,2400
triple-well,LSC-overlong,1,1.5729,0.09199214785700836,0.9999999999999999,0.9999999999999998,0.0,0.039338427715777925,2400
triple-well,LSC-overlong,1,1.5876,0.09199214785700836,1.0,1.0,0.0,0.0413798798654746,2400
triple-well,LSC-overlong,1,1.6023,0.09199214785700836,1.0,1.0,0.0,0.05018514916574186,2400
triple-well,LSC-overlong,1,1.617,0.09199214785700836,1.0,0.9999999999999999,0.0,0.04178763705928446,2400
triple-well,LSC-overlong,1,1.6317,0.09199214785700836,1.0,1.0,0.0,0.03772746938543658,2400
